"Stock","Last","Change","%Change","Open","Low","High","Close","Volume","Value","Net-Foreign","52 Week High","52 Week Low","Support 1","Support 2","Resistance 1","Resistance 2","MA 20","MA 50","MA 100","MA 200","EMA 20","EMA 50","EMA 100","EMA 200","Trend-Short","Trend-Medium","Trend-Long","RSI(14)_VALUE","RSI(14)","MACD(12,26,9)","ATR(14)","Volatility","CCI(20)","STS(14,3,3)","%R(14)","VolumeSMA(10)","VolumeSMA(15)","VolumeSMA(20)","ValueSMA(10)","ValueSMA(15)","ValueSMA(20)","CandleStick(1)","CandleStick(2)","CandleStick(3)","YTD%","MTD%","WTD%","NFB(5)","NFB(15)","NFB(30)","NFB(60)","NFB(360)","EPS","EPS%","P/E","DPS%","P/BV","ROE"
"ACPB2","510.00","0.00","0.00%","504.00","504.00","510.00","510.00","2,760.00","1,391,100.00","0.00","540.00","500.00","504.00","500.00","515.00","534.50","509.80","512.51","517.69","519.9075","509.8765516592","512.6224707888","515.9083078916","519.7995765617","DOWNTREND","SIDEWAYS","SIDEWAYS","49.5286005237","NEUTRAL","-1.3853285744","1.42%","LOW","-24.347826087","33.3333333333","-66.6666666667","6,942","6,202","5,192","3,502,120.00","3,138,677.6666666667","2,627,701.75","White Marubozu","None","Three White Soldiers","-3.04%","0.79%","0.00%","0.00","0.00","82,400.00","366,260.00","-15,685,005.00","0.00","0.00%","0.00","0","0.00","0"
"ACR","1.23","-0.05","-3.91%","1.27","1.23","1.27","1.28","275,000.00","343,810.00","6,200.00","1.94","1.23","1.22","1.19","1.28","1.34","1.2640","1.2804","1.3037","1.34595","1.2662983653","1.2790954097","1.3021193693","1.345131081","SIDEWAYS","SIDEWAYS","SIDEWAYS","38.796719422","NEUTRAL","-0.0049621987","1.91%","LOW","-239.6396396396","53.3333333333","-100.00","184,100","202,533","301,700","231,278.00","255,112.00","379,706.50","Black Marubozu","None","None","-8.89%","-3.15%","-3.91%","6,200.00","-367,290.00","-361,010.00","-199,150.0001","-82,548,630.0001","245,777,710.00","614,444,274,900.00%","0.000000005","0","0.7028571429","0"
"AEV","64.50","1.65","2.63%","62.85","61.40","64.90","62.85","1,065,950.00","68,684,463.00","10,627,169.50","79.00","59.30","59.30","59.30","64.70","69.85","65.9175","69.1480","71.8830","72.61225","65.0729863394","68.1633136121","70.3551626857","71.8742302485","DOWNTREND","DOWNTREND","SIDEWAYS","45.8751447099","NEUTRAL","-1.8894791954","4.12%","NEUTRAL","-51.6909375376","0.00","-50.7109004739","1,374,029","1,168,018","1,228,743","86,376,605.00","74,728,871.30","79,715,220.40","None","None","None","-12.84%","-7.66%","2.63%","-219,803,139.50","-405,089,754.4997","-796,010,809.4997","-1,735,145,748.00","-3,285,973,811.5031","3.84","-4.48%","16.796875","0","2.3446019629","0"
"AGI","13.64","0.04","0.29%","13.62","13.52","13.76","13.60","9,526,100.00","129,939,638.00","9,142,526.00","17.30","12.56","13.04","12.65","13.70","14.35","13.3210","13.7480","14.7096","14.9220","13.3502888361","13.7734624893","14.290972219","14.5966119198","DOWNTREND","DOWNTREND","DOWNTREND","55.1783830258","NEUTRAL","-0.2077576258","2.31%","LOW","65.1214128035","72.4561403509","-13.3333333333","6,868,480","7,289,933","9,256,925","90,697,352.60","95,836,627.60","122,709,554.70","Spinning Top","None","None","-14.75%","4.60%","0.29%","-28,802,188.00","-226,100,504.0002","-349,347,604.0002","-498,689,906.0002","-2,609,564,922.4792","1.48","1.37%","9.2162162162","0","0.507063197","0"
"ALCO","0.83","-0.02","-2.35%","0.85","0.83","0.86","0.85","1,386,000.00","1,156,780.00","0.00","1.39","0.81","0.82","0.79","0.86","0.92","0.8380","0.8614","0.8798","0.94075","0.8416072376","0.8568286644","0.8844171356","0.9142690774","SIDEWAYS","SIDEWAYS","SIDEWAYS","45.1939753909","NEUTRAL","-0.0075277582","3.43%","NEUTRAL","39.016115352","38.0952380952","-71.4285714286","885,700","955,667","1,405,750","743,901.00","796,756.00","1,171,070.00","Black Long Day","Bearish Engulfing","None","-7.78%","0.00%","-2.35%","8,300.00","92,300.00","1,502,699.9999","2,555,569.9999","-371,062,501.0002","0.03","-81.25%","27.6666666667","0","0.8736842105","0"
"ALCPB","107.00","1.00","0.94%","106.20","106.20","107.00","106.00","1,360.00","144,720.00","144,720.00","109.00","100.00","104.00","100.75","108.00","109.00","106.57","107.3520","106.9120","106.2850","106.425737493","106.9234767275","106.8223808507","106.2772636816","DOWNTREND","SIDEWAYS","SIDEWAYS","51.8034519764","NEUTRAL","-0.494205624","0.95%","LOW","10.2632753235","0.00","-40.00","5,595","7,292","6,751","591,265.30","734,781.3333333333","687,967.65","White Marubozu","None","None","-0.93%","2.88%","0.94%","144,720.00","-3,382,357.00","-3,092,802.00","-5,578,921.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"ALHI","14.96","0.06","0.40%","14.90","14.90","14.96","14.90","700.00","10,448.00","0.00","29.25","6.02","14.07","13.15","15.78","16.49","14.8430","15.7116","15.1366","11.45595","14.9110216356","15.2007716635","14.4070692927","12.6521451167","DOWNTREND","DOWNTREND","SIDEWAYS","49.0493869635","NEUTRAL","-0.3700589825","5.18%","HIGH","28.5775218597","63.745979121","-27.5590551181","5,790","23,153","20,445","80,313.00","344,534.9333333333","305,397.40","White Marubozu","None","Three White Soldiers","16.15%","1.36%","1.77%","0.00","248,408.00","610,724.00","-3,680,516.0001","-2,548,116.0006","0.56","9.80%","26.7142857143","0","2.3783783784","0"
"ALI","42.25","1.25","3.05%","41.00","40.55","42.30","41.00","17,944,600.00","751,211,340.00","233,370,390.00","47.50","37.30","39.95","38.72","42.28","45.40","40.5425","40.9150","42.7940","42.93","40.6944990679","41.2576353438","41.9542033486","41.8146356612","SIDEWAYS","SIDEWAYS","DOWNTREND","61.0355540277","NEUTRAL","-0.2284326555","2.29%","LOW","195.5835962145","62.6305792972","-1.8518518519","9,196,510","8,759,527","9,856,635","375,723,388.00","357,211,500.00","400,224,452.25","White Long Day","None","None","-5.27%","3.55%","3.05%","169,043,010.00","254,133,550.00","-379,217,925.00","-4,879,860,690.00","-8,493,054,562.8003","1.76","15.79%","24.0056818182","0","3.2301223242","0"
"ALLS","4,770.14","60.99","1.30%","4,724.16","4,722.07","4,779.79","4,709.15","0.00","0.00","0.00","5,287.61","4,577.58","4,614.58","4,396.64","4,774.96","5,052.78","4,665.5790","4,825.8924","4,950.4129","4,887.7069","4,692.7090311861","4,792.5490464904","4,860.168681783","4,840.8337159946","SIDEWAYS","DOWNTREND","SIDEWAYS","55.6168566872","NEUTRAL","-60.4144893274","1.14%","LOW","133.2459927809","69.0637346213","-4.7722664557","0","0","0","0.00","0.00","0.00","White Long Day","None","None","-4.41%","0.99%","1.30%","0.00","0.00","0.00","0.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"ANI","15.00","0.32","2.18%","14.66","14.60","15.00","14.68","3,277,300.00","48,626,272.00","39,116,136.00","15.00","5.17","14.25","13.77","15.00","15.00","14.3660","13.9728","13.0758","11.7439","14.363843281","13.9267824587","13.189150927","11.730303535","UPTREND","SIDEWAYS","UPTREND","68.6465398984","NEUTRAL","0.1734932347","2.01%","LOW","293.3333333333","100.00","0.00","1,186,770","1,022,740","1,052,430","17,227,042.20","14,807,964.2666666667","15,145,884.00","White Long Day","None","None","22.95%","7.14%","2.18%","61,715,550.00","68,344,058.00","65,997,774.00","94,134,830.00","265,306,181.0019","-0.22","-29.41%","-68.1818181818","0","11.0294117647","0"
"ANS","6.54","0.00","0.00%","6.54","6.39","6.54","6.54","1,700.00","10,968.00","3,924.00","7.90","6.00","6.41","6.12","6.57","6.82","6.49","6.7944","6.9161","6.94525","6.5357081063","6.6812402486","6.8037524654","6.795054829","UPTREND","DOWNTREND","SIDEWAYS","48.2258499552","NEUTRAL","-0.06363768","2.40%","LOW","36.6088631985","93.5483870968","-9.6774193548","48,170","44,967","38,440","311,441.00","290,416.1333333333","248,004.95","Dragonfly Doji","None","None","-7.23%","-0.15%","0.00%","3,924.00","-14,346.00","-39,896.00","-1,249,841.00","-68,904,750.00","1.35","-50.00%","4.8444444444","0","0.435709527","0"
"AP","39.00","0.05","0.13%","39.00","38.70","39.00","38.95","1,207,500.00","46,982,475.00","1,454,705.00","43.10","37.00","38.12","37.20","39.68","41.08","38.3675","38.6310","39.5830","40.0745","38.4266094908","38.721969683","39.2614207083","39.9651807536","SIDEWAYS","SIDEWAYS","SIDEWAYS","54.6167052878","NEUTRAL","-0.1062357965","2.11%","LOW","95.1132473964","59.2145949289","-25.00","1,225,700","1,217,753","1,296,815","47,025,075.50","46,868,960.3333333333","49,692,454.25","Dragonfly Doji","None","None","-6.14%","2.63%","0.13%","-101,495,710.00","-205,108,995.00","-398,864,239.9996","-1,046,492,264.9998","-3,180,360,035.0005","2.77","1.84%","14.0794223827","0","2.487244898","0"
"APC","0.4650","-0.0150","-3.13%","0.48","0.4650","0.48","0.48","3,390,000.00","1,599,500.00","0.00","0.91","0.42","0.4625","0.4325","0.4875","0.52","0.4775","0.5238","0.49235","0.5201","0.4843823692","0.496949963","0.5018484914","0.5102698076","UPTREND","DOWNTREND","UPTREND","41.3624560525","NEUTRAL","-0.0102163471","4.79%","NEUTRAL","-71.1974110032","33.3333333333","-90.00","2,402,000","2,474,000","3,586,750","1,164,765.00","1,185,476.6666666667","1,739,695.25","Black Marubozu","Bearish Engulfing","None","-3.13%","-1.06%","-3.13%","0.00","300,250.00","193,970.00","-43,888,620.00","-61,509,559.9998","0.00","100.00%","0.00","0","15.50","0"
"APL","0.0470","0.00","0.00%","0.0470","0.0470","0.0470","0.0470","8,900,000.00","418,300.00","-155,100.00","0.0720","0.0370","0.0465","0.0445","0.0475","0.05","0.0478","0.05124","0.04945","0.04702","0.0479848525","0.0494030314","0.0493699421","0.048597933","DOWNTREND","DOWNTREND","SIDEWAYS","41.2001128429","NEUTRAL","-0.0009453747","3.56%","NEUTRAL","-105.2631578947","20.00","-80.00","12,180,000","12,200,000","12,740,000","584,930.00","582,893.3333333333","607,655.00","White Marubozu","Bullish Harami","None","11.90%","-2.08%","0.00%","-155,100.00","-179,700.00","-148,800.00","-3,571,030.00","-6,863,029.9995","0.00","0.00%","0.00","0","0.00","0"
"APO","0.90","0.02","2.27%","0.88","0.88","0.90","0.88","67,000.00","58,980.00","0.00","1.36","0.88","0.88","0.85","0.92","0.96","0.9030","0.9202","0.9526","1.0395","0.9033306511","0.9237307144","0.9574778429","1.0149252948","DOWNTREND","SIDEWAYS","SIDEWAYS","47.36703465","NEUTRAL","-0.0099413806","2.20%","LOW","-69.3709582598","0.00","-60.00","41,700","41,200","55,650","36,907.00","36,674.6666666667","50,000.00","White Marubozu","None","Three White Soldiers","-10.00%","0.00%","2.27%","0.00","0.00","-133,210.00","-132,730.00","81,565,000.00","-0.08","-100.00%","-11.25","0","0.4225352113","0"
"APX","1.67","-0.02","-1.18%","1.69","1.67","1.69","1.69","1,874,000.00","3,145,580.00","1,730.00","2.42","1.48","1.66","1.60","1.76","1.98","1.7220","1.7106","1.6405","1.6713","1.7125214104","1.7016533605","1.6854089289","1.7321645667","DOWNTREND","SIDEWAYS","UPTREND","45.4730499557","NEUTRAL","-0.0009775338","3.90%","NEUTRAL","-71.734606439","44.8529411765","-62.50","2,280,200","3,381,867","8,936,500","3,909,471.00","5,706,700.00","16,189,394.50","Black Marubozu","None","Three Black Crows","7.74%","-1.76%","-1.18%","1,730.00","4,262,800.00","38,776,230.00","50,456,519.00","-35,850,740.9993","0.08","14.29%","20.8750","0","1.9195402299","0"
"AR","0.0028","0.00","0.00%","0.0028","0.0028","0.0029","0.0028","126,000,000.00","352,900.00","0.00","0.0038","0.0021","0.0027","0.0026","0.0030","0.0032","0.002855","0.003008","0.002653","0.002651","0.0028558738","0.0028515832","0.0027693272","0.0027866785","DOWNTREND","DOWNTREND","UPTREND","44.875201833","NEUTRAL","-0.0000301698","5.20%","HIGH","-65.1162790698","0.00","-100.00","126,800,000","287,733,333","276,500,000","359,430.00","835,173.3333333333","802,470.00","Gravestone Doji","Tweezer Bottoms","None","27.27%","-3.45%","0.00%","0.00","43,500.00","9,700.00","-1,614,399.9999","489,700.00","0.00","0.00%","0.00","0","0.00","0"
"ARA","2.06","0.05","2.49%","2.01","2.01","2.06","2.01","7,000.00","14,370.00","0.00","2.65","2.01","2.01","1.92","2.08","2.18","2.0615","2.0850","2.1610","2.27295","2.0587288993","2.0956697844","2.1564332966","2.2284287163","DOWNTREND","SIDEWAYS","SIDEWAYS","49.1208765736","NEUTRAL","-0.0183507663","2.41%","LOW","-38.4360503645","0.00","-54.5454545455","91,000","83,667","85,550","185,483.00","170,556.6666666667","175,526.00","White Marubozu","None","None","-9.65%","-1.90%","2.49%","112,629.9999","-29,469.9998","36,050.0002","-752,219.9999","-6,853,118.9995","0.00","0.00%","0.00","0","2.3146067416","0"
"AT","4.39","0.19","4.52%","4.32","4.32","4.40","4.20","69,000.00","300,700.00","0.00","5.80","4.20","4.20","3.98","4.44","4.62","4.3785","4.6574","4.7427","4.87435","4.3885328032","4.5668829624","4.701414947","4.8194060202","DOWNTREND","DOWNTREND","SIDEWAYS","45.0395609448","NEUTRAL","-0.1143881318","1.65%","LOW","-18.8524590164","0.00","-34.4827586207","199,500","188,067","178,200","861,725.00","817,518.6666666667","780,834.50","White Long Day","None","None","-12.20%","1.86%","4.52%","-498,660.00","-4,527,199.9998","-6,162,929.9997","-6,565,173.9997","-64,794,904.9987","-0.36","21.74%","-12.1944444444","0","0.4137606032","0"
"ATI","13.00","0.40","3.17%","12.80","12.80","13.00","12.60","66,100.00","849,240.00","-52,000.00","14.50","10.30","12.60","12.15","13.38","13.99","12.6550","12.3680","12.0262","11.6811","12.6831326359","12.4265234406","12.1141333155","11.8108831267","UPTREND","SIDEWAYS","SIDEWAYS","57.3629126917","NEUTRAL","0.1085042242","2.02%","LOW","152.6962092899","81.981981982","0.00","172,210","165,567","128,610","2,180,000.40","2,089,156.1333333333","1,622,273.50","White Marubozu","None","None","9.98%","3.17%","3.17%","11,990,610.00","10,738,406.0002","10,620,108.0004","11,964,306.0003","53,923,738.0001","1.34","7.20%","9.7014925373","0","1.8492176387","0"
"ATN","0.68","0.03","4.62%","0.65","0.65","0.68","0.65","15,423,000.00","10,300,560.00","0.00","0.76","0.30","0.63","0.58","0.73","0.73","0.6385","0.6304","0.5594","0.460375","0.643211287","0.6185810079","0.5693321848","0.5009910725","UPTREND","SIDEWAYS","UPTREND","59.7995310752","NEUTRAL","0.0097466866","4.89%","NEUTRAL","89.2018779343","42.5925925926","-44.4444444444","44,479,500","31,037,000","24,498,150","31,174,357.00","21,634,200.6666666667","16,976,719.00","White Marubozu","None","None","65.85%","1.49%","4.62%","0.00","0.00","0.00","0.00","0.00","0.00","0.00%","0.00","0","1.6585365854","0"
"ATNB","0.68","0.03","4.62%","0.66","0.65","0.69","0.65","2,844,000.00","1,914,950.00","-1,039,920.00","0.76","0.30","0.64","0.61","0.73","0.73","0.6545","0.6456","0.5836","0.47515","0.6552262094","0.6343637943","0.5867091446","0.5166984994","UPTREND","SIDEWAYS","UPTREND","57.1364837322","NEUTRAL","0.0077831354","4.70%","NEUTRAL","71.3450292398","33.3333333334","-53.3333333333","7,759,600","5,555,533","5,025,100","5,471,988.00","3,887,437.3333333333","3,460,307.00","None","None","None","47.83%","0.00%","4.62%","756,480.00","8,122,030.00","20,135,960.00","37,134,669.0001","49,769,118.9996","0.00","0.00%","0.00","0","0.00","0"
"AUB","59.00","0.05","0.08%","58.95","58.90","59.00","58.95","25,000.00","1,473,500.00","1,117,781.50","60.00","48.35","57.98","54.20","59.62","60.00","58.88","59.1620","59.3860","59.47475","58.9205579916","59.0996510233","59.1094079604","58.0233114749","SIDEWAYS","SIDEWAYS","SIDEWAYS","50.5414874445","NEUTRAL","-0.1073904671","1.70%","LOW","177.7777777778","91.4285714286","0.00","24,894","30,075","27,648","1,466,338.35","1,763,392.20","1,622,039.30","Spinning Top","Bullish Engulfing","None","-1.34%","0.00%","0.08%","5,990,333.50","15,911,677.00","21,634,634.50","31,475,123.00","323,857,053.4998","5.77","22.77%","10.2253032929","0","1.0742898762","0"
"BC","1.55","-0.07","-4.32%","1.53","1.53","1.55","1.62","17,000.00","26,210.00","0.00","2.30","1.41","1.43","1.3333","1.73","1.80","1.6155","1.6830","1.7574","1.85475","1.5959435213","1.6658546384","1.7397493659","1.8484728782","DOWNTREND","DOWNTREND","DOWNTREND","44.5347240586","NEUTRAL","-0.0459251372","4.91%","NEUTRAL","-69.9343411208","40.4651162791","-67.4418604651","71,900","61,867","47,750","113,286.00","98,250.00","76,002.50","White Marubozu","Bullish Harami","None","-10.40%","-4.32%","-4.32%","0.00","0.00","0.00","0.00","0.00","0.03","111.11%","51.6666666667","0","0.2574750831","0"
"BCB","1.60","0.00","0.00%","1.60","1.60","1.61","1.60","48,000.00","76,900.00","-76,900.00","2.61","1.60","1.0667","1.0667","1.66","1.96","1.6805","1.7104","1.7753","1.8842","1.6722284542","1.7104960219","1.7722290693","1.8915907476","DOWNTREND","SIDEWAYS","SIDEWAYS","43.0656432876","NEUTRAL","-0.0158657753","3.56%","NEUTRAL","-109.3189964158","0.00","-100.00","32,000","49,600","53,250","52,195.00","88,514.00","92,399.50","Gravestone Doji","None","None","-8.57%","-4.19%","-2.44%","-126,700.00","411,730.00","-18,060.00","-1,199,710.00","-18,358,055.9998","0.00","0.00%","0.00","0","0.00","0"
"BCOR","5.38","0.38","7.60%","5.39","4.98","5.39","5.00","1,800.00","9,613.00","4,851.00","7.50","4.51","4.90","4.66","5.40","6.30","5.2110","5.1546","5.1076","5.2753","5.2280773899","5.1651038261","5.1692669577","5.2310025447","UPTREND","SIDEWAYS","SIDEWAYS","53.3977080103","NEUTRAL","0.0540046857","5.18%","HIGH","25.0515495645","74.8633879781","-4.9180327869","6,120","6,493","5,530","31,517.60","33,572.8666666667","28,447.35","Hanging Man","None","None","10.47%","-0.37%","7.60%","4,851.00","4,851.00","4,237.00","41,521.00","-344,976.9998","0.22","83.33%","24.4545454545","0","2.9081081081","0"
"BDO","133.90","0.90","0.68%","133.00","132.50","138.00","133.00","3,216,040.00","434,726,671.00","61,398,768.00","167.70","118.80","125.40","121.10","135.95","140.90","131.1350","139.3420","147.53","141.1465","131.8684313734","137.5248285956","141.2218017796","139.232711453","DOWNTREND","DOWNTREND","DOWNTREND","51.2088961182","NEUTRAL","-3.3138154973","2.79%","LOW","89.2480068951","60.5851522009","-30.8270676692","2,546,109","2,713,527","2,745,975","331,661,543.90","353,684,075.60","360,676,722.25","None","None","None","-18.35%","1.67%","0.68%","-79,998,264.00","-462,661,621.0001","-918,996,884.0001","-3,347,499,728.0001","-5,197,775,289.20","6.36","2.58%","21.0534591195","0","1.9922630561","0"
"BEL","3.46","0.00","0.00%","3.44","3.41","3.46","3.46","362,000.00","1,243,630.00","223,080.00","4.35","3.20","3.38","3.25","3.53","3.64","3.3950","3.5862","3.6944","3.71475","3.4325965973","3.535609183","3.6257771246","3.6691483683","SIDEWAYS","DOWNTREND","SIDEWAYS","50.2158833182","NEUTRAL","-0.0648014351","2.08%","LOW","55.2939756127","92.7689594356","-3.7037037037","362,600","449,800","420,100","1,221,880.00","1,513,860.6666666667","1,422,217.25","None","None","None","-10.82%","2.98%","0.00%","300,810.00","855,240.00","-8,686,499.9997","-826,439.9997","-133,005,209.9993","0.29","0.00%","11.9310344828","0","1.3307692308","0"
"BH","1,703.00","0.00","0.00%","1,703.00","1,703.00","1,703.00","1,703.00","5.00","8,515.00","0.00","2,990.00","1,001.00","1,650.00","1,400.00","1,751.50","2,945.00","1,876.25","1,456.48","1,156.9650","0.00","1,737.0987226422","1,513.1839323729","1,184.5197995959","0.00","DOWNTREND","UPTREND","UPTREND","50.3369913761","NEUTRAL","120.6814804082","12.68%","HIGH","-47.4818852772","36.2851851852","-59.60","17","146","133","31,269.00","210,302.6666666667","215,192.1250","White Marubozu","Bullish Harami","Three White Soldiers","14.60%","-10.37%","0.00%","0.00","0.00","12,795.00","49,100.00","0.00","-0.35","-122.15%","-4,865.7142857143","0","8.6446700508","0"
