"Stock","Last","Change","%Change","Open","Low","High","Close","Volume","Value","Net-Foreign","52 Week High","52 Week Low","Support 1","Support 2","Resistance 1","Resistance 2","MA 20","MA 50","MA 100","MA 200","EMA 20","EMA 50","EMA 100","EMA 200","Trend-Short","Trend-Medium","Trend-Long","RSI(14)_VALUE","RSI(14)","MACD(12,26,9)","ATR(14)","Volatility","CCI(20)","STS(14,3,3)","%R(14)","VolumeSMA(10)","VolumeSMA(15)","VolumeSMA(20)","ValueSMA(10)","ValueSMA(15)","ValueSMA(20)","CandleStick(1)","CandleStick(2)","CandleStick(3)","YTD%","MTD%","WTD%","NFB(5)","NFB(15)","NFB(30)","NFB(60)","NFB(360)","EPS","EPS%","P/E","DPS%","P/BV","ROE"
"2GO","15.56","-0.34","-2.14%","16.00","15.50","16.00","15.90","109,600.00","1,707,634.00","7,912.00","30.90","14.70","15.53","14.80","16.85","17.86","16.2850","17.3876","18.6312","19.3313","16.3549401045","17.1990905871","17.9558655876","17.9270003677","DOWNTREND","DOWNTREND","DOWNTREND","37.7570930516","NEUTRAL","-0.4856081431","5.16%","HIGH","-89.4329896907","39.8205879741","-68.1481481481","79,480","84,113","86,055","1,309,878.20","1,361,331.4666666667","1,411,469.20","Black Long Day","Bearish Engulfing","None","-15.80%","-5.12%","-2.14%","39,921.9999","541,766.0001","2,859,619.0002","3,306,203.0002","-12,812,088.0001","-0.13","-192.86%","-119.6923076923","0","10.6575342466","0"
"8990P","100.40","0.10","0.10%","101.00","100.30","101.00","100.30","5,520.00","553,720.00","0.00","102.40","100.00","100.30","100.10","101.00","102.20","100.46","100.9520","0.00","0.00","100.5493307079","100.828762139","0.00","0.00","SIDEWAYS","SIDEWAYS","NONE","47.4916417243","NEUTRAL","-0.162304995","0.42%","LOW","26.4400377715","20.1923076923","-75.00","6,037","11,525","11,715","605,473.30","1,155,898.8666666667","1,174,984.65","Black Long Day","None","None","0.20%","0.20%","0.10%","0.00","531,140.00","2,836,234.00","5,281,358.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"AB","18.88","0.20","1.07%","18.88","18.88","18.88","18.68","100.00","1,888.00","0.00","26.00","11.50","17.80","17.00","18.90","19.70","18.6580","17.9808","16.5078","14.87775","18.5683062184","17.8552700574","16.8246026358","15.6134161132","SIDEWAYS","UPTREND","UPTREND","55.2857779606","NEUTRAL","0.2597578707","4.94%","NEUTRAL","62.3730780389","84.3333333333","-6.00","6,240","6,320","6,115","113,532.40","113,726.1333333333","111,487.10","White Marubozu","None","Three White Soldiers","25.87%","0.96%","-0.32%","0.00","0.00","0.00","-682,736.00","-531,055.00","-0.02","33.33%","-944.00","0","75.52","0"
"ABA","0.26","0.00","0.00%","0.26","0.25","0.2650","0.26","3,410,000.00","865,900.00","25,000.00","0.42","0.25","0.2550","0.2550","0.2775","0.3050","0.28975","0.3013","0.3023","0.32645","0.2857100773","0.295730325","0.3051878541","0.3223026795","DOWNTREND","DOWNTREND","SIDEWAYS","26.581778739","OVERSOLD","-0.0056953383","3.73%","NEUTRAL","-181.7325800377","0.00","-81.8181818182","3,210,000","2,236,000","1,820,000","883,785.00","617,763.3333333333","505,665.00","Doji","None","None","-16.13%","-13.33%","0.00%","25,000.00","232,799.9999","56,949.9999","55,849.9999","724,969.9996","-0.01","-133.33%","-26.00","0","0.1354166667","0"
"ABG","20.05","-0.10","-0.50%","20.15","19.86","20.20","20.15","42,300.00","843,854.00","100,150.00","34.90","15.70","19.92","19.32","20.25","21.52","20.4450","20.0424","19.0209","20.6093","20.2391320374","19.9439275595","19.7352458078","20.0143975604","DOWNTREND","SIDEWAYS","UPTREND","47.3697482544","NEUTRAL","0.0818386117","4.23%","NEUTRAL","-76.9515710812","23.1481481481","-80.5555555556","31,600","32,287","34,540","629,274.30","648,598.4666666667","698,815.15","None","None","None","15.50%","0.00%","-0.50%","278,670.00","371,165.00","585,402.00","633,455.00","1,209,601.00","-0.01","0.00%","-2,005.00","0","22.2777777778","0"
"ABS","27.00","-0.05","-0.18%","27.10","26.95","27.10","27.05","61,900.00","1,673,375.00","0.00","44.20","26.95","26.98","26.98","27.62","28.90","27.7950","28.7750","31.2070","35.6140","27.7536971763","28.9761525072","31.0975862039","34.6263740039","DOWNTREND","DOWNTREND","DOWNTREND","29.7901902991","OVERSOLD","-0.5229875713","1.61%","LOW","-131.4535345512","0.00","-95.8333333333","55,910","49,247","51,650","1,535,253.50","1,356,608.6666666667","1,436,267.50","Black Long Day","Bearish Engulfing","None","-21.97%","-3.57%","-0.18%","0.00","0.00","0.00","0.00","0.00","4.05","-14.19%","6.6666666667","0","0.6983962752","0"
"ABSP","25.90","0.20","0.78%","25.70","25.70","26.00","25.70","46,000.00","1,195,690.00","-7,800.00","44.50","25.50","25.60","25.60","26.42","28.82","26.8575","28.1690","30.9195","35.70425","26.725180586","28.2747948732","30.7429887173","34.6096227894","DOWNTREND","DOWNTREND","DOWNTREND","32.9178195037","NEUTRAL","-0.6875485398","2.33%","LOW","-96.1695191524","6.3492063492","-90.4761904762","152,260","140,807","156,610","4,031,857.00","3,768,249.00","4,253,684.00","White Long Day","None","None","-24.93%","-3.72%","0.78%","-2,543,980.00","-6,688,295.00","-35,802,630.00","-49,608,740.00","-549,752,875.00","0.00","0.00%","0.00","0","0.00","0"
"AC","985.00","15.00","1.55%","970.00","962.00","996.00","970.00","327,200.00","321,649,545.00","47,768,355.00","1,116.00","837.00","927.50","898.00","990.50","1,038.00","930.6250","961.02","1,001.76","984.2250","941.7242148768","959.2640240161","977.3771156596","966.9999780613","UPTREND","DOWNTREND","DOWNTREND","60.239237144","NEUTRAL","-7.0449626798","2.74%","LOW","198.3967935872","74.6959064327","-11.00","225,514","245,641","280,436","213,671,671.50","229,963,060.6666666667","260,527,418.25","None","None","None","-2.96%","1.97%","1.55%","228,182,895.00","247,918,985.00","-234,164,335.00","-2,558,649,000.00","-2,534,621,842.50","47.37","14.70%","20.7937513194","0","2.5835387924","0"
"ACE","1.35","-0.04","-2.88%","1.35","1.35","1.35","1.39","25,000.00","33,750.00","0.00","2.37","1.22","1.33","1.25","1.40","1.54","1.3610","1.3454","1.3722","1.5164","1.3552481482","1.3557486298","1.3919236367","1.443113246","UPTREND","SIDEWAYS","SIDEWAYS","49.7439709375","NEUTRAL","0.0066849519","4.80%","NEUTRAL","-33.2541567696","46.0317460318","-66.6666666667","145,600","133,733","404,500","201,099.00","182,736.00","583,382.00","White Marubozu","Bullish Harami","Three White Soldiers","-2.88%","0.00%","-2.17%","44,090.00","11,830.0002","43,710.0002","221,420.0001","2,327,689.9998","-0.38","-258.33%","-3.5526315789","0","0.3089244851","0"
"ACPB1","500.00","9.00","1.83%","495.00","495.00","500.00","491.00","240.00","118,900.00","0.00","550.00","485.00","488.00","485.00","508.00","530.00","503.00","506.43","517.20","518.4050","501.124407697","506.8403575496","512.3051186911","517.2292979007","DOWNTREND","SIDEWAYS","SIDEWAYS","47.5844771709","NEUTRAL","-3.0338419446","1.03%","LOW","-48.8112960707","32.00","-40.00","3,821","3,056","2,450","1,900,686.00","1,525,674.3333333333","1,224,369.75","White Marubozu","None","Three White Soldiers","-5.30%","3.09%","1.83%","0.00","-3,022,680.00","-3,017,600.00","-11,060,065.00","-82,976,480.00","0.00","0.00%","0.00","0","0.00","0"
