"Stock","Last","Change","%Change","Open","Low","High","Close","Volume","Value","Net-Foreign","52 Week High","52 Week Low","Support 1","Support 2","Resistance 1","Resistance 2","MA 20","MA 50","MA 100","MA 200","EMA 20","EMA 50","EMA 100","EMA 200","Trend-Short","Trend-Medium","Trend-Long","RSI(14)_VALUE","RSI(14)","MACD(12,26,9)","ATR(14)","Volatility","CCI(20)","STS(14,3,3)","%R(14)","VolumeSMA(10)","VolumeSMA(15)","VolumeSMA(20)","ValueSMA(10)","ValueSMA(15)","ValueSMA(20)","CandleStick(1)","CandleStick(2)","CandleStick(3)","YTD%","MTD%","WTD%","NFB(5)","NFB(15)","NFB(30)","NFB(60)","NFB(360)","EPS","EPS%","P/E","DPS%","P/BV","ROE"
"2GO","15.90","0.00","0.00%","15.90","15.60","16.90","15.90","26,600.00","418,902.00","0.00","30.90","14.70","15.70","14.80","16.85","17.91","16.3850","17.4256","18.6660","19.3750","16.4386180102","17.2659922437","18.0042669126","17.9507893161","DOWNTREND","DOWNTREND","DOWNTREND","40.8338414283","NEUTRAL","-0.4871980374","5.19%","HIGH","-42.4773022049","42.8723687716","-55.5555555556","81,090","79,147","85,505","1,338,251.60","1,286,898.5333333333","1,412,782.80","Doji","None","None","-13.96%","-3.05%","-0.63%","32,009.9999","533,854.0001","2,851,707.0002","3,302,071.0001","-12,820,000.0001","-0.13","-192.86%","-122.3076923077","0","10.8904109589","0"
"8990P","100.40","0.10","0.10%","101.00","100.30","101.00","100.30","5,520.00","553,720.00","0.00","102.40","100.00","100.30","100.10","101.00","102.20","100.46","100.9520","0.00","0.00","100.5493307079","100.828762139","0.00","0.00","SIDEWAYS","SIDEWAYS","NONE","47.4916417243","NEUTRAL","-0.162304995","0.42%","LOW","26.4400377715","20.1923076923","-75.00","6,037","11,525","11,715","605,473.30","1,155,898.8666666667","1,174,984.65","Black Long Day","None","None","0.20%","0.20%","0.10%","0.00","531,140.00","2,836,234.00","5,281,358.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"AB","18.88","0.20","1.07%","18.88","18.88","18.88","18.68","100.00","1,888.00","0.00","26.00","11.50","17.80","17.00","18.90","19.70","18.6580","17.9808","16.5078","14.87775","18.5683062184","17.8552700574","16.8246026358","15.6134161132","SIDEWAYS","UPTREND","UPTREND","55.2857779606","NEUTRAL","0.2597578707","4.94%","NEUTRAL","62.3730780389","84.3333333333","-6.00","6,240","6,320","6,115","113,532.40","113,726.1333333333","111,487.10","White Marubozu","None","Three White Soldiers","25.87%","0.96%","-0.32%","0.00","0.00","0.00","-682,736.00","-531,055.00","-0.02","33.33%","-944.00","0","75.52","0"
"ABA","0.26","-0.01","-3.70%","0.27","0.26","0.27","0.27","5,380,000.00","1,413,300.00","0.00","0.42","0.26","0.26","0.26","0.2850","0.3050","0.2920","0.3020","0.30275","0.327025","0.2884164012","0.2971887056","0.30610074","0.3229288371","DOWNTREND","DOWNTREND","SIDEWAYS","26.5817794946","OVERSOLD","-0.004713316","3.58%","NEUTRAL","-202.2988505747","0.00","-100.00","2,937,000","2,030,667","1,674,500","817,265.00","566,523.3333333333","469,880.00","Black Marubozu","Bearish Engulfing","None","-16.13%","-13.33%","-13.33%","204,849.9999","207,799.9999","31,949.9999","30,849.9999","699,969.9996","-0.01","-133.33%","-26.00","0","0.1354166667","0"
"ABG","20.15","-0.05","-0.25%","20.25","19.78","20.25","20.20","22,500.00","446,269.00","19,800.00","34.90","15.70","19.96","19.36","20.25","21.52","20.4415","20.0078","18.9876","20.6608","20.2590406729","19.9395980721","19.7288871373","20.0140397469","DOWNTREND","SIDEWAYS","UPTREND","48.9612239129","NEUTRAL","0.0996851739","4.41%","NEUTRAL","-68.8330499402","24.1666666667","-75.00","29,570","31,027","34,840","588,936.90","624,140.5333333333","704,265.75","Hanging Man","None","None","16.07%","0.50%","-0.49%","178,520.00","271,015.00","632,127.00","533,305.00","1,109,451.00","-0.01","0.00%","-2,015.00","0","22.3888888889","0"
"ABS","27.05","0.00","0.00%","27.05","27.00","27.50","27.05","47,100.00","1,275,960.00","0.00","44.20","27.00","27.02","27.02","27.70","29.05","27.89","28.8720","31.2860","35.6890","27.8330337212","29.0568117932","31.1803657232","34.7030209788","DOWNTREND","DOWNTREND","DOWNTREND","30.3466540088","NEUTRAL","-0.5190115876","1.69%","LOW","-109.7046413502","0.00","-96.4285714286","52,880","55,020","54,415","1,455,641.00","1,525,312.00","1,522,501.50","Doji","None","None","-21.82%","-3.39%","-1.64%","0.00","0.00","0.00","0.00","0.00","4.05","-14.19%","6.6790123457","0","0.6996896017","0"
"ABSP","25.70","0.00","0.00%","25.50","25.50","26.40","25.70","94,000.00","2,430,130.00","609,370.00","44.50","25.50","25.60","25.60","26.42","28.82","26.9475","28.2830","31.0080","35.7910","26.8120417003","28.3717252762","30.8408268732","34.6971566868","DOWNTREND","DOWNTREND","DOWNTREND","29.102968271","OVERSOLD","-0.6806396516","2.44%","LOW","-106.3957863055","7.1428571429","-95.2380952381","147,740","186,193","157,760","3,914,493.00","5,045,188.6666666667","4,290,124.75","Inverted Hammer","None","None","-25.51%","-4.46%","-1.15%","-2,583,120.00","-6,730,445.00","-35,839,590.00","-49,571,520.00","-549,861,400.00","0.00","0.00%","0.00","0","0.00","0"
"AC","970.00","32.50","3.47%","938.50","938.50","971.00","937.50","349,630.00","337,015,270.00","149,931,610.00","1,116.00","837.00","919.50","876.00","970.50","1,038.50","929.1750","962.70","1,002.16","983.65","937.1688690744","958.2135760168","977.2231179962","966.8190733182","UPTREND","DOWNTREND","DOWNTREND","57.2625532308","NEUTRAL","-9.1015562806","2.73%","LOW","127.1126950699","62.5730994152","-13.4502923977","232,887","231,383","284,598","219,337,788.50","215,475,007.3333333333","264,125,935.25","White Long Day","None","None","-4.43%","0.41%","5.90%","181,550,615.00","183,801,870.00","-295,965,505.00","-2,661,533,270.00","-2,570,618,512.50","47.37","14.70%","20.4770952079","0","2.5441955621","0"
"ACE","1.35","-0.04","-2.88%","1.35","1.35","1.35","1.39","25,000.00","33,750.00","0.00","2.37","1.22","1.33","1.25","1.40","1.54","1.3610","1.3454","1.3722","1.5164","1.3552481482","1.3557486298","1.3919236367","1.443113246","UPTREND","SIDEWAYS","SIDEWAYS","49.7439709375","NEUTRAL","0.0066849519","4.80%","NEUTRAL","-33.2541567696","46.0317460318","-66.6666666667","145,600","133,733","404,500","201,099.00","182,736.00","583,382.00","White Marubozu","Bullish Harami","Three White Soldiers","-2.88%","0.00%","-2.17%","44,090.00","11,830.0002","43,710.0002","221,420.0001","2,327,689.9998","-0.38","-258.33%","-3.5526315789","0","0.3089244851","0"
"ACPB1","491.00","3.00","0.61%","491.00","491.00","491.00","488.00","3,200.00","1,571,200.00","0.00","550.00","485.00","488.00","485.00","500.00","518.00","503.40","506.63","517.47","518.5550","501.242766402","507.1195558169","512.5537069475","517.4024566736","DOWNTREND","SIDEWAYS","SIDEWAYS","38.4300999966","NEUTRAL","-2.8618959862","0.99%","LOW","-134.8468271335","32.00","-76.00","4,004","3,042","2,438","1,994,366.00","1,518,763.6666666667","1,218,678.75","White Marubozu","None","Three White Soldiers","-7.01%","1.24%","-1.80%","0.00","-3,022,680.00","-3,017,600.00","-11,060,065.00","-82,976,480.00","0.00","0.00%","0.00","0","0.00","0"
