"Stock","Last","Change","%Change","Open","Low","High","Close","Volume","Value","Net-Foreign","52 Week High","52 Week Low","Support 1","Support 2","Resistance 1","Resistance 2","MA 20","MA 50","MA 100","MA 200","EMA 20","EMA 50","EMA 100","EMA 200","Trend-Short","Trend-Medium","Trend-Long","RSI(14)_VALUE","RSI(14)","MACD(12,26,9)","ATR(14)","Volatility","CCI(20)","STS(14,3,3)","%R(14)","VolumeSMA(10)","VolumeSMA(15)","VolumeSMA(20)","ValueSMA(10)","ValueSMA(15)","ValueSMA(20)","CandleStick(1)","CandleStick(2)","CandleStick(3)","YTD%","MTD%","WTD%","NFB(5)","NFB(15)","NFB(30)","NFB(60)","NFB(360)","EPS","EPS%","P/E","DPS%","P/BV","ROE"
"2GO","16.72","-0.24","-1.42%","17.48","16.60","17.48","16.96","35,100.00","591,140.00","0.00","30.90","11.54","16.59","16.07","17.86","20.26","17.7220","18.0636","18.8236","19.93105","17.6447430437","18.1786961089","18.6352205463","18.2360844417","DOWNTREND","SIDEWAYS","DOWNTREND","37.9658046764","NEUTRAL","-0.2293013895","5.06%","HIGH","-148.6071568135","4.1374069007","-96.511627907","304,720","209,420","164,155","5,855,361.60","4,015,524.00","3,138,259.50","Black Long Day","None","None","-9.52%","-7.11%","-4.78%","-13,780.00","2,317,853.0001","1,045,947.0001","2,867,462.00","-13,845,568.0002","-0.13","-192.86%","-128.6153846154","0","11.4520547945","0"
"8990P","100.30","0.00","0.00%","100.30","100.30","100.30","100.30","11,000.00","1,103,300.00","0.00","102.40","100.00","100.20","100.10","101.50","102.20","100.7750","101.1720","0.00","0.00","100.6927697823","101.0113819962","0.00","0.00","SIDEWAYS","SIDEWAYS","NONE","44.5816785065","NEUTRAL","-0.207690202","0.41%","LOW","-71.6417910448","5.8823529412","-94.1176470588","17,392","15,823","14,504","1,744,496.00","1,589,364.1333333333","1,458,281.00","White Marubozu","Bullish Harami","Three White Soldiers","0.10%","0.00%","0.00%","0.00","939,654.00","3,654,865.00","4,897,026.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"AB","18.50","0.00","0.00%","18.50","17.16","18.50","18.50","17,400.00","321,068.00","0.00","26.00","11.00","17.00","12.54","18.94","19.70","18.4820","17.0668","16.3336","14.48685","18.3400258689","17.4824045025","16.4522979471","15.3217361337","UPTREND","UPTREND","UPTREND","52.7219844446","NEUTRAL","0.4142825751","5.72%","HIGH","-64.9911144961","50.5747126437","-48.275862069","6,770","5,747","5,940","123,777.60","105,291.0666666667","108,324.80","Dragonfly Doji","None","None","23.33%","0.87%","0.00%","0.00","0.00","17,960.00","-663,390.00","-532,245.00","-0.02","33.33%","-925.00","0","74.00","0"
"ABA","0.2950","0.00","0.00%","0.30","0.29","0.30","0.2950","330,000.00","97,300.00","0.00","0.42","0.29","0.2925","0.29","0.3025","0.3150","0.30075","0.3046","0.30705","0.332575","0.3007614614","0.3044031741","0.3117482432","0.3280069015","DOWNTREND","SIDEWAYS","SIDEWAYS","42.9921058109","NEUTRAL","-0.0021920218","3.80%","NEUTRAL","-141.8803418803","16.6666666667","-83.3333333333","725,000","798,667","891,000","218,280.00","238,703.3333333333","267,327.50","None","Bearish Engulfing","None","-4.84%","1.72%","-3.28%","0.00","-175,850.00","-158,750.00","-173,950.00","15,742,169.9997","-0.01","0.00%","-29.50","0","0.1528497409","0"
"ABG","21.00","0.30","1.45%","21.70","20.25","21.70","20.70","23,400.00","476,985.00","0.00","34.90","15.70","20.00","19.32","21.42","23.85","20.4745","19.5428","18.5372","21.35305","20.2604637727","19.6708998826","19.5402852192","19.9679959623","DOWNTREND","UPTREND","UPTREND","59.8331042576","NEUTRAL","0.289297274","6.00%","HIGH","37.7791939075","65.5143196069","-30.0751879699","35,910","34,633","74,570","724,677.60","694,287.40","1,602,626.45","None","None","None","20.97%","4.22%","5.11%","0.00","214,237.00","227,676.00","275,760.0001","659,538.00","-0.01","0.00%","-2,100.00","0","23.3333333333","0"
"ABS","28.20","0.00","0.00%","28.80","28.00","28.80","28.20","148,500.00","4,203,925.00","0.00","46.20","27.50","28.10","27.85","28.90","30.70","28.8050","30.1780","32.3990","36.72575","28.9394094882","30.1970523696","32.3501704596","35.7747484745","SIDEWAYS","DOWNTREND","DOWNTREND","36.4468726277","NEUTRAL","-0.4960984223","2.14%","LOW","-122.0400728597","11.0617283951","-92.00","65,840","103,913","97,290","1,890,825.00","3,041,702.6666666667","2,835,669.75","Black Long Day","None","None","-18.50%","-7.24%","-2.42%","0.00","0.00","0.00","0.00","0.00","4.05","-14.19%","6.962962963","0","0.7294361097","0"
"ABSP","26.65","-0.85","-3.09%","27.50","26.40","27.50","27.50","169,900.00","4,603,870.00","-317,825.00","46.20","26.40","26.52","26.52","27.98","29.18","27.82","29.6740","32.2060","36.7675","28.0060456078","29.580858527","32.0323652466","35.7463820405","DOWNTREND","DOWNTREND","DOWNTREND","19.1164101309","OVERSOLD","-0.6766214767","1.51%","LOW","-392.9512516469","0.00","-84.3750","211,500","368,573","334,225","5,884,267.50","10,249,457.6666666667","9,318,483.00","Black Long Day","None","Three Black Crows","-22.75%","-4.82%","-4.65%","-2,166,085.00","-25,819,660.00","-36,112,760.00","-53,665,695.00","-563,338,460.00","0.00","0.00%","0.00","0","0.00","0"
"AC","919.00","13.00","1.43%","910.00","910.00","928.00","906.00","113,340.00","104,328,745.00","-16,348,760.00","1,116.00","837.00","902.75","876.00","951.75","1,038.00","931.3750","995.45","1,013.92","978.3125","942.2895142234","977.1386142286","991.7830173309","972.0899974782","SIDEWAYS","DOWNTREND","SIDEWAYS","41.4364353158","NEUTRAL","-21.802866073","2.84%","LOW","-61.8401206637","13.0811560293","-75.1592356688","375,219","394,159","423,651","348,971,631.50","365,534,177.00","393,543,960.00","None","None","None","-9.46%","-3.06%","-3.87%","-224,297,690.00","-482,083,320.00","-2,500,231,260.00","-4,284,382,455.00","-4,255,484,392.50","46.67","17.03%","19.6914506107","0","2.4523015344","0"
"ACE","1.38","0.07","5.34%","1.31","1.31","1.38","1.31","29,000.00","38,690.00","0.00","2.37","1.22","1.30","1.22","1.54","1.75","1.3130","1.3434","1.3863","1.53485","1.3353457141","1.3515439768","1.4000063589","1.4534679823","UPTREND","SIDEWAYS","SIDEWAYS","53.3517425895","NEUTRAL","-0.0038069899","5.64%","HIGH","68.1459924821","29.9159663865","-58.8235294118","684,400","468,467","465,950","992,187.00","677,025.3333333333","653,283.00","White Marubozu","None","None","-0.72%","7.81%","1.47%","27,560.00","41,100.00","134,839.9999","258,359.9999","2,624,029.9996","0.52","40.54%","2.6538461538","0","0.2936170213","0"
"ACPB1","510.00","2.00","0.39%","510.00","510.00","510.00","508.00","40.00","20,400.00","0.00","550.00","500.00","507.50","500.00","518.00","537.50","508.65","511.36","519.84","520.2550","508.4714713821","511.7380130116","515.7838969981","519.4344100718","SIDEWAYS","SIDEWAYS","SIDEWAYS","51.4226982783","NEUTRAL","-1.2398293397","0.66%","LOW","40.8692831657","86.6666666667","0.00","872","1,142","958","442,991.50","578,237.00","485,176.25","White Marubozu","None","None","-3.41%","0.59%","0.39%","-1,574,800.00","-1,569,720.00","-1,958,610.00","-9,612,185.00","-81,528,600.00","0.00","0.00%","0.00","0","0.00","0"
