"Stock","Last","Change","%Change","Open","Low","High","Close","Volume","Value","Net-Foreign","52 Week High","52 Week Low","Support 1","Support 2","Resistance 1","Resistance 2","MA 20","MA 50","MA 100","MA 200","EMA 20","EMA 50","EMA 100","EMA 200","Trend-Short","Trend-Medium","Trend-Long","RSI(14)","RSI(14)","MACD(12,26,9)","ATR(14)","Volatility","CCI(20)","STS(14,3,3)","%R(14)","VolumeSMA(10)","VolumeSMA(15)","VolumeSMA(20)","ValueSMA(10)","ValueSMA(15)","ValueSMA(20)","CandleStick(1)","CandleStick(2)","CandleStick(3)","YTD%","MTD%","WTD%","NFB(5)","NFB(15)","NFB(30)","NFB(60)","NFB(360)","EPS","EPS%","P/E","DPS%","P/BV","ROE"
"2GO","17.92","-0.10","-0.55%","18.20","17.92","18.20","18.02","25,700.00","461,344.00","0.00","30.90","8.35","17.91","16.32","18.26","19.90","18.1980","19.2408","18.9740","20.5936","18.2334388664","18.7236209222","19.0340102698","18.3419051936","DOWNTREND","DOWNTREND","SIDEWAYS","44.0591233292","NEUTRAL","-0.270621365","3.46%","NEUTRAL","-50.7509062662","6.7321743512","-93.8775510204","29,740","52,467","58,205","539,548.80","976,184.3333333333","1,068,480.85","Black Marubozu","None","None","-3.03%","-0.44%","-0.44%","8,950.00","121,950.00","456,063.9999","389,622.0003","-16,049,356.0003","-0.02","81.82%","-896.00","0","10.9268292683","0"
"8990P","101.70","1.00","0.99%","101.70","101.70","101.70","100.70","10.00","1,017.00","0.00","102.40","100.00","100.70","100.10","101.90","102.20","101.2050","101.4640","0.00","0.00","101.2256895546","101.3274578964","0.00","0.00","SIDEWAYS","SIDEWAYS","NONE","54.1301702027","NEUTRAL","-0.1073412998","0.55%","LOW","98.9583333333","74.0740740741","-11.1111111111","10,535","11,487","17,078","1,064,383.10","1,069,939.4666666667","1,661,436.80","White Marubozu","None","None","1.50%","0.39%","0.69%","939,654.00","3,654,865.00","3,654,865.00","4,947,226.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"AB","18.30","-0.10","-0.54%","18.30","18.30","18.30","18.40","1,000.00","18,300.00","0.00","26.00","9.50","17.06","12.54","18.50","19.50","18.2140","15.9224","15.6732","13.92295","17.7217169153","16.6073890215","15.7167793896","14.7979768866","SIDEWAYS","UPTREND","SIDEWAYS","57.0083521275","NEUTRAL","0.8038625512","6.97%","HIGH","38.3584244174","76.1574074074","-24.3055555556","5,620","5,107","8,405","100,915.00","91,353.7333333333","152,889.30","White Marubozu","None","None","22.00%","1.89%","0.11%","0.00","17,960.00","-357,078.00","-663,390.00","-532,245.00","-0.03","0.00%","-610.00","0","26.9117647059","0"
"ABA","0.3050","0.00","0.00%","0.31","0.30","0.31","0.3050","570,000.00","172,850.00","0.00","0.42","0.29","0.2950","0.2925","0.3150","0.36","0.3125","0.3052","0.3137","0.3390","0.308835361","0.3092341074","0.316675362","0.333262482","DOWNTREND","SIDEWAYS","SIDEWAYS","47.9938196153","NEUTRAL","0.0012060638","5.37%","HIGH","-57.1428571429","13.7254901961","-88.2352941176","2,160,000","4,928,000","4,660,000","658,015.00","1,665,600.00","1,551,985.00","None","None","None","-1.61%","-1.61%","-1.61%","0.00","-11,150.00","13,650.00","-15,850.00","15,914,519.9997","-0.01","0.00%","-30.50","0","0.1580310881","0"
"ABG","22.00","-0.75","-3.30%","22.75","20.80","24.00","22.75","88,300.00","1,924,735.00","75,725.00","34.90","15.70","19.13","18.25","23.85","24.65","19.5650","18.7870","18.3069","22.1421","19.8690824005","19.1214184023","19.2736000817","19.9284768641","UPTREND","UPTREND","SIDEWAYS","72.4769489282","OVERBOUGHT","0.419488511","5.34%","HIGH","229.0076335878","73.4672849047","-45.5950540958","99,760","72,447","71,250","2,193,714.80","1,575,243.20","1,499,684.70","None","None","None","26.73%","14.58%","14.11%","-221,275.00","-215,511.00","-180,897.00","-135,084.9999","216,351.00","-0.01","66.67%","-2,200.00","0","24.4444444444","0"
"ABS","28.40","-0.05","-0.18%","28.60","28.20","28.60","28.45","32,000.00","907,320.00","0.00","46.70","27.50","27.95","27.95","29.00","31.92","29.93","31.8220","34.0115","37.9325","29.7983716351","31.5410563877","33.7717184639","37.0577799393","DOWNTREND","DOWNTREND","DOWNTREND","18.3175686789","OVERSOLD","-0.9401619856","1.87%","LOW","-114.6359048306","25.5554082715","-73.9130434783","88,250","77,093","84,950","2,575,402.00","2,263,671.00","2,557,809.50","None","None","None","-17.92%","-10.55%","-2.74%","0.00","0.00","0.00","0.00","0.00","3.89","-14.13%","7.3007712082","0","0.7615982837","0"
"ABSP","27.55","-0.45","-1.61%","28.00","27.50","28.00","28.00","22,200.00","620,545.00","-620,545.00","47.20","27.50","27.52","27.52","28.38","31.55","29.2625","31.4320","33.8160","37.97325","29.1705381357","31.1011897088","33.5306850924","37.0391167409","DOWNTREND","DOWNTREND","DOWNTREND","19.0006258557","OVERSOLD","-1.0612646997","1.87%","LOW","-111.8613549404","0.00","-97.9591836735","165,590","219,660","181,400","4,698,746.90","6,365,026.60","5,291,353.95","Black Long Day","None","None","-20.14%","-11.13%","-3.33%","-4,800,415.00","-10,293,100.00","-19,428,055.00","-37,054,910.00","-514,675,956.50","0.00","0.00%","0.00","0","0.00","0"
"AC","918.00","-19.00","-2.03%","927.00","908.00","927.00","937.00","618,010.00","568,421,445.00","-138,789,785.00","1,116.00","818.00","912.00","876.00","1,010.00","1,071.00","1,015.25","1,034.98","1,032.7750","972.82","998.1816116383","1,021.4294872298","1,015.9045732825","979.42984125","DOWNTREND","SIDEWAYS","SIDEWAYS","31.5145233535","NEUTRAL","-16.5942261731","3.10%","NEUTRAL","-175.9073702961","0.00","-93.4210526316","514,065","387,961","353,817","497,961,478.50","378,959,108.00","350,862,868.50","None","None","None","-9.56%","-13.15%","-7.27%","-917,080,627.50","-2,235,983,300.00","-2,590,949,005.00","-4,202,387,895.00","-3,815,996,857.50","45.03","23.10%","20.3864090606","0","2.4900992785","0"
"ACE","1.23","0.00","0.00%","1.25","1.23","1.25","1.23","54,000.00","66,490.00","0.00","2.37","1.22","1.22","1.17","1.32","1.75","1.3530","1.3638","1.4216","1.5729","1.3330502881","1.3684656223","1.4248831813","1.4738045258","DOWNTREND","SIDEWAYS","DOWNTREND","41.4216343281","NEUTRAL","-0.0108356346","7.24%","HIGH","-129.3532338308","6.5375703409","-97.3684210526","401,900","996,267","758,750","527,533.00","1,476,558.6666666667","1,122,511.50","Black Marubozu","None","None","-11.51%","-8.89%","-11.51%","19,050.00","93,739.9999","164,509.9999","210,309.9999","2,720,429.9996","0.52","40.54%","2.3653846154","0","0.2617021277","0"
"ACPB1","510.00","6.00","1.19%","510.00","510.00","510.00","504.00","400.00","204,000.00","0.00","550.00","500.00","504.00","500.00","518.00","537.50","509.10","516.62","521.4250","522.4875","510.7701635658","515.2553634168","518.7409838278","521.4036345523","SIDEWAYS","SIDEWAYS","SIDEWAYS","48.5481125598","NEUTRAL","-2.589308539","1.41%","LOW","15.1108944675","49.4623655914","-51.6129032258","1,114","827","3,255","562,812.00","417,673.3333333333","1,661,350.25","White Marubozu","None","Three White Soldiers","-3.41%","-1.54%","-1.54%","0.00","-388,890.00","-8,042,465.00","-13,357,225.00","-74,029,130.00","0.00","0.00%","0.00","0","0.00","0"
