"Stock","Last","Change","%Change","Open","Low","High","Close","Volume","Value","Net-Foreign","52 Week High","52 Week Low","Support 1","Support 2","Resistance 1","Resistance 2","MA 20","MA 50","MA 100","MA 200","EMA 20","EMA 50","EMA 100","EMA 200","Trend-Short","Trend-Medium","Trend-Long","RSI(14)","RSI(14)","MACD(12,26,9)","ATR(14)","Volatility","CCI(20)","STS(14,3,3)","%R(14)","VolumeSMA(10)","VolumeSMA(15)","VolumeSMA(20)","ValueSMA(10)","ValueSMA(15)","ValueSMA(20)","CandleStick(1)","CandleStick(2)","CandleStick(3)","YTD%","MTD%","WTD%","NFB(5)","NFB(15)","NFB(30)","NFB(60)","NFB(360)","EPS","EPS%","P/E","DPS%","P/BV","ROE"
"ACPB2","512.00","1.00","0.20%","522.00","511.00","522.00","511.00","3,010.00","1,539,220.00","0.00","540.00","500.00","511.00","500.00","518.00","534.50","514.45","518.23","521.1950","523.36","514.8787503359","517.5535550001","519.8724327844","522.6552118793","SIDEWAYS","SIDEWAYS","SIDEWAYS","44.7256732532","NEUTRAL","-1.4088607749","0.78%","LOW","12.7094165222","0.00","-92.8571428571","5,533","3,715","4,475","2,850,495.50","1,914,097.00","2,306,157.00","Black Long Day","None","None","-2.66%","-0.39%","-0.39%","0.00","-5,140.00","62,100.00","469,795.00","10,533,595.00","0.00","0.00%","0.00","0","0.00","0"
"ACR","1.27","-0.02","-1.55%","1.27","1.26","1.27","1.29","526,000.00","664,780.00","0.00","1.94","1.23","1.24","1.19","1.30","1.38","1.2965","1.3046","1.3312","1.3932","1.2977941344","1.3087535963","1.3319934627","1.3736952152","UPTREND","SIDEWAYS","SIDEWAYS","43.2743207461","NEUTRAL","-0.0009561786","2.74%","LOW","-70.3933747412","33.3333333333","-73.3333333333","824,000","773,933","715,350","1,064,324.00","1,005,474.6666666667","925,524.50","Dragonfly Doji","Bullish Harami","None","-5.93%","0.00%","-3.79%","-242,530.00","-117,490.0001","227,739.9999","867,519.9999","-101,451,300.0001","0.05","25.00%","25.40","0","0.765060241","0"
"AEV","68.70","-0.70","-1.01%","69.40","68.30","69.65","69.40","998,660.00","68,580,840.00","-45,387,690.00","79.00","67.00","68.05","63.70","71.80","79.00","73.7750","74.8470","73.3710","73.99","72.7410094477","73.8016346945","73.8826860656","73.85318659","DOWNTREND","SIDEWAYS","SIDEWAYS","34.730883466","NEUTRAL","-0.7983822544","3.21%","NEUTRAL","-146.8216408587","0.00","-92.0731707317","1,925,532","1,635,345","1,518,851","138,840,671.50","118,379,168.6666666667","111,139,054.60","None","None","None","-7.16%","-11.24%","-4.65%","-203,432,315.00","-681,969,390.50","-959,367,169.50","-563,758,288.5004","-3,422,912,458.5025","3.78","-6.90%","18.1746031746","0","2.5425610659","0"
"AGI","12.98","-0.22","-1.67%","13.12","12.90","13.18","13.20","5,157,200.00","66,980,738.00","-9,500,298.00","17.30","12.44","12.94","12.44","14.49","15.13","14.3440","15.0144","15.4246","15.0775","14.2115217971","14.7950782731","15.0827767785","15.0398273637","DOWNTREND","DOWNTREND","SIDEWAYS","20.9703494579","OVERSOLD","-0.3188468351","2.79%","LOW","-250.5883810232","3.4091928395","-95.652173913","5,436,610","5,420,967","5,598,275","75,764,061.10","76,519,619.80","80,156,160.35","None","None","None","-18.88%","-12.65%","-9.74%","-121,198,336.00","-343,378,716.00","-386,506,116.00","-618,129,991.9999","-3,391,562,090.4790","2.04","-8.93%","6.362745098","0","0.5042735043","0"
"ALCO","0.84","-0.02","-2.33%","0.86","0.84","0.87","0.86","2,000,000.00","1,707,620.00","0.00","1.62","0.81","0.82","0.78","0.87","1.08","0.8820","0.8952","0.9075","0.99475","0.8736366512","0.8895508909","0.9187777","0.9396035892","DOWNTREND","SIDEWAYS","SIDEWAYS","43.5976185326","NEUTRAL","-0.006491597","5.06%","HIGH","-73.5658471508","14.2243692968","-86.9565217391","3,120,000","8,376,667","6,815,850","2,715,750.00","7,911,677.3333333333","6,389,641.50","Black Long Day","Tweezer Tops","None","-6.67%","-2.33%","-3.45%","26,020.00","818,070.00","1,052,870.00","750,050.00","-370,367,901.0002","0.02","-88.24%","42.00","0","1.4237288136","0"
"ALCPB","107.00","0.00","0.00%","107.00","107.00","107.00","107.00","490.00","52,430.00","0.00","109.00","100.00","103.50","100.75","108.95","109.00","107.6550","107.6640","106.94","0.00","107.4859648205","107.4411753445","107.0506737805","0.00","SIDEWAYS","SIDEWAYS","SIDEWAYS","45.9738049433","NEUTRAL","-0.0610403186","0.85%","LOW","-55.1515151515","77.7777777778","-22.2222222222","8,925","6,952","6,281","894,694.00","703,170.8666666667","641,918.65","White Marubozu","Tweezer Bottoms","None","-0.93%","-1.74%","0.00%","144,923.00","-3,527,077.00","-3,575,562.00","-5,670,641.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"ALHI","15.38","-0.60","-3.75%","15.92","15.00","15.92","15.98","70,500.00","1,076,446.00","-160.00","29.25","6.00","15.19","14.50","19.60","20.22","16.5870","16.01","13.5878","10.28135","16.5282315229","15.7303885756","13.9909850241","11.9182070592","UPTREND","UPTREND","UPTREND","44.6695747394","NEUTRAL","0.2699079496","8.84%","HIGH","-108.1749802059","13.6456400742","-92.2448979592","160,140","111,853","102,635","2,850,307.00","1,980,757.3333333333","1,801,825.90","None","None","None","19.41%","-10.79%","-16.86%","-2,297,372.00","-3,239,994.0001","-2,625,480.0001","-3,824,023.9999","-3,207,150.0006","0.55","30.95%","27.9636363636","0","2.5048859935","0"
"ALI","40.35","-1.60","-3.81%","40.50","40.00","41.00","41.95","20,754,200.00","840,300,545.00","-250,151,170.00","47.50","33.05","39.75","37.82","41.95","46.00","41.41","43.6170","43.5965","42.90525","41.674396317","42.8010996018","43.0957323555","42.2379752149","DOWNTREND","DOWNTREND","SIDEWAYS","41.7753497334","NEUTRAL","-0.8351312169","2.97%","LOW","-142.5685425685","0.00","-80.00","18,097,290","16,586,167","17,468,355","738,929,677.80","680,400,664.20","722,443,731.65","None","Bearish Harami","None","-9.53%","-1.82%","-1.59%","-591,575,790.00","-2,281,804,095.00","-4,650,084,230.00","-3,907,063,565.00","-10,216,737,387.8004","1.72","19.44%","23.4593023256","0","3.2409638554","0"
"ALLS","4,824.16","-66.01","-1.35%","4,823.71","4,792.25","4,824.16","4,890.17","0.00","0.00","0.00","5,287.61","4,357.41","4,789.06","4,647.75","4,968.51","5,118.75","5,004.9690","5,078.2870","4,996.3081","4,885.4948","4,976.156422548","5,020.0261640916","4,988.4521197996","4,885.002757997","DOWNTREND","SIDEWAYS","SIDEWAYS","33.6192043056","NEUTRAL","-38.0860430468","1.33%","LOW","-166.8987885869","0.00","-88.8917020065","0","0","0","0.00","0.00","0.00","Hammer","None","None","-3.32%","-5.09%","-3.18%","0.00","0.00","0.00","0.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"ANI","13.90","-0.10","-0.71%","13.92","13.72","13.92","14.00","465,200.00","6,461,486.00","2,346,328.00","14.10","5.07","13.37","12.78","14.07","14.07","13.5020","12.7220","12.4636","10.7770","13.5634001323","12.9905253597","12.2423494349","10.7899063771","UPTREND","UPTREND","SIDEWAYS","63.6096201756","NEUTRAL","0.3373021207","2.24%","LOW","64.1087386953","83.1069476971","-16.393442623","1,311,430","1,617,053","1,543,645","18,161,534.80","21,928,522.00","20,723,759.80","Hanging Man","Bearish Harami","None","13.93%","7.42%","-0.43%","1,473,762.00","8,055,444.00","35,332,660.00","32,526,167.9999","186,120,757.0019","-0.22","-29.41%","-63.1818181818","0","10.2205882353","0"
"ANS","6.42","-0.12","-1.83%","6.50","6.42","6.65","6.54","21,500.00","139,129.00","0.00","7.90","6.00","6.34","6.10","7.64","7.88","7.3815","7.1658","7.0867","6.9195","7.2191285548","7.195420714","7.0991739976","6.9177860928","DOWNTREND","UPTREND","SIDEWAYS","28.8571394678","OVERSOLD","0.0452899988","4.20%","NEUTRAL","-238.4209585122","21.4285714286","-88.961038961","187,870","183,753","160,180","1,379,581.10","1,359,202.40","1,186,909.50","Shooting Star","None","None","-8.94%","-16.41%","-14.40%","0.00","-888,781.00","-1,209,945.00","-1,618,697.00","-69,019,534.00","0.88","-26.67%","7.2954545455","0","0.4355495251","0"
"AP","38.80","-0.20","-0.51%","38.95","38.40","38.95","39.00","965,900.00","37,413,905.00","1,290,319.9993","43.70","37.50","37.50","37.50","39.40","41.08","39.1150","39.9340","40.2790","40.23","39.186993111","39.6764031707","40.0812775575","40.5762974481","UPTREND","SIDEWAYS","SIDEWAYS","45.6222684085","NEUTRAL","-0.2288552973","2.29%","LOW","-50.2172375467","0.00","-67.9012345679","2,165,420","1,832,060","1,774,595","85,810,818.70","72,356,167.1333333333","69,778,938.35","Hanging Man","Bearish Harami","None","-6.62%","0.78%","-3.00%","-13,331,660.0007","-361,412,540.0006","-676,430,140.0002","-671,831,295.0009","-3,222,364,030.0009","2.81","0.72%","13.8078291815","0","2.5593667546","0"
"APC","0.50","-0.01","-1.96%","0.50","0.4850","0.51","0.51","7,626,000.00","3,772,140.00","0.00","0.91","0.42","0.48","0.4225","0.58","0.80","0.5945","0.5025","0.4938","0.52235","0.551823696","0.5262414826","0.5147324329","0.5185094686","DOWNTREND","UPTREND","SIDEWAYS","43.5300123825","NEUTRAL","0.0211700164","10.30%","HIGH","-153.2537543319","18.8811188811","-81.8181818182","21,196,800","31,576,600","73,722,450","12,661,289.50","19,833,676.3333333333","51,089,972.25","Doji","None","None","4.17%","-21.88%","-15.25%","54,260.00","-6,293,260.00","-44,067,740.00","-43,993,140.00","-20,879,669.9998","-0.01","0.00%","-50.00","0","16.6666666667","0"
"APL","0.0520","0.0020","4.00%","0.05","0.0480","0.0520","0.05","26,890,000.00","1,379,860.00","0.00","0.0720","0.0370","0.0470","0.0445","0.0535","0.0705","0.0576","0.05272","0.04928","0.046325","0.0545890287","0.0531008584","0.0505237985","0.0487723956","DOWNTREND","UPTREND","UPTREND","44.7404696602","NEUTRAL","0.0003947428","8.27%","HIGH","-111.1111111111","21.6374269006","-66.6666666667","93,504,000","92,724,667","195,042,000","4,991,144.00","5,158,156.00","12,087,114.00","None","None","None","23.81%","-20.00%","-1.89%","-52,040.00","-336,990.00","-3,310,330.00","-2,506,310.0001","72,606,790.0405","0.00","0.00%","0.00","0","0.00","0"
"APO","0.95","0.04","4.40%","0.94","0.92","0.96","0.91","128,000.00","121,050.00","0.00","1.36","0.88","0.91","0.88","0.96","1.04","0.9380","0.9632","0.9917","1.0756","0.9432308902","0.9624322944","0.995573389","1.049591945","SIDEWAYS","SIDEWAYS","SIDEWAYS","50.3441878609","NEUTRAL","-0.0096886288","5.36%","HIGH","45.1255853555","33.3333333333","-50.00","317,700","259,533","229,250","295,697.00","241,236.6666666667","212,700.00","None","None","None","-5.00%","0.00%","0.00%","-7,280.00","4,300.00","5,940.00","-2,610.00","115,381,729.9999","-0.07","-40.00%","-13.5714285714","0","0.4377880184","0"
"APX","1.69","-0.01","-0.59%","1.68","1.66","1.76","1.70","20,777,000.00","35,206,800.00","12,470.00","2.42","1.39","1.55","1.48","1.73","1.80","1.6795","1.6196","1.6239","1.6680","1.6640949329","1.643047229","1.6477054595","1.7333749137","DOWNTREND","UPTREND","SIDEWAYS","53.0697954547","NEUTRAL","0.0116189642","4.71%","NEUTRAL","29.2850990525","54.3209876543","-44.4444444444","6,991,500","7,798,333","9,911,800","11,617,274.00","13,144,581.3333333333","16,780,597.00","None","None","None","9.03%","-0.59%","3.05%","3,788,830.00","7,857,819.00","9,723,419.00","2,523,089.00","-72,368,130.9991","0.06","20.00%","28.1666666667","0","2.0609756098","0"
"AR","0.0031","-0.0002","-6.06%","0.0033","0.0030","0.0033","0.0033","1,763,000,000.00","5,486,400.00","-92,000.00","0.0038","0.0021","0.0030","0.0024","0.0038","0.0040","0.00319","0.00267","0.002502","0.0026775","0.0031810606","0.0028419441","0.0026877433","0.0027579153","UPTREND","UPTREND","UPTREND","50.924530008","NEUTRAL","0.0002580077","10.13%","HIGH","-4.9019607843","46.1111111111","-70.00","3,561,200,000","2,986,600,000","3,296,600,000","12,305,320.00","10,075,173.3333333333","10,633,230.00","None","Bearish Engulfing","None","40.91%","3.33%","-16.22%","115,500.00","-1,072,400.00","-1,504,099.9999","-1,334,599.9999","7,300,000.00","0.00","0.00%","0.00","0","0.00","0"
"ARA","2.13","-0.01","-0.47%","2.05","2.04","2.13","2.14","70,000.00","147,390.00","0.00","2.65","2.02","2.04","1.93","2.14","2.23","2.0815","2.1374","2.2647","2.3321","2.099719331","2.1483133587","2.2182671882","2.2780481398","SIDEWAYS","SIDEWAYS","DOWNTREND","52.5507602265","NEUTRAL","-0.0211776009","2.89%","LOW","41.3145539906","50.00","-37.50","49,900","50,067","72,300","103,472.00","104,514.00","149,531.00","White Long Day","None","None","-6.58%","3.90%","1.43%","0.00","4,280.00","-788,270.0001","-1,013,110.0001","-9,616,298.9996","0.01","0.00%","213.00","0","2.3666666667","0"
"AT","4.72","-0.07","-1.46%","4.71","4.71","4.72","4.79","314,000.00","1,478,980.00","0.00","5.80","4.40","4.55","4.40","4.94","5.12","4.9275","4.93","4.8705","4.9649","4.8857477921","4.9016063456","4.9098085364","4.9443947434","DOWNTREND","SIDEWAYS","SIDEWAYS","31.1713764115","NEUTRAL","-0.0158154068","1.69%","LOW","-176.4552336205","0.00","-97.4358974359","153,230","168,760","191,130","742,642.50","828,801.1333333333","944,826.55","White Marubozu","None","None","-5.60%","-5.60%","-2.88%","-30.00","-77,578.00","-362,494.00","-2,972,347.00","-33,826,734.9987","-0.65","-3,350.00%","-7.2615384615","0","0.261351052","0"
"ATI","12.56","0.06","0.48%","13.18","12.52","13.80","12.50","7,900.00","103,786.00","6,350.00","14.50","10.20","12.36","11.00","13.43","14.03","12.0130","11.83","11.5976","11.4166","12.175561386","11.8911094317","11.6904183693","11.5314117266","UPTREND","SIDEWAYS","SIDEWAYS","56.2133249365","NEUTRAL","0.1949376332","3.98%","NEUTRAL","124.2182347456","43.4285714285","-55.4285714286","59,020","40,747","35,405","728,053.60","500,925.7333333333","431,789.90","None","None","None","6.26%","5.55%","-4.12%","479,420.00","1,755,770.00","1,758,797.9999","26,634,125.9999","41,627,817.9997","1.26","40.00%","9.9682539683","0","1.9779527559","0"
"ATN","0.57","0.00","0.00%","0.56","0.55","0.57","0.57","4,760,000.00","2,653,150.00","0.00","0.75","0.30","0.56","0.52","0.60","0.72","0.6340","0.5638","0.4870","0.4145","0.6084504126","0.570677578","0.5114304762","0.4514745251","DOWNTREND","UPTREND","UPTREND","42.424633388","NEUTRAL","0.0139570203","6.82%","HIGH","-146.7736542962","16.1998132586","-82.3529411765","10,088,400","13,346,667","23,179,200","6,149,847.00","8,568,950.00","15,371,964.00","None","None","None","39.02%","-13.64%","-8.06%","0.00","0.00","0.00","0.00","0.00","0.00","0.00%","0.00","0","1.3902439024","0"
"ATNB","0.57","-0.02","-3.39%","0.59","0.57","0.59","0.59","309,000.00","178,090.00","0.00","0.75","0.30","0.54","0.46","0.62","0.72","0.6475","0.5904","0.5076","0.4279","0.6237112739","0.5906006211","0.5311007505","0.4674167889","DOWNTREND","UPTREND","UPTREND","40.3100942968","NEUTRAL","0.0112746056","5.78%","HIGH","-159.6347031963","6.4052287582","-100.00","3,547,600","3,277,733","5,275,500","2,219,956.00","2,104,904.00","3,515,845.00","Black Marubozu","Bearish Engulfing","None","23.91%","-13.64%","-13.64%","7,428,830.0001","12,004,119.0001","14,849,209.0001","25,493,169.0001","29,075,858.9996","0.00","0.00%","0.00","0","0.00","0"
"AUB","59.50","0.00","0.00%","59.50","59.00","59.50","59.50","2,490.00","147,865.00","114,180.00","60.00","47.15","58.85","56.90","59.60","60.00","59.4575","59.5170","59.5765","58.4130","59.5023273334","59.5004517704","59.231670418","57.6591196403","SIDEWAYS","SIDEWAYS","SIDEWAYS","50.1127831796","NEUTRAL","0.0257622383","1.53%","LOW","43.9200262209","86.9444444445","-13.3333333333","7,607","9,927","11,502","451,768.84","588,030.7933333333","680,317.67","Dragonfly Doji","Tweezer Bottoms","None","-0.50%","0.25%","-0.17%","548,494.00","4,875,099.50","9,983,505.00","23,532,334.00","342,670,354.4998","5.41","23.23%","10.9981515712","0","1.0889458272","0"
"BC","1.62","-0.01","-0.61%","1.64","1.61","1.64","1.63","109,000.00","177,030.00","0.00","2.61","1.61","1.48","1.26","1.75","1.92","1.7080","1.7224","1.7919","1.87455","1.7020171607","1.7335390986","1.7889614575","1.8853088351","SIDEWAYS","SIDEWAYS","DOWNTREND","42.7983341787","NEUTRAL","-0.0090018263","3.82%","NEUTRAL","-120.9377901578","0.00","-97.3684210526","40,400","35,200","32,950","71,125.00","61,222.00","54,756.00","Black Long Day","None","None","-6.36%","-12.43%","-5.26%","0.00","0.00","0.00","0.00","0.00","-0.60","-475.00%","-2.70","0","0.2722689076","0"
"BCB","1.67","0.01","0.60%","1.66","1.66","1.67","1.66","20,000.00","33,250.00","0.00","2.61","1.60","1.66","1.60","1.71","1.96","1.6915","1.7178","1.7859","1.89845","1.7006942867","1.7281971773","1.7870534031","1.9049188308","UPTREND","SIDEWAYS","SIDEWAYS","47.6773764516","NEUTRAL","-0.008177456","4.29%","NEUTRAL","-34.3116404367","17.5925925926","-80.5555555556","49,400","54,333","52,700","92,323.00","96,234.00","92,224.50","White Marubozu","None","None","-4.57%","-14.80%","-2.34%","0.00","77,640.00","113,800.00","-1,073,010.00","-18,712,105.9998","0.00","0.00%","0.00","0","0.00","0"
"BCOR","5.24","0.38","7.82%","5.24","5.24","5.24","4.86","1,000.00","5,240.00","0.00","7.50","4.51","4.82","4.66","5.54","6.30","5.0760","5.0718","5.1007","5.28185","5.0472891841","5.0756903735","5.1325518507","5.2233125494","DOWNTREND","SIDEWAYS","SIDEWAYS","53.1621810201","NEUTRAL","-0.0239169027","5.32%","HIGH","63.9093352027","47.572815534","-29.1262135922","5,300","4,420","4,495","25,295.90","21,379.8666666667","21,834.60","White Marubozu","None","Three White Soldiers","7.60%","-2.96%","-5.42%","0.00","4,716.00","36,670.00","59,628.00","-349,827.9998","0.22","83.33%","23.8181818182","0","2.8324324324","0"
"BDO","140.00","-3.50","-2.44%","142.00","138.50","142.00","143.50","5,099,960.00","711,273,645.00","-77,145,260.00","167.70","116.00","139.25","133.05","149.50","157.00","149.5050","152.6720","151.0410","139.4035","147.9403047438","150.4013798292","148.4174909922","141.3830568003","DOWNTREND","SIDEWAYS","SIDEWAYS","37.2739797405","NEUTRAL","-1.7945876288","3.17%","NEUTRAL","-177.9935275081","20.2392018343","-90.7975460123","2,985,872","2,428,364","2,296,515","431,759,398.20","354,009,232.60","338,313,638.45","None","None","None","-14.63%","-10.14%","-4.50%","-597,278,359.00","-1,252,189,959.00","-2,139,111,518.00","-4,040,390,456.00","-2,995,686,203.1999","6.22","-10.37%","22.5080385852","0","2.1173623714","0"
"BEL","3.66","0.00","0.00%","3.66","3.66","3.69","3.66","75,000.00","274,910.00","10,990.00","4.40","3.51","3.64","3.52","3.74","3.99","3.7710","3.7694","3.7765","3.78905","3.7386209615","3.7604693267","3.7699620288","3.7427762782","DOWNTREND","SIDEWAYS","SIDEWAYS","41.6271669464","NEUTRAL","-0.0070206971","2.26%","LOW","-116.3089341405","0.00","-95.1219512195","582,300","810,533","844,800","2,188,510.00","3,095,904.00","3,219,987.00","Gravestone Doji","None","None","-5.67%","-1.61%","-3.17%","-99,400.00","7,650,680.00","7,925,530.00","33,722,520.00","-207,285,929.9996","0.28","3.70%","13.0714285714","0","1.3707865169","0"
"BH","1,920.00","-5.00","-0.26%","1,925.00","1,920.00","1,925.00","1,925.00","10.00","19,225.00","0.00","2,990.00","1,001.00","1,400.00","1,052.00","2,012.50","2,945.00","1,612.20","1,309.20","1,019.52","0.00","1,648.7546206603","1,370.2534595333","1,046.260905323","0.00","UPTREND","UPTREND","UPTREND","55.1406534245","NEUTRAL","182.8862573821","16.42%","HIGH","54.652255154","35.8974358974","-55.2400619515","249","172","134","399,115.25","274,520.8333333333","211,383.1250","Black Marubozu","Bearish Engulfing","None","29.21%","82.16%","-4.00%","0.00","-1,850.00","20,165.00","49,100.00","0.00","3.59","-28.34%","534.8189415042","0","9.7461928934","0"
