"Stock","Last","Change","%Change","Open","Low","High","Close","Volume","Value","Net-Foreign","52 Week High","52 Week Low","Support 1","Support 2","Resistance 1","Resistance 2","MA 20","MA 50","MA 100","MA 200","EMA 20","EMA 50","EMA 100","EMA 200","Trend-Short","Trend-Medium","Trend-Long","RSI(14)","RSI(14)","MACD(12,26,9)","ATR(14)","Volatility","CCI(20)","STS(14,3,3)","%R(14)","VolumeSMA(10)","VolumeSMA(15)","VolumeSMA(20)","ValueSMA(10)","ValueSMA(15)","ValueSMA(20)","CandleStick(1)","CandleStick(2)","CandleStick(3)","YTD%","MTD%","WTD%","NFB(5)","NFB(15)","NFB(30)","NFB(60)","NFB(360)","EPS","EPS%","P/E","DPS%","P/BV","ROE"
"AEV","69.45","1.45","2.13%","68.10","68.00","70.00","68.00","1,504,980.00","103,557,135.50","-53,529,861.0003","79.00","67.00","67.90","63.70","70.65","77.45","72.8225","74.6250","73.2655","73.91725","72.0190576205","73.4123894277","73.6807279805","73.7517126346","DOWNTREND","SIDEWAYS","SIDEWAYS","39.2581153213","NEUTRAL","-1.1248888527","3.10%","NEUTRAL","-103.0994577972","9.9401067975","-80.4733727811","1,961,998","1,666,293","1,527,541","140,058,474.15","119,933,468.90","110,819,149.8750","White Long Day","None","None","-6.15%","-10.27%","1.09%","-225,392,561.5003","-712,001,921.5003","-939,134,938.5003","-712,691,706.5007","-3,429,466,407.5028","3.78","-6.90%","18.373015873","0","2.5703182828","0"
"AGI","13.08","0.34","2.67%","13.06","12.98","13.16","12.74","12,309,000.00","160,878,064.00","96,417,276.00","17.30","12.44","12.65","12.26","13.71","15.13","14.1660","14.8892","15.3778","15.0541","13.9769600198","14.6503894401","14.9976448589","14.9976704396","DOWNTREND","DOWNTREND","SIDEWAYS","28.8176630646","OVERSOLD","-0.3906395879","2.84%","LOW","-137.3075983386","12.1526392767","-76.1467889908","7,803,710","6,980,553","6,551,230","104,548,344.80","95,438,163.2666666667","91,017,178.65","Spinning Top","None","None","-18.25%","-11.98%","0.77%","111,324,504.00","-103,728,522.00","-149,342,302.00","-405,669,867.9999","-3,140,577,894.4790","2.04","-8.93%","6.4117647059","0","0.5081585082","0"
"ALCO","0.86","0.01","1.18%","0.86","0.84","0.86","0.85","683,000.00","579,490.00","0.00","1.62","0.81","0.84","0.79","0.89","1.08","0.8820","0.8896","0.9053","0.99035","0.8703012043","0.8869018413","0.9162788195","0.9379288071","DOWNTREND","SIDEWAYS","SIDEWAYS","47.284220182","NEUTRAL","-0.008437043","4.58%","NEUTRAL","-64.6625070902","28.4931252323","-58.3333333333","2,339,400","3,042,067","6,624,700","2,003,596.00","2,673,843.3333333333","6,227,434.00","Dragonfly Doji","None","None","-4.44%","0.00%","2.38%","16,800.00","1,032,120.00","1,052,870.00","756,210.00","-370,367,901.0002","0.02","-88.24%","43.00","0","1.4576271186","0"
"ALCPB","107.00","0.00","0.00%","107.00","107.00","107.00","107.00","490.00","52,430.00","0.00","109.00","100.00","103.50","100.75","108.95","109.00","107.6550","107.6640","106.94","0.00","107.4859648205","107.4411753445","107.0506737805","0.00","SIDEWAYS","SIDEWAYS","SIDEWAYS","45.9738049433","NEUTRAL","-0.0610403186","0.85%","LOW","-55.1515151515","77.7777777778","-22.2222222222","8,925","6,952","6,281","894,694.00","703,170.8666666667","641,918.65","White Marubozu","Tweezer Bottoms","None","-0.93%","-1.74%","0.00%","144,923.00","-3,527,077.00","-3,575,562.00","-5,670,641.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"ALHI","15.90","0.88","5.86%","15.02","15.02","16.00","15.02","38,300.00","590,406.00","-21,058.00","29.25","6.00","15.01","14.50","16.49","19.60","16.4830","16.1004","13.7248","10.37385","16.3384389564","15.7102741138","14.0487603393","11.9883834002","UPTREND","SIDEWAYS","UPTREND","47.9705319717","NEUTRAL","0.1638927893","7.98%","HIGH","-73.8521084995","8.843537415","-81.6326530612","170,290","116,773","101,085","3,002,960.80","2,053,105.0666666667","1,766,336.90","White Long Day","Bullish Engulfing","None","23.45%","-7.77%","3.38%","53,882.00","-3,235,588.0001","-2,853,580.0001","-3,917,881.9999","-3,153,108.0006","0.55","30.95%","28.9090909091","0","2.5895765472","0"
"ALI","41.10","1.00","2.49%","40.30","40.30","41.15","40.10","13,615,400.00","555,728,460.00","-162,205,435.00","47.50","33.05","39.75","38.28","41.95","45.40","41.22","43.4580","43.5475","42.9075","41.4840296382","42.6326182791","42.998066152","42.2055903687","DOWNTREND","DOWNTREND","SIDEWAYS","46.2514447441","NEUTRAL","-0.8220235849","2.79%","LOW","-56.8876351669","25.5555555556","-55.00","18,880,140","16,170,627","16,473,045","767,671,475.50","661,258,420.20","677,009,213.90","White Long Day","None","None","-7.85%","0.00%","1.86%","-699,270,950.00","-2,005,947,890.00","-4,500,642,765.00","-4,619,948,230.00","-10,500,814,287.8004","1.72","19.44%","23.8953488372","0","3.3012048193","0"
"ALLS","4,854.46","57.79","1.20%","4,805.50","4,805.50","4,854.46","4,796.67","0.00","0.00","0.00","5,287.61","4,357.41","4,770.74","4,614.39","4,890.17","5,101.38","4,978.27","5,066.8028","4,995.7193","4,886.79585","4,949.100336825","5,005.1178008396","4,982.0763460598","4,883.828662643","DOWNTREND","SIDEWAYS","SIDEWAYS","38.803715803","NEUTRAL","-48.6709391204","1.32%","LOW","-101.5391127266","17.5316280401","-71.0623333901","0","0","0","0.00","0.00","0.00","White Marubozu","None","None","-2.72%","-4.50%","0.63%","0.00","0.00","0.00","0.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"ANI","14.00","0.00","0.00%","14.00","13.84","14.02","14.00","769,000.00","10,748,368.00","4,849,214.00","14.10","5.07","13.65","12.78","14.02","14.07","13.6080","12.8520","12.5048","10.8409","13.6426019224","13.0681474005","12.3112701511","10.8534710141","UPTREND","UPTREND","SIDEWAYS","65.503610843","NEUTRAL","0.3323376996","2.14%","LOW","70.5745115194","88.4729088964","-9.2592592593","1,259,480","1,555,100","1,579,065","17,458,885.40","21,297,500.5333333333","21,316,733.20","Doji","None","None","14.75%","8.19%","0.72%","7,929,878.00","22,686,646.00","28,137,056.00","55,249,579.9999","192,886,107.0019","-0.22","-29.41%","-63.6363636364","0","10.2941176471","0"
"ANS","6.25","-0.15","-2.34%","6.40","6.22","6.40","6.40","38,400.00","239,825.00","0.00","7.90","6.00","6.24","6.00","6.82","7.77","7.2745","7.1380","7.0727","6.92135","7.0562480914","7.1283756764","7.0687878002","6.9060406193","DOWNTREND","SIDEWAYS","SIDEWAYS","26.3619206375","OVERSOLD","-0.0352288364","4.14%","NEUTRAL","-164.7843300688","7.5633496016","-98.0891719745","156,730","153,973","158,140","1,128,202.10","1,126,642.8666666667","1,165,509.60","Black Long Day","Bearish Engulfing","None","-11.35%","-18.62%","-2.65%","0.00","-469,174.00","-1,209,945.00","-1,618,697.00","-69,019,534.00","0.88","-26.67%","7.1022727273","0","0.4240162822","0"
"AP","39.00","0.20","0.52%","38.90","38.80","39.15","38.80","1,015,700.00","39,543,105.00","-17,845,710.00","43.70","37.50","37.50","37.50","39.40","41.08","39.1175","39.87","40.2165","40.22475","39.1358378981","39.6168565986","40.0349967004","40.5431141616","SIDEWAYS","SIDEWAYS","SIDEWAYS","47.5178455534","NEUTRAL","-0.2441195988","2.14%","LOW","-15.5800337402","33.7448559671","-62.962962963","1,757,190","1,787,193","1,722,895","69,116,801.50","70,600,489.80","67,756,317.85","Spinning Top","None","None","-6.14%","1.30%","0.52%","-16,343,200.0007","-325,746,665.0006","-647,628,025.0002","-729,113,635.0009","-3,304,174,995.0009","2.81","0.72%","13.8790035587","0","2.5725593668","0"
"APC","0.50","0.01","2.04%","0.49","0.48","0.51","0.49","5,320,000.00","2,618,450.00","0.00","0.91","0.42","0.4850","0.4325","0.52","0.70","0.5760","0.5049","0.4930","0.52215","0.541560894","0.5238469049","0.5139606485","0.5180444411","DOWNTREND","UPTREND","SIDEWAYS","43.9925005431","NEUTRAL","0.012296348","9.50%","HIGH","-117.0932627243","17.1717171717","-80.9523809524","17,720,700","19,196,400","40,912,750","10,464,612.50","11,389,637.6666666667","25,474,736.25","None","Bullish Engulfing","None","4.17%","-21.88%","0.00%","-14,850.00","-3,004,540.00","-44,082,590.00","-44,007,990.00","-20,894,519.9998","-0.01","0.00%","-50.00","0","16.6666666667","0"
"APL","0.0490","-0.0010","-2.00%","0.05","0.0490","0.0510","0.05","7,100,000.00","352,970.00","0.00","0.0720","0.0370","0.0475","0.0445","0.0520","0.0675","0.05595","0.05292","0.04922","0.04637","0.0536613137","0.0528232068","0.0504834575","0.0487867538","DOWNTREND","UPTREND","UPTREND","39.7348493874","NEUTRAL","-0.0002454104","8.13%","HIGH","-95.6746591443","24.8366013072","-82.3529411765","85,685,000","77,768,000","123,958,500","4,508,620.00","4,219,720.00","7,341,752.50","None","None","None","16.67%","-24.62%","-5.77%","-39,200.00","-338,440.00","-3,422,230.00","-2,548,310.0001","72,606,790.0405","0.00","0.00%","0.00","0","0.00","0"
"APO","0.94","0.02","2.17%","0.89","0.89","0.94","0.92","29,000.00","26,940.00","0.00","1.36","0.88","0.90","0.86","0.96","1.04","0.9395","0.9612","0.9881","1.0737","0.9409214317","0.9599538404","0.9930060568","1.0472248364","SIDEWAYS","SIDEWAYS","SIDEWAYS","49.1379919992","NEUTRAL","-0.009546636","5.47%","HIGH","-74.0740740741","38.4848484848","-54.5454545455","301,000","245,600","204,150","279,700.00","228,429.3333333333","189,811.00","White Marubozu","None","None","-6.00%","-1.05%","-1.05%","5,460.00","5,220.00","5,940.00","-2,610.00","81,640,170.00","-0.07","-40.00%","-13.4285714286","0","0.4331797235","0"
"APX","1.71","0.02","1.18%","1.69","1.69","1.72","1.69","3,482,000.00","5,939,830.00","1,970,670.00","2.42","1.39","1.62","1.55","1.74","1.80","1.6780","1.6242","1.6231","1.6669","1.6706990267","1.6474419057","1.649759946","1.7327150307","DOWNTREND","UPTREND","SIDEWAYS","54.9666098837","NEUTRAL","0.0105401344","4.41%","NEUTRAL","43.1654676259","58.0246913581","-37.037037037","6,994,600","6,777,867","8,634,650","11,613,557.00","11,428,218.6666666667","14,556,566.00","White Long Day","Bullish Harami","None","10.32%","0.59%","1.18%","5,273,850.00","8,077,070.00","11,680,289.00","5,194,279.00","-70,449,260.9991","0.06","20.00%","28.50","0","2.0853658537","0"
"AR","0.0030","0.0001","3.45%","0.0029","0.0028","0.0031","0.0029","2,182,000,000.00","6,365,800.00","0.00","0.0038","0.0021","0.0028","0.0027","0.0034","0.0038","0.00323","0.002698","0.002512","0.002675","0.0031395983","0.0028503298","0.0026980465","0.0027617238","UPTREND","UPTREND","UPTREND","48.075293454","NEUTRAL","0.0002203235","10.40%","HIGH","-65.808297568","20.00","-80.00","2,885,300,000","2,788,933,333","3,426,950,000","9,957,400.00","9,417,213.3333333333","11,024,925.00","None","Bullish Engulfing","None","36.36%","0.00%","-3.23%","204,000.00","-553,900.00","-1,624,099.9999","-1,454,599.9999","7,108,000.00","0.00","0.00%","0.00","0","0.00","0"
"ARA","2.14","0.11","5.42%","2.14","2.13","2.14","2.03","14,000.00","29,930.00","0.00","2.65","2.02","2.03","1.93","2.18","2.25","2.0850","2.1310","2.2586","2.32995","2.0975480238","2.1435295556","2.2130631028","2.2742309444","SIDEWAYS","SIDEWAYS","DOWNTREND","53.1250094649","NEUTRAL","-0.0181069497","3.15%","NEUTRAL","123.5813366961","0.00","-31.25","48,100","41,867","62,250","99,792.00","87,301.3333333333","128,874.00","Dragonfly Doji","None","None","-6.14%","4.39%","0.47%","0.00","4,280.00","-723,170.0001","-920,450.0001","-9,609,298.9997","0.01","0.00%","214.00","0","2.3777777778","0"
"AT","4.70","-0.02","-0.42%","4.73","4.60","4.73","4.72","165,000.00","768,560.00","-4,600.00","5.80","4.40","4.65","4.40","4.89","5.12","4.9120","4.9240","4.8676","4.96335","4.8680575262","4.8937002144","4.9056539119","4.9419629549","DOWNTREND","SIDEWAYS","SIDEWAYS","29.8992496003","OVERSOLD","-0.0227303933","1.77%","LOW","-173.3796296296","0.00","-80.00","159,030","160,113","182,130","765,949.00","781,796.8666666667","897,135.05","Hanging Man","Bearish Engulfing","None","-6.00%","-6.00%","-0.42%","-4,630.00","-64,682.00","-347,134.00","-2,967,847.00","-33,826,994.9987","-0.65","-3,350.00%","-7.2307692308","0","0.2602436323","0"
"ATI","12.52","0.00","0.00%","12.54","12.52","12.54","12.52","9,700.00","121,458.00","0.00","14.50","10.20","12.50","11.00","13.18","13.80","12.1090","11.8568","11.6240","11.4323","12.2380445813","11.9394670302","11.7229477931","11.5509872474","UPTREND","SIDEWAYS","SIDEWAYS","55.6423299911","NEUTRAL","0.2171419753","3.47%","NEUTRAL","50.9662159147","38.5790754258","-72.2627737226","53,910","41,887","31,780","667,794.00","515,280.5333333333","390,713.90","Black Marubozu","Bearish Harami","None","5.92%","5.21%","-0.32%","472,600.00","1,755,770.00","1,758,797.9999","26,634,125.9999","41,627,817.9997","1.26","40.00%","9.9365079365","0","1.9716535433","0"
"ATN","0.58","0.02","3.57%","0.56","0.56","0.59","0.56","5,645,000.00","3,205,670.00","0.00","0.75","0.30","0.56","0.53","0.65","0.72","0.6240","0.5690","0.4892","0.416575","0.601565984","0.5706408554","0.5137310162","0.4538224962","DOWNTREND","UPTREND","UPTREND","45.660967809","NEUTRAL","0.0070025186","6.37%","HIGH","-85.4412591343","20.1680672269","-71.4285714286","8,311,900","9,584,400","20,131,550","4,934,443.00","5,930,842.00","13,332,678.00","White Long Day","None","None","41.46%","-12.12%","1.75%","0.00","0.00","0.00","0.00","0.00","0.00","0.00%","0.00","0","1.4146341463","0"
"ATNB","0.58","0.00","0.00%","0.59","0.58","0.59","0.58","109,000.00","64,020.00","0.00","0.75","0.30","0.57","0.54","0.60","0.72","0.6385","0.5938","0.5101","0.430025","0.6157817911","0.5897855022","0.5330181802","0.4696461043","DOWNTREND","UPTREND","UPTREND","42.5265728918","NEUTRAL","0.0041705261","5.25%","HIGH","-101.0809231668","0.00","-90.9090909091","3,146,100","2,566,733","4,661,250","1,947,285.00","1,611,670.00","3,105,167.00","Black Marubozu","Tweezer Tops","None","26.09%","-12.12%","1.75%","10,440.0001","11,053,670.0001","16,998,709.0001","22,968,319.0001","29,309,358.9996","0.00","0.00%","0.00","0","0.00","0"
"AUB","59.70","0.30","0.51%","59.50","59.25","59.70","59.40","4,560.00","271,954.50","208,899.50","60.00","47.15","58.95","56.90","59.80","60.00","59.45","59.51","59.5745","58.5085","59.5123359804","59.5044923878","59.244211525","57.69657674","SIDEWAYS","SIDEWAYS","SIDEWAYS","54.5790541413","NEUTRAL","0.0254388003","1.48%","LOW","123.5508972527","88.8888888889","0.00","7,200","10,182","11,743","427,377.55","603,112.06","694,452.3450","Spinning Top","None","None","-0.17%","0.59%","0.34%","547,904.50","4,971,866.00","9,840,488.50","23,328,476.50","342,016,908.9998","5.41","23.23%","11.0351201479","0","1.0926061493","0"
"BC","1.62","-0.01","-0.61%","1.64","1.61","1.64","1.63","109,000.00","177,030.00","0.00","2.61","1.61","1.48","1.26","1.75","1.92","1.7080","1.7224","1.7919","1.87455","1.7020171607","1.7335390986","1.7889614575","1.8853088351","SIDEWAYS","SIDEWAYS","DOWNTREND","42.7983341787","NEUTRAL","-0.0090018263","3.82%","NEUTRAL","-120.9377901578","0.00","-97.3684210526","40,400","35,200","32,950","71,125.00","61,222.00","54,756.00","Black Long Day","None","None","-6.36%","-12.43%","-5.26%","0.00","0.00","0.00","0.00","0.00","-0.60","-475.00%","-2.70","0","0.2722689076","0"
"BCB","1.67","0.01","0.60%","1.66","1.66","1.67","1.66","20,000.00","33,250.00","0.00","2.61","1.60","1.66","1.60","1.71","1.96","1.6915","1.7178","1.7859","1.89845","1.7006942867","1.7281971773","1.7870534031","1.9049188308","UPTREND","SIDEWAYS","SIDEWAYS","47.6773764516","NEUTRAL","-0.008177456","4.29%","NEUTRAL","-34.3116404367","17.5925925926","-80.5555555556","49,400","54,333","52,700","92,323.00","96,234.00","92,224.50","White Marubozu","None","None","-4.57%","-14.80%","-2.34%","0.00","77,640.00","113,800.00","-1,073,010.00","-18,712,105.9998","0.00","0.00%","0.00","0","0.00","0"
"BCOR","5.10","-0.12","-2.30%","5.10","4.90","5.10","5.22","21,600.00","109,960.00","0.00","7.50","4.51","4.86","4.66","5.24","5.54","5.0945","5.0746","5.0974","5.2787","5.0671913729","5.0820809637","5.1336046161","5.2220529261","DOWNTREND","SIDEWAYS","SIDEWAYS","50.5706505825","NEUTRAL","-0.0162432772","5.18%","HIGH","-12.5807645234","65.6957928803","-42.7184466019","3,990","5,687","5,080","20,059.60","27,795.7333333333","24,871.75","Dragonfly Doji","None","None","4.72%","-5.56%","-2.67%","0.00","4,716.00","36,670.00","59,628.00","-349,827.9998","0.22","83.33%","23.1818181818","0","2.7567567568","0"
"BDO","140.00","2.00","1.45%","138.50","138.50","141.00","138.00","2,443,530.00","341,892,953.00","-144,086,698.00","167.70","116.00","137.60","133.05","144.35","155.90","148.0550","151.6740","151.1310","139.5725","146.3275510488","149.5262256708","148.0486059421","141.3359677322","DOWNTREND","SIDEWAYS","SIDEWAYS","38.8090897296","NEUTRAL","-2.3223884702","3.02%","NEUTRAL","-127.4585921325","10.1381917333","-83.3333333333","3,267,268","2,659,256","2,364,105","466,337,806.90","383,722,784.6666666667","344,308,686.80","None","None","None","-14.63%","-10.14%","0.00%","-768,143,974.00","-1,512,292,874.00","-2,428,502,844.00","-4,676,341,445.00","-3,525,099,065.1999","6.22","-10.37%","22.5080385852","0","2.1173623714","0"
"BEL","3.70","0.04","1.09%","3.66","3.66","3.73","3.66","297,000.00","1,097,520.00","-155,370.00","4.40","3.51","3.64","3.52","3.73","3.99","3.76","3.7620","3.7751","3.7846","3.7281681794","3.7543125157","3.7664422943","3.7415351945","DOWNTREND","SIDEWAYS","SIDEWAYS","46.1120041308","NEUTRAL","-0.0145379238","2.26%","LOW","-71.9269994632","8.1300813008","-85.3658536585","497,200","601,400","706,900","1,848,561.00","2,282,120.6666666667","2,691,401.50","None","Bullish Harami","None","-4.64%","-0.54%","1.09%","179,340.00","5,834,520.00","7,860,060.00","33,569,570.00","-207,884,529.9996","0.28","3.70%","13.2142857143","0","1.3857677903","0"
"BH","1,930.00","-20.00","-1.03%","1,930.00","1,930.00","1,930.00","1,950.00","5.00","9,650.00","0.00","2,990.00","1,001.00","1,400.00","1,052.00","2,025.00","2,945.00","1,673.00","1,344.00","1,051.57","0.00","1,701.4975466176","1,414.047887866","1,081.3021402873","0.00","UPTREND","UPTREND","UPTREND","55.1861774073","NEUTRAL","179.7706270709","14.43%","HIGH","43.6572142269","43.5017711522","-57.6713819369","239","173","133","381,361.00","277,438.8333333333","211,285.3750","White Marubozu","Bullish Harami","None","29.88%","83.11%","0.52%","0.00","-9,100.00","20,165.00","49,100.00","0.00","3.59","-28.34%","537.6044568245","0","9.7969543147","0"
