"Stock","Last","Change","%Change","Open","Low","High","Close","Volume","Value","Net-Foreign","52 Week High","52 Week Low","Support 1","Support 2","Resistance 1","Resistance 2","MA 20","MA 50","MA 100","MA 200","EMA 20","EMA 50","EMA 100","EMA 200","Trend-Short","Trend-Medium","Trend-Long","RSI(14)","RSI(14)","MACD(12,26,9)","ATR(14)","Volatility","CCI(20)","STS(14,3,3)","%R(14)","VolumeSMA(10)","VolumeSMA(15)","VolumeSMA(20)","ValueSMA(10)","ValueSMA(15)","ValueSMA(20)","CandleStick(1)","CandleStick(2)","CandleStick(3)","YTD%","MTD%","WTD%","NFB(5)","NFB(15)","NFB(30)","NFB(60)","NFB(360)","EPS","EPS%","P/E","DPS%","P/BV","ROE"
"2GO","17.42","-0.08","-0.46%","17.40","17.40","17.54","17.50","33,100.00","578,968.00","0.00","30.90","8.78","17.41","16.32","18.26","19.90","18.1730","19.0502","18.9292","20.5712","18.0927696843","18.6263951689","18.9722747431","18.3244381964","DOWNTREND","DOWNTREND","SIDEWAYS","38.8543192707","NEUTRAL","-0.2779559171","3.32%","NEUTRAL","-160.0888260826","0.00","-98.4615384615","26,290","36,193","52,275","471,234.00","654,115.4666666667","962,784.45","Inverted Hammer","None","None","-5.74%","-3.22%","-2.79%","0.00","-1,271,906.00","446,584.00","-429,847.9997","-16,047,878.0003","-0.02","81.82%","-871.00","0","10.6219512195","0"
"8990P","100.20","-1.50","-1.47%","100.70","100.20","100.80","101.70","26,000.00","2,612,640.00","0.00","102.40","100.00","100.10","100.10","101.90","102.20","101.12","101.4280","0.00","0.00","101.1280048351","101.2832438612","0.00","0.00","SIDEWAYS","SIDEWAYS","NONE","42.3587255025","NEUTRAL","-0.110451485","0.62%","LOW","-147.6026836852","42.5925925926","-94.4444444444","11,615","13,207","17,799","1,172,066.00","1,242,764.80","1,733,170.15","Black Long Day","None","None","0.00%","-1.09%","-1.47%","939,654.00","3,654,865.00","3,654,865.00","4,947,226.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"AB","18.26","-0.18","-0.98%","18.26","18.26","18.26","18.44","200.00","3,652.00","0.00","26.00","9.50","18.11","16.57","18.52","19.49","18.15","16.0584","15.7460","13.98845","17.8348748445","16.7412460748","15.8199975294","14.8683033264","UPTREND","UPTREND","SIDEWAYS","56.2827624422","NEUTRAL","0.7488469893","6.15%","HIGH","38.868317239","76.8518518519","-25.6944444444","4,990","5,020","6,440","90,546.20","90,071.8666666667","116,540.40","White Marubozu","None","None","21.73%","1.67%","-0.22%","0.00","17,960.00","-357,078.00","-663,390.00","-532,245.00","-0.03","0.00%","-608.6666666667","0","26.8529411765","0"
"ABA","0.3050","0.00","0.00%","0.31","0.3050","0.31","0.3050","30,000.00","9,250.00","0.00","0.42","0.29","0.30","0.2925","0.3150","0.36","0.31325","0.3053","0.31295","0.33835","0.3081396039","0.3089085321","0.3162175495","0.3327028428","DOWNTREND","SIDEWAYS","SIDEWAYS","47.9938198174","NEUTRAL","0.0004979292","5.08%","HIGH","-48.7264673311","17.8104575164","-75.00","1,711,000","2,300,667","4,130,000","520,290.00","719,813.3333333333","1,386,450.00","Black Marubozu","Bearish Harami","None","-1.61%","-1.61%","0.00%","-14,750.00","17,100.00","-1,100.00","-30,600.00","15,899,769.9997","-0.01","0.00%","-30.50","0","0.1580310881","0"
"ABG","20.00","0.08","0.40%","20.55","19.94","21.95","19.92","54,400.00","1,102,540.00","146,875.00","34.90","15.70","19.62","18.68","23.85","25.02","19.73","18.8818","18.3087","22.08495","19.8859382009","19.1859613933","19.3005307716","19.9291050295","UPTREND","UPTREND","SIDEWAYS","52.7540946028","NEUTRAL","0.4912580952","6.98%","HIGH","60.9939052977","33.3848531685","-76.5069551777","108,070","80,820","74,540","2,372,647.80","1,747,526.40","1,574,602.10","None","Bearish Harami","None","15.21%","4.17%","-9.09%","121,965.00","13,439.00","48,053.00","88,495.0001","445,301.00","-0.01","66.67%","-2,000.00","0","22.2222222222","0"
"ABS","28.90","0.30","1.05%","28.70","28.70","29.40","28.60","60,700.00","1,756,450.00","0.00","46.70","27.50","28.30","27.95","29.15","31.80","29.6225","31.5840","33.8105","37.7840","29.6095513838","31.3266729669","33.5748664508","36.8932883685","DOWNTREND","DOWNTREND","DOWNTREND","30.657019184","NEUTRAL","-0.9420694822","1.83%","LOW","-58.0018435794","38.4575569358","-50.00","74,860","75,227","80,955","2,166,459.50","2,198,488.00","2,414,616.75","Inverted Hammer","None","None","-16.47%","-8.98%","1.76%","0.00","0.00","0.00","0.00","0.00","3.89","-14.13%","7.4293059126","0","0.7750067042","0"
"ABSP","27.60","0.05","0.18%","27.75","27.50","27.85","27.55","2,316,900.00","64,211,040.00","-3,178,635.00","47.20","27.50","27.52","27.52","28.28","31.42","29.0675","31.2940","33.6990","37.88225","29.0209630752","30.9638881516","33.4132457836","36.9451951813","DOWNTREND","DOWNTREND","DOWNTREND","20.1603109931","OVERSOLD","-1.0658648648","1.83%","LOW","-107.6660375663","7.7879427633","-95.9183673469","391,070","363,200","295,135","10,939,160.90","10,321,728.9333333333","8,435,315.95","None","None","None","-20.00%","-10.97%","0.18%","-7,235,575.00","-9,806,040.00","-23,356,810.00","-39,982,175.00","-516,758,885.00","0.00","0.00%","0.00","0","0.00","0"
"AC","949.00","-1.00","-0.11%","951.00","945.00","963.00","950.00","293,370.00","278,792,345.00","-14,032,815.00","1,116.00","818.00","912.00","876.00","956.50","1,065.00","1,003.50","1,029.96","1,031.3950","973.6350","989.345945128","1,015.8978080887","1,013.3005315892","978.8371362922","DOWNTREND","SIDEWAYS","SIDEWAYS","39.2936534861","NEUTRAL","-21.2697864514","2.97%","LOW","-82.8641547567","20.3947368421","-73.0263157895","569,519","427,738","368,207","547,357,651.75","414,756,454.6666666667","360,885,263.00","Spinning Top","None","None","-6.50%","-10.22%","3.38%","-416,215,195.00","-2,018,147,940.00","-2,324,484,665.00","-4,221,642,265.00","-3,885,063,932.50","45.03","23.10%","21.0748389962","0","2.5741875983","0"
"ACE","1.28","0.04","3.23%","1.24","1.24","1.28","1.24","8,000.00","10,200.00","0.00","2.37","1.22","1.23","1.14","1.30","1.75","1.35","1.3572","1.4143","1.56925","1.3199799411","1.3601560781","1.4184256504","1.4695728577","DOWNTREND","SIDEWAYS","DOWNTREND","45.8089005822","NEUTRAL","-0.0179921798","6.28%","HIGH","-82.6941726175","11.7746288799","-75.00","317,000","372,000","752,550","408,411.00","494,088.6666666667","1,114,346.00","White Marubozu","None","None","-7.91%","-5.19%","4.07%","0.00","25,259.9999","138,509.9999","210,309.9999","2,720,429.9996","0.52","40.54%","2.4615384615","0","0.2723404255","0"
"ACPB1","507.00","-3.00","-0.59%","507.00","507.00","507.00","510.00","1,000.00","507,000.00","0.00","550.00","500.00","504.00","500.00","518.00","540.00","508.95","516.31","521.3350","522.3025","510.4111003691","514.931623675","518.5084890985","521.2603148055","SIDEWAYS","SIDEWAYS","SIDEWAYS","46.4227300627","NEUTRAL","-2.444729029","1.36%","LOW","-39.514401333","30.9002740881","-73.3333333333","1,049","841","3,234","530,126.00","425,204.6666666667","1,650,745.25","White Marubozu","None","Three White Soldiers","-3.98%","-2.12%","-0.59%","0.00","80.00","-8,120,575.00","-8,037,225.00","-74,029,130.00","0.00","0.00%","0.00","0","0.00","0"
"ACPB2","512.00","0.00","0.00%","512.00","512.00","512.00","512.00","17,100.00","8,755,200.00","0.00","540.00","500.00","511.00","500.00","518.00","534.50","514.45","518.05","521.1550","523.22","514.6045836372","517.3357685295","519.7165430263","522.5491898706","SIDEWAYS","SIDEWAYS","SIDEWAYS","44.7256732539","NEUTRAL","-1.4585359526","0.73%","LOW","-115.3846153846","0.00","-92.8571428571","6,982","4,855","4,055","3,591,809.50","2,497,434.3333333333","2,086,560.00","White Marubozu","Bullish Harami","None","-2.66%","-0.39%","0.00%","0.00","-5,140.00","62,100.00","469,795.00","10,533,595.00","0.00","0.00%","0.00","0","0.00","0"
"ACR","1.29","0.04","3.20%","1.28","1.27","1.29","1.25","260,000.00","331,340.00","0.00","1.94","1.23","1.24","1.19","1.30","1.38","1.2960","1.3014","1.3289","1.3883","1.2929335205","1.3058044539","1.3295704272","1.3716438755","SIDEWAYS","SIDEWAYS","SIDEWAYS","48.8185227082","NEUTRAL","-0.0033197484","2.70%","LOW","-23.2399179768","26.6666666667","-60.00","666,900","754,667","645,100","851,854.00","981,116.6666666667","835,938.00","None","None","None","-4.44%","1.57%","1.57%","0.00","-90,400.0001","161,859.9999","866,159.9999","-101,451,300.0001","0.05","25.00%","25.80","0","0.7771084337","0"
