"Stock","Last","Change","%Change","Open","Low","High","Close","Volume","Value","Net-Foreign","52 Week High","52 Week Low","Support 1","Support 2","Resistance 1","Resistance 2","MA 20","MA 50","MA 100","MA 200","EMA 20","EMA 50","EMA 100","EMA 200","Trend-Short","Trend-Medium","Trend-Long","RSI(14)_VALUE","RSI(14)","MACD(12,26,9)","ATR(14)","Volatility","CCI(20)","STS(14,3,3)","%R(14)","VolumeSMA(10)","VolumeSMA(15)","VolumeSMA(20)","ValueSMA(10)","ValueSMA(15)","ValueSMA(20)","CandleStick(1)","CandleStick(2)","CandleStick(3)","YTD%","MTD%","WTD%","NFB(5)","NFB(15)","NFB(30)","NFB(60)","NFB(360)","EPS","EPS%","P/E","DPS%","P/BV","ROE"
"2GO","15.50","-0.10","-0.64%","15.80","15.44","15.80","15.60","43,800.00","678,996.00","201,930.00","30.90","14.70","15.47","14.80","15.87","17.15","15.9190","17.09","18.4235","19.14245","16.0628842915","16.911920592","17.7331495513","17.814280461","DOWNTREND","DOWNTREND","DOWNTREND","38.4380790888","NEUTRAL","-0.465788103","4.26%","NEUTRAL","-72.5490196078","13.6081274615","-96.9387755102","74,890","61,880","69,755","1,224,442.80","1,011,858.80","1,124,953.60","Black Long Day","None","None","-16.13%","-5.49%","-1.77%","244,116.00","297,818.00","3,101,937.0002","3,138,825.0002","-12,793,877.0001","-0.09","-280.00%","-172.2222222222","0","10.3333333333","0"
"8990P","100.00","-0.10","-0.10%","100.10","100.00","100.10","100.10","350.00","35,001.00","0.00","102.40","100.00","100.00","100.00","100.90","102.20","100.3950","100.8160","0.00","0.00","100.462583324","100.7436603281","0.00","0.00","SIDEWAYS","SIDEWAYS","NONE","43.7726348417","NEUTRAL","-0.1264620217","0.44%","LOW","-118.1364392679","0.00","-100.00","16,658","12,595","15,071","1,674,332.90","1,265,557.8666666667","1,513,355.90","Black Marubozu","Bearish Engulfing","None","-0.20%","-0.20%","0.00%","0.00","531,140.00","1,470,794.00","4,186,005.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"AB","18.70","-0.06","-0.32%","17.30","17.28","18.70","18.76","2,400.00","42,550.00","0.00","26.00","11.50","17.86","17.00","18.88","19.70","18.6070","18.4368","16.6110","15.04525","18.6256839212","17.9866751161","16.9722121673","15.7361974841","UPTREND","SIDEWAYS","UPTREND","52.846749315","NEUTRAL","0.2197753407","5.42%","HIGH","-33.7405468296","89.2361111111","-12.50","2,920","5,333","5,525","51,504.40","96,404.1333333333","99,372.80","White Long Day","None","Three White Soldiers","24.67%","0.00%","-0.21%","0.00","0.00","0.00","-452,400.00","-531,055.00","-0.02","33.33%","-935.00","0","27.9104477612","0"
"ABA","0.25","-0.0050","-1.96%","0.2550","0.2450","0.2550","0.2550","460,000.00","113,100.00","0.00","0.42","0.2450","0.2475","0.2475","0.2675","0.3050","0.2795","0.2944","0.2996","0.3236","0.2734581996","0.2883170069","0.3004040471","0.3190183069","DOWNTREND","DOWNTREND","SIDEWAYS","30.9586889533","NEUTRAL","-0.0099267245","4.15%","NEUTRAL","-112.1495327103","0.00","-90.9090909091","2,466,000","2,684,667","2,085,500","649,610.00","729,086.6666666667","568,245.00","None","None","None","-19.35%","-16.67%","0.00%","0.00","232,799.9999","56,949.9999","55,849.9999","724,969.9996","0.00","-100.00%","0.00","0","0.1308900524","0"
"ABG","20.50","-0.35","-1.68%","20.85","20.00","20.85","20.85","11,700.00","235,980.00","0.00","34.90","15.70","20.15","19.36","22.48","23.85","20.54","20.2418","19.2230","20.35805","20.6070511231","20.1730901802","19.8764571371","20.0734190066","UPTREND","SIDEWAYS","UPTREND","49.9391103358","NEUTRAL","0.1763452355","5.66%","HIGH","-6.4376200146","40.1408450704","-73.9436619718","47,600","40,133","38,515","982,122.90","822,174.00","788,442.20","None","None","None","18.09%","2.24%","-3.98%","315,100.00","663,605.00","781,052.00","948,555.00","748,431.00","-0.01","0.00%","-2,050.00","0","22.7777777778","0"
"ABS","26.80","0.30","1.13%","26.80","26.75","26.85","26.50","19,700.00","528,105.00","0.00","43.90","26.10","26.30","26.30","27.10","28.28","27.3475","28.36","30.8085","35.22275","27.355837533","28.5731115028","30.6844588804","34.2426360523","DOWNTREND","DOWNTREND","DOWNTREND","32.9352198551","NEUTRAL","-0.5393874469","1.75%","LOW","-94.4182551069","26.3157894737","-63.1578947368","72,510","64,520","57,370","1,958,269.50","1,752,593.00","1,564,274.50","Doji","None","None","-22.54%","-4.29%","1.13%","0.00","0.00","0.00","0.00","0.00","4.06","-3.56%","6.6009852217","0","0.7067510549","0"
"ABSP","27.00","1.00","3.85%","27.10","27.00","27.10","26.00","4,600.00","124,510.00","-40,500.00","44.50","25.45","25.48","25.48","27.30","28.80","26.4825","27.6680","30.5190","35.30275","26.5907888233","27.9283069996","30.3255737167","34.2069586848","DOWNTREND","DOWNTREND","DOWNTREND","51.1476077867","NEUTRAL","-0.5977638771","2.65%","LOW","53.4521158129","44.6405589263","-16.2162162162","102,880","130,567","127,400","2,674,983.50","3,437,804.6666666667","3,388,611.75","Black Marubozu","None","None","-21.74%","0.37%","4.05%","-3,793,590.00","-10,096,360.00","-17,980,295.00","-54,912,150.00","-515,982,140.00","0.00","0.00%","0.00","0","0.00","0"
"AC","954.00","14.00","1.49%","940.00","925.00","954.00","940.00","108,750.00","102,840,420.00","-14,585,035.00","1,116.00","837.00","927.00","898.00","990.50","1,038.00","938.8250","951.34","998.62","986.4750","944.712046233","957.5932795327","974.8020213636","966.1931855016","UPTREND","SIDEWAYS","DOWNTREND","51.9592828503","NEUTRAL","-0.9509992284","2.90%","LOW","24.3366075356","39.5604395604","-46.1538461538","209,399","212,511","230,857","199,797,903.00","201,436,728.00","216,714,005.75","None","None","None","-6.01%","-1.24%","2.69%","-242,044,310.00","-66,729,515.00","32,265,355.00","-2,657,326,325.00","-2,735,153,172.50","47.37","14.70%","20.139328689","0","2.5022294497","0"
"ACE","1.33","0.00","0.00%","1.33","1.33","1.33","1.33","5,000.00","6,650.00","0.00","2.37","1.22","1.32","1.26","1.40","1.54","1.3515","1.3472","1.3698","1.51295","1.3541568997","1.3553706384","1.3896491538","1.4404529423","UPTREND","SIDEWAYS","SIDEWAYS","47.6715679431","NEUTRAL","0.006849169","4.48%","NEUTRAL","-67.7002583979","24.0740740741","-88.8888888889","33,200","109,133","124,200","44,721.00","150,725.3333333333","168,694.00","White Marubozu","Bullish Harami","Three White Soldiers","-4.32%","-1.48%","-5.00%","26,830.00","12,150.0002","53,250.0002","217,760.0001","2,337,229.9998","-0.38","-258.33%","-3.50","0","0.3043478261","0"
"ACPB1","495.00","-5.00","-1.00%","500.00","495.00","501.00","500.00","370.00","185,000.00","0.00","550.00","485.00","491.00","485.00","500.50","518.00","501.35","505.53","516.18","517.9475","500.356582701","505.8706773816","511.4894912853","516.67033977","DOWNTREND","SIDEWAYS","SIDEWAYS","43.1344174815","NEUTRAL","-3.0897263378","0.92%","LOW","-52.49745158","53.3333333333","-60.00","3,144","2,941","2,488","1,567,647.00","1,465,197.3333333333","1,242,053.75","Black Long Day","Bearish Engulfing","None","-6.25%","2.06%","-1.00%","0.00","-1,447,880.00","-3,017,600.00","-11,060,065.00","-82,976,480.00","0.00","0.00%","0.00","0","0.00","0"
