"Stock","Last","Change","%Change","Open","Low","High","Close","Volume","Value","Net-Foreign","52 Week High","52 Week Low","Support 1","Support 2","Resistance 1","Resistance 2","MA 20","MA 50","MA 100","MA 200","EMA 20","EMA 50","EMA 100","EMA 200","Trend-Short","Trend-Medium","Trend-Long","RSI(14)_VALUE","RSI(14)","MACD(12,26,9)","ATR(14)","Volatility","CCI(20)","STS(14,3,3)","%R(14)","VolumeSMA(10)","VolumeSMA(15)","VolumeSMA(20)","ValueSMA(10)","ValueSMA(15)","ValueSMA(20)","CandleStick(1)","CandleStick(2)","CandleStick(3)","YTD%","MTD%","WTD%","NFB(5)","NFB(15)","NFB(30)","NFB(60)","NFB(360)","EPS","EPS%","P/E","DPS%","P/BV","ROE"
"2GO","16.40","0.00","0.00%","16.40","16.10","16.60","16.40","27,500.00","449,822.00","16,400.00","30.90","13.00","14.80","11.72","16.65","20.26","17.0920","17.6680","18.7620","19.64505","16.8373418467","17.6543368335","18.2948394279","18.0868787626","DOWNTREND","DOWNTREND","DOWNTREND","43.5798047006","NEUTRAL","-0.5007446882","5.16%","HIGH","-65.4780361757","40.6306928938","-52.7777777778","82,770","91,253","183,065","1,333,705.00","1,525,713.0666666667","3,419,592.90","Doji","None","None","-11.26%","0.00%","0.00%","517,954.0003","349,050.0002","2,911,837.0003","3,533,121.0002","-13,318,060.00","-0.13","-192.86%","-126.1538461538","0","11.2328767123","0"
"8990P","101.00","0.80","0.80%","100.30","100.30","101.00","100.20","730.00","73,233.00","0.00","102.40","100.00","100.20","100.10","101.50","102.20","100.61","101.0640","0.00","0.00","100.5883812778","100.9024779557","0.00","0.00","SIDEWAYS","SIDEWAYS","NONE","54.015663995","NEUTRAL","-0.2214039556","0.36%","LOW","23.8689980572","0.00","-38.4615384615","13,484","13,084","12,984","1,352,378.90","1,312,333.2666666667","1,304,025.05","White Marubozu","None","None","0.80%","0.80%","0.80%","531,140.00","531,140.00","4,186,005.00","5,321,878.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"AB","18.94","0.24","1.28%","18.94","18.94","18.94","18.70","100.00","1,894.00","0.00","26.00","11.50","17.82","17.00","18.97","19.70","18.5670","17.4336","16.3948","14.66565","18.4503810205","17.6569472805","16.621952137","15.4525119536","DOWNTREND","UPTREND","UPTREND","56.308131873","NEUTRAL","0.3162097219","5.20%","HIGH","87.9400177913","58.8505747126","-33.1034482759","7,640","6,927","5,690","137,930.60","126,877.0666666667","104,266.80","White Marubozu","None","None","26.27%","1.28%","2.49%","0.00","0.00","0.00","-663,390.00","-532,245.00","-0.02","33.33%","-947.00","0","75.76","0"
"ABA","0.30","0.00","0.00%","0.30","0.29","0.30","0.30","260,000.00","77,850.00","2,950.00","0.42","0.29","0.2925","0.29","0.3050","0.3150","0.30","0.3050","0.3051","0.33015","0.3003071964","0.3033138053","0.3102096542","0.326112481","DOWNTREND","SIDEWAYS","SIDEWAYS","48.8765551647","NEUTRAL","-0.0018108424","3.36%","NEUTRAL","-101.7653167186","47.2222222222","-33.3333333333","414,000","373,333","523,500","122,775.00","111,036.6666666667","157,352.50","Dragonfly Doji","None","None","-3.23%","0.00%","1.69%","2,950.00","-50.00","-187,650.00","-174,000.00","495,119.9997","-0.01","-133.33%","-30.00","0","0.15625","0"
"ABG","20.25","0.20","1.00%","20.50","19.76","20.50","20.05","24,700.00","491,966.00","0.00","34.90","15.70","19.85","19.13","20.98","23.00","20.3215","19.7416","18.7625","21.06755","20.3336043444","19.8587371366","19.6593949917","20.0011304905","UPTREND","SIDEWAYS","UPTREND","50.2322921155","NEUTRAL","0.2479633678","5.88%","HIGH","-30.8003720116","39.9224806202","-60.0775193798","32,040","34,487","33,300","653,581.80","699,443.7333333333","671,986.35","Hanging Man","None","None","16.65%","1.00%","-0.98%","39,740.00","77,642.00","244,572.00","298,420.0001","646,096.00","-0.01","0.00%","-2,025.00","0","22.50","0"
"ABS","27.80","-0.20","-0.71%","27.65","27.65","28.00","28.00","39,100.00","1,086,325.00","0.00","45.50","27.50","27.55","27.55","28.00","29.42","28.4325","29.5230","31.8110","36.20425","28.3733881534","29.6161362018","31.7583152976","35.2369989219","DOWNTREND","DOWNTREND","DOWNTREND","36.4794648776","NEUTRAL","-0.5158804364","1.80%","LOW","-90.3211292953","18.8453159041","-82.3529411765","44,430","45,833","54,960","1,246,779.50","1,300,202.00","1,570,697.75","None","None","None","-19.65%","-0.71%","0.36%","0.00","0.00","0.00","0.00","0.00","4.05","-14.19%","6.8641975309","0","0.7190894982","0"
"ABSP","26.60","-0.30","-1.12%","26.85","26.60","26.85","26.90","110,400.00","2,943,675.00","-2,269,555.00","46.20","26.40","26.50","26.50","28.80","30.18","27.6175","29.1310","31.7085","36.39125","27.6651375232","29.141749345","31.5691103205","35.3279704391","DOWNTREND","DOWNTREND","DOWNTREND","32.669634296","NEUTRAL","-0.6029539002","2.44%","LOW","-209.1677792612","22.2222222222","-93.9393939394","175,490","172,327","299,925","4,845,390.00","4,772,281.3333333333","8,324,170.50","Black Marubozu","None","None","-22.90%","-1.12%","-4.66%","-1,903,675.00","-9,439,070.00","-36,133,695.00","-52,778,025.00","-561,804,485.00","0.00","0.00%","0.00","0","0.00","0"
"AC","930.00","-36.00","-3.73%","950.00","930.00","968.50","966.00","211,110.00","198,841,780.00","-53,342,545.00","1,116.00","837.00","904.25","876.00","973.75","1,015.00","929.5750","982.63","1,007.52","981.2350","937.4170739263","965.7845114005","983.7078373955","969.2194506378","DOWNTREND","DOWNTREND","SIDEWAYS","46.6661202683","NEUTRAL","-16.203942611","2.91%","LOW","46.7946305357","66.5620691294","-60.2339181287","343,099","325,986","361,925","316,181,083.00","303,198,103.6666666667","335,411,608.25","None","None","None","-8.37%","-3.73%","-3.13%","127,614,795.00","8,642,150.00","-1,880,519,070.00","-3,173,697,590.00","-3,988,461,722.50","46.67","17.03%","19.9271480609","0","2.4816544363","0"
"ACE","1.34","-0.01","-0.74%","1.34","1.34","1.34","1.35","40,000.00","53,600.00","0.00","2.37","1.22","1.32","1.25","1.44","1.54","1.3440","1.3426","1.3755","1.52265","1.3464426575","1.3529539457","1.3944195629","1.4469593878","UPTREND","SIDEWAYS","SIDEWAYS","49.5360042041","NEUTRAL","0.0038306668","5.77%","HIGH","-11.1635895234","26.2724014337","-80.00","177,600","524,000","418,200","243,151.00","757,207.3333333333","600,882.00","White Marubozu","None","None","-3.60%","-0.74%","-2.90%","10,980.00","-17,079.9998","15,830.0002","177,330.0001","2,297,779.9998","0.13","-35.00%","10.3076923077","0","0.2971175166","0"
"ACPB1","500.00","15.00","3.09%","486.00","486.00","500.00","485.00","530.00","259,960.00","5,000.00","550.00","485.00","485.00","485.00","510.00","531.00","506.05","510.13","519.2350","519.61","505.7132399669","510.0745026123","514.6178782634","518.6991885819","SIDEWAYS","SIDEWAYS","SIDEWAYS","44.3187442975","NEUTRAL","-1.5059399632","1.14%","LOW","-209.6161616162","0.00","-40.00","1,831","1,443","1,508","916,460.50","724,207.00","757,932.25","White Marubozu","Bullish Harami","None","-5.30%","3.09%","-1.57%","-1,447,880.00","-3,017,600.00","-3,017,520.00","-11,060,065.00","-82,976,480.00","0.00","0.00%","0.00","0","0.00","0"
