"Stock","Last","Change","%Change","Open","Low","High","Close","Volume","Value","Net-Foreign","52 Week High","52 Week Low","Support 1","Support 2","Resistance 1","Resistance 2","MA 20","MA 50","MA 100","MA 200","EMA 20","EMA 50","EMA 100","EMA 200","Trend-Short","Trend-Medium","Trend-Long","RSI(14)_VALUE","RSI(14)","MACD(12,26,9)","ATR(14)","Volatility","CCI(20)","STS(14,3,3)","%R(14)","VolumeSMA(10)","VolumeSMA(15)","VolumeSMA(20)","ValueSMA(10)","ValueSMA(15)","ValueSMA(20)","CandleStick(1)","CandleStick(2)","CandleStick(3)","YTD%","MTD%","WTD%","NFB(5)","NFB(15)","NFB(30)","NFB(60)","NFB(360)","EPS","EPS%","P/E","DPS%","P/BV","ROE"
"2GO","15.28","-0.02","-0.13%","15.70","15.28","15.70","15.30","12,100.00","185,862.00","-15,280.00","30.90","14.70","14.80","11.72","15.79","16.95","15.7910","16.9748","18.3238","19.06335","15.9225878214","16.7871900582","17.637345236","17.7642949565","DOWNTREND","DOWNTREND","DOWNTREND","36.0834107203","NEUTRAL","-0.4606975831","4.10%","NEUTRAL","-85.3408911982","0.00","-100.00","34,600","58,753","66,125","539,625.20","957,295.3333333333","1,063,018.20","Black Marubozu","None","None","-17.32%","-6.83%","-3.17%","205,336.00","223,617.9999","572,668.0001","3,153,769.0002","-12,601,891.0001","-0.09","-280.00%","-169.7777777778","0","10.1866666667","0"
"8990P","99.95","-0.05","-0.05%","99.95","99.95","99.95","100.00","1,000.00","99,950.00","99,950.00","102.40","99.95","99.95","99.95","100.30","102.20","100.3625","100.7630","0.00","0.00","100.373906077","100.6845168965","0.00","0.00","SIDEWAYS","SIDEWAYS","NONE","43.2308705344","NEUTRAL","-0.1443792257","0.38%","LOW","-122.4695083616","0.00","-100.00","17,017","12,294","15,326","1,710,135.50","1,235,262.0666666667","1,538,830.90","White Marubozu","None","None","-0.25%","-0.25%","-0.05%","99,950.00","590,930.00","631,090.00","4,285,955.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"AB","17.58","-0.32","-1.79%","18.72","16.40","18.72","17.90","6,700.00","113,184.00","0.00","26.00","11.50","16.99","12.54","18.76","19.70","18.5060","18.4308","16.6330","15.11795","18.463564389","17.9674613432","17.0022558035","15.7758599185","SIDEWAYS","SIDEWAYS","UPTREND","39.4122234904","NEUTRAL","0.1589789612","6.57%","HIGH","-163.779061158","60.1161484969","-53.5433070866","4,050","4,513","5,570","70,609.40","80,310.2666666667","99,621.00","None","None","None","17.20%","-5.99%","-6.19%","0.00","0.00","0.00","-357,078.00","-531,055.00","-0.02","33.33%","-879.00","0","26.2388059701","0"
"ABA","0.2460","-0.0040","-1.60%","0.25","0.2460","0.2550","0.25","300,000.00","74,130.00","0.00","0.42","0.2450","0.2455","0.2455","0.2575","0.3050","0.2743","0.29122","0.29841","0.32238","0.2688217916","0.2852138153","0.2983484037","0.3176118406","DOWNTREND","DOWNTREND","SIDEWAYS","29.275581247","OVERSOLD","-0.011129049","4.17%","NEUTRAL","-98.3875031494","6.6666666667","-98.1818181818","1,885,000","2,702,000","2,098,000","487,213.00","731,555.3333333333","569,899.00","None","None","None","-20.65%","-18.00%","-1.60%","-2,500.00","227,349.9999","227,299.9999","53,349.9999","797,169.9996","0.00","-100.00%","0.00","0","0.1287958115","0"
"ABG","20.70","0.20","0.98%","20.50","20.00","21.10","20.50","28,100.00","563,715.00","20,100.00","34.90","15.70","20.25","19.36","21.95","23.18","20.4850","20.3058","19.2838","20.2513","20.6066790372","20.2060705585","19.9048677973","20.0838559957","UPTREND","SIDEWAYS","UPTREND","51.9363792568","NEUTRAL","0.1753897044","5.36%","HIGH","31.4668985619","28.070788799","-67.3758865248","47,200","42,233","38,670","976,024.30","865,184.40","789,584.20","None","None","None","19.24%","3.24%","-3.04%","193,500.00","744,405.00","822,047.00","1,023,601.00","848,431.00","-0.01","0.00%","-2,070.00","0","23.00","0"
"ABS","27.00","-0.20","-0.74%","27.20","26.50","27.20","27.20","5,900.00","158,310.00","0.00","43.90","26.10","26.30","26.30","27.20","28.82","27.26","28.2510","30.6555","35.0645","27.3085200667","28.4596850128","30.5438664333","34.1011913148","DOWNTREND","DOWNTREND","DOWNTREND","39.4212406857","NEUTRAL","-0.5166827737","1.78%","LOW","-67.4495633845","50.8801415303","-47.0588235294","70,920","62,587","55,140","1,913,530.50","1,697,602.00","1,500,538.25","Hanging Man","Tweezer Tops","None","-21.97%","-3.57%","1.89%","0.00","0.00","0.00","0.00","0.00","4.06","-3.56%","6.6502463054","0","0.7120253165","0"
"ABSP","26.00","-1.00","-3.70%","26.00","26.00","26.00","27.00","1,200.00","31,200.00","-5,200.00","44.50","25.45","25.95","25.48","27.05","28.80","26.4250","27.50","30.3625","35.1510","26.5697840481","27.8177105367","30.1753698654","34.0542999153","DOWNTREND","DOWNTREND","DOWNTREND","43.4185228462","NEUTRAL","-0.5176245045","2.67%","LOW","-56.530214425","65.7657657658","-70.2702702703","74,840","114,467","109,345","1,948,260.00","3,005,511.00","2,891,210.50","White Marubozu","None","None","-24.64%","-3.35%","0.19%","-2,203,700.00","-7,751,140.00","-17,190,210.00","-55,015,125.00","-485,865,335.00","0.00","0.00%","0.00","0","0.00","0"
"AC","942.00","-8.00","-0.84%","950.00","938.00","950.00","950.00","239,910.00","225,823,805.00","-25,688,510.00","1,116.00","837.00","927.00","898.00","954.00","993.00","942.90","947.22","997.27","987.1350","944.9094074606","956.6956801838","973.6710725796","965.7929343098","UPTREND","SIDEWAYS","DOWNTREND","49.0144626986","NEUTRAL","-0.1440375136","2.76%","LOW","8.0511662904","47.311022311","-61.3636363636","228,767","214,039","230,525","218,279,913.50","202,265,352.3333333333","217,469,254.75","Black Long Day","None","None","-7.19%","-2.48%","1.40%","-131,604,075.00","-146,958,680.00","-138,316,530.00","-2,842,529,750.00","-2,693,594,572.50","47.37","14.70%","19.8860037999","0","2.4707548654","0"
"ACE","1.38","0.00","0.00%","1.38","1.38","1.38","1.38","51,000.00","70,380.00","0.00","2.37","1.22","1.32","1.25","1.40","1.54","1.3585","1.3508","1.3692","1.5109","1.3588449904","1.3572644763","1.3892707927","1.439255884","UPTREND","SIDEWAYS","SIDEWAYS","52.6273382655","NEUTRAL","0.0066907534","4.11%","NEUTRAL","78.6026200873","28.431372549","-64.7058823529","33,100","103,800","105,350","44,796.00","143,294.6666666667","143,973.50","White Marubozu","Bullish Harami","None","-0.72%","2.22%","-1.43%","23,230.00","78,300.00","66,940.0002","205,450.0001","2,350,919.9998","-0.38","-258.33%","-3.6315789474","0","0.3157894737","0"
"ACPB1","500.00","0.00","0.00%","501.00","500.00","501.00","500.00","2,660.00","1,330,060.00","0.00","550.00","485.00","495.00","485.00","500.50","518.00","500.55","505.14","515.39","517.6575","500.2918964968","505.4192604357","511.0389671686","516.3402422027","DOWNTREND","SIDEWAYS","SIDEWAYS","48.3374991544","NEUTRAL","-2.9140658373","0.86%","LOW","-2.5482344376","57.7997364954","-31.8181818182","1,425","3,023","2,649","708,153.00","1,505,128.00","1,322,758.75","Black Marubozu","Bearish Engulfing","None","-5.30%","3.09%","0.00%","0.00","-1,447,880.00","-3,017,600.00","-11,138,175.00","-83,504,480.00","0.00","0.00%","0.00","0","0.00","0"
