"Stock","Last","Change","%Change","Open","Low","High","Close","Volume","Value","Net-Foreign","52 Week High","52 Week Low","Support 1","Support 2","Resistance 1","Resistance 2","MA 20","MA 50","MA 100","MA 200","EMA 20","EMA 50","EMA 100","EMA 200","Trend-Short","Trend-Medium","Trend-Long","RSI(14)","RSI(14)","MACD(12,26,9)","ATR(14)","Volatility","CCI(20)","STS(14,3,3)","%R(14)","VolumeSMA(10)","VolumeSMA(15)","VolumeSMA(20)","ValueSMA(10)","ValueSMA(15)","ValueSMA(20)","CandleStick(1)","CandleStick(2)","CandleStick(3)","YTD%","MTD%","WTD%","NFB(5)","NFB(15)","NFB(30)","NFB(60)","NFB(360)","EPS","EPS%","P/E","DPS%","P/BV","ROE"
"CYBR","0.45","-0.01","-2.17%","0.4550","0.4250","0.4550","0.46","5,200,000.00","2,251,050.00","0.00","0.56","0.42","0.4375","0.4250","0.47","0.49","0.47125","0.4618","0.46205","0.4824","0.4672116532","0.4652392515","0.4679994963","0.4831915382","DOWNTREND","SIDEWAYS","SIDEWAYS","41.7777338528","NEUTRAL","0.0017783528","5.15%","HIGH","-245.045045045","31.339031339","-61.5384615385","1,060,000","1,010,000","1,124,500","471,770.00","457,533.3333333333","511,682.50","Hanging Man","None","None","-1.10%","-4.26%","-2.17%","0.00","231,750.00","231,250.00","363,550.00","36,768,535.9992","0.00","100.00%","0.00","0","-0.6081081081","0"
"DAVIN","5.31","-0.04","-0.75%","5.30","5.30","5.31","5.35","39,800.00","211,271.00","0.00","7.31","5.10","5.30","5.10","5.40","6.50","5.3730","5.4268","5.5521","5.59125","5.3828076024","5.4333120005","5.5204444213","5.6142934386","SIDEWAYS","SIDEWAYS","SIDEWAYS","46.4121613067","NEUTRAL","-0.0154773535","4.29%","NEUTRAL","-58.5774058577","5.7142857143","-94.7619047619","130,100","645,667","491,735","701,815.90","3,888,679.00","2,956,057.25","White Marubozu","Bullish Harami","None","-1.48%","0.19%","-0.75%","10,620.00","169,919.00","174,279.00","185,563.00","-3,723,381.00","0.00","0.00%","0.00","0","265.50","0"
"DD","30.60","-0.70","-2.24%","31.00","30.60","31.00","31.30","281,500.00","8,659,700.00","-2,314,720.00","56.50","29.80","30.40","29.92","32.30","38.85","32.1575","35.47","37.2230","41.19025","32.573879519","34.6602984577","37.0423572969","40.2469715027","UPTREND","DOWNTREND","DOWNTREND","38.4979733064","NEUTRAL","-1.0405890449","5.94%","HIGH","-83.5172019286","8.1232492997","-96.6386554622","1,416,290","1,174,500","1,011,105","50,926,638.50","41,530,213.00","35,222,363.00","Black Marubozu","None","None","-22.92%","-4.38%","-2.24%","-387,375.00","-20,304,955.0003","-51,056,990.0005","1,102,964.9997","348,102,025.9991","0.45","73.08%","68.00","0","5.5434782609","0"
"DDPR","100.40","-1.60","-1.57%","102.00","100.40","102.00","102.00","2,430.00","246,182.00","0.00","107.50","100.00","100.10","100.00","102.30","106.85","101.9950","103.2580","104.3380","104.8215","102.0131814458","103.0265005539","103.8461288637","104.3693915462","DOWNTREND","SIDEWAYS","SIDEWAYS","39.1512847412","NEUTRAL","-0.5967466768","0.92%","LOW","-122.695035461","28.8888888889","-86.6666666667","29,198","65,764","56,747","2,954,316.70","6,611,305.9333333333","5,721,289.90","Black Marubozu","Bearish Harami","None","-5.90%","-3.28%","-1.57%","-1,507,500.00","3,280,180.00","3,280,180.00","3,333,180.00","65,275,725.00","0.00","0.00%","0.00","0","0.00","0"
"DFNN","7.41","0.01","0.14%","7.50","7.40","7.54","7.40","50,800.00","378,830.00","0.00","11.74","6.50","7.30","7.05","7.60","9.85","8.2415","8.2850","7.7308","8.1691","7.9544403702","8.0617180051","8.0008359883","7.9900119705","DOWNTREND","SIDEWAYS","UPTREND","37.7669492873","NEUTRAL","-0.1577827312","6.52%","HIGH","-80.0984936269","7.8811369509","-91.8604651163","307,690","542,287","669,275","2,409,870.60","4,765,493.7333333333","6,041,331.90","None","None","None","5.71%","-8.41%","0.14%","375,000.00","-276,568.0001","2,704,157.0001","1,154,614.0002","-129,879,739.9986","0.52","33.33%","14.25","0","2.5551724138","0"
"DIZ","7.67","0.32","4.35%","7.18","7.11","7.70","7.35","25,100.00","182,553.00","0.00","10.76","7.01","7.16","7.05","7.84","8.10","7.2770","7.3252","7.4824","8.10795","7.3273047617","7.3532223089","7.5651701187","8.0159554593","UPTREND","SIDEWAYS","SIDEWAYS","61.2433472729","NEUTRAL","-0.0046574345","3.69%","NEUTRAL","181.4355505449","50.4756984803","-37.0786516854","16,340","12,827","11,190","121,317.20","94,874.7333333333","82,519.55","White Long Day","None","None","8.03%","6.38%","4.35%","-1,536.00","34,464.00","28,555.00","87,960.00","-3,632,076.00","-0.06","-50.00%","-127.8333333333","0","-767.00","0"
"DMC","12.30","-0.68","-5.24%","12.80","12.12","12.80","12.98","6,893,400.00","84,826,524.00","-32,677,806.00","16.70","11.26","12.21","11.80","13.35","14.05","13.32","13.8652","14.2830","14.8072","13.2820695038","13.7169476395","14.1206944073","14.2450671796","DOWNTREND","DOWNTREND","SIDEWAYS","34.7394907196","NEUTRAL","-0.2125989144","3.32%","NEUTRAL","-211.4462490333","37.1794871795","-88.4615384615","5,069,670","4,852,580","4,809,855","66,750,282.40","63,963,081.60","63,890,220.30","Black Long Day","None","None","-14.58%","-11.64%","-5.24%","-89,804,228.00","-181,404,182.00","-463,059,076.0004","-698,404,228.0004","1,051,827,321.7995","1.13","24.18%","10.8849557522","0","2.2122302158","0"
"DMPA1","10.20","-0.30","-2.86%","10.20","10.20","10.20","10.50","10,000.00","102,000.00","0.00","11.10","10.00","10.15","10.00","10.50","10.90","10.3170","10.2112","10.4304","0.00","10.3236974964","10.3157430681","10.4099024164","0.00","UPTREND","SIDEWAYS","SIDEWAYS","46.6624689395","NEUTRAL","0.0389974974","1.36%","LOW","-63.3935289691","62.2222222222","-100.00","6,340","5,280","9,191","65,698.64","52,229.9733333333","92,556.78","White Marubozu","None","Three White Soldiers","0.99%","-2.49%","-2.49%","0.00","0.00","20,200.00","-140,303.9996","0.00","-2.54","-206.72%","-4.0157480315","0","0.3347554972","0"
"DMPA2","10.26","0.06","0.59%","10.26","10.26","10.26","10.20","250.00","2,565.00","0.00","10.60","10.00","10.20","10.00","10.36","10.40","10.28","0.00","0.00","0.00","10.2639596865","0.00","0.00","0.00","SIDEWAYS","NONE","NONE","49.253927764","NEUTRAL","0.028875662","0.54%","LOW","-34.7578347578","0.00","-70.00","2,875","2,650","3,988","29,644.50","23,196.3333333333","37,897.25","White Marubozu","None","Three White Soldiers","0.59%","-0.39%","0.59%","0.00","0.00","100,104.00","0.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"DMPL","10.00","0.00","0.00%","10.00","9.88","10.00","10.00","282,400.00","2,822,782.00","-1,515,000.00","12.40","9.86","9.93","9.93","10.20","10.64","10.3220","10.5980","10.9164","11.2345","10.2862680644","10.5503208584","10.819073661","11.1389379423","DOWNTREND","SIDEWAYS","SIDEWAYS","33.3180774714","NEUTRAL","-0.1462688034","2.85%","LOW","-153.3454435362","17.0731707317","-82.9268292683","48,790","48,840","43,750","490,102.50","497,864.7333333333","447,871.35","Dragonfly Doji","None","None","-8.42%","-5.66%","0.00%","-1,843,843.0001","-1,746,793.0001","-2,110,433.0001","-2,796,774.9998","-172,222.9998","1.89","-35.71%","5.291005291","0","0.5443658138","0"
"DNA","3.08","-0.28","-8.33%","3.30","3.08","3.32","3.36","212,000.00","671,300.00","79,190.00","7.64","2.82","3.04","2.94","3.56","3.89","3.4625","3.8038","3.6806","4.50525","3.4953778353","3.6868128317","3.9346713171","5.0013289031","DOWNTREND","DOWNTREND","SIDEWAYS","32.5728491895","NEUTRAL","-0.1468804842","9.37%","HIGH","-217.3419159409","31.1111111111","-100.00","338,900","285,200","311,600","1,131,001.00","959,202.00","1,063,202.00","Black Long Day","None","None","-17.65%","-16.76%","-8.33%","450,580.00","-542,260.00","-2,267,790.00","-4,550,050.00","1,523,512.00","-0.09","-125.00%","-34.2222222222","0","17.1111111111","0"
"DNL","11.10","-0.30","-2.63%","11.20","11.10","11.22","11.40","601,500.00","6,714,252.00","-4,682,794.00","13.16","9.98","11.09","10.59","11.78","12.15","11.6740","11.7752","11.3646","11.3092","11.5982067264","11.5994209223","11.4735741826","11.4218082944","DOWNTREND","SIDEWAYS","SIDEWAYS","39.7535268415","NEUTRAL","-0.0185127934","2.85%","LOW","-178.7773933103","22.8395061729","-100.00","1,247,560","2,032,940","1,842,120","14,517,831.20","24,092,642.00","21,732,172.70","Black Long Day","None","None","0.36%","-5.93%","-2.63%","1,546,258.00","92,334,991.9999","244,133,521.9999","586,812,862.00","1,693,671,328.0002","0.38","11.76%","29.2105263158","0","5.495049505","0"
"DWC","2.36","-0.06","-2.48%","2.48","2.36","2.48","2.42","18,000.00","42,780.00","-33,200.00","4.20","2.00","2.22","2.01","2.48","3.12","2.48","2.5534","2.5660","2.45275","2.4563473437","2.5152081786","2.5222832838","2.4514590032","DOWNTREND","SIDEWAYS","SIDEWAYS","42.3743460324","NEUTRAL","-0.0404626687","6.00%","HIGH","-76.049382716","16.0183066362","-100.00","33,800","38,067","152,050","82,773.00","92,965.3333333333","416,229.50","Black Marubozu","Bearish Engulfing","None","-5.22%","-9.23%","-2.48%","-33,200.00","-33,200.00","-135,220.00","187,660.00","824,170.0001","0.03","-75.00%","78.6666666667","0","1.1859296482","0"
"EAGLE","14.04","-0.34","-2.36%","14.38","14.02","14.38","14.38","48,900.00","687,818.00","88,452.00","16.60","13.82","14.03","13.86","14.60","15.34","14.4110","14.6452","14.7442","15.0459","14.4270678478","14.5656304437","14.7426857121","15.0349182347","UPTREND","SIDEWAYS","SIDEWAYS","38.8459391664","NEUTRAL","-0.0465465794","2.29%","LOW","-121.9864995178","31.0606060606","-97.7272727273","350,140","318,200","345,850","5,062,813.70","4,588,437.80","4,965,841.85","Black Long Day","None","None","-5.01%","-2.50%","-2.36%","9,879,272.00","27,770,528.00","55,603,446.00","219,023,838.00","0.00","0.93","-48.33%","15.0967741935","0","2.7747035573","0"
"ECP","22.95","-2.30","-9.11%","25.50","22.00","25.50","25.25","139,000.00","3,278,560.00","69,000.00","76.50","3.00","21.55","15.07","29.42","58.25","35.6775","44.5360","26.8395","15.20955","33.9291324708","36.0485500969","29.7557471698","20.7350763098","DOWNTREND","DOWNTREND","UPTREND","33.1151963269","NEUTRAL","-3.7434537084","24.76%","HIGH","-130.3274016845","18.1264637506","-89.5716945996","291,330","277,627","389,962","8,414,467.00","9,044,060.00","15,757,251.6750","Black Long Day","None","None","24.05%","-51.43%","-9.11%","232,115.00","763,460.0001","266,233.0001","197,879.5005","990,599.5010","0.04","100.00%","573.75","0","25.2197802198","0"
"EDC","5.70","-0.07","-1.21%","5.77","5.65","5.77","5.77","5,413,100.00","30,848,421.00","8,338,054.00","8.90","4.80","5.66","5.46","5.85","6.06","5.7340","5.6622","5.6796","5.94245","5.7277564345","5.6945939143","5.7383176486","5.8175529683","UPTREND","SIDEWAYS","SIDEWAYS","49.3108198746","NEUTRAL","0.0388369839","2.38%","LOW","-16.4835164835","40.6060606061","-72.7272727273","7,806,450","7,070,747","6,220,875","45,734,955.50","41,364,800.3333333333","36,266,245.30","None","Bearish Engulfing","None","-0.70%","2.33%","-1.21%","30,867,622.9997","-90,759,801.0003","-162,001,441.0005","-61,252,898.0009","-1,110,319,431.3298","0.38","-24.00%","15.00","0","1.8811881188","0"
"EEI","10.66","0.06","0.57%","10.60","10.58","10.70","10.60","23,100.00","245,808.00","-89,502.00","15.30","7.73","10.51","9.92","10.87","11.70","11.0550","11.6272","11.7326","12.0799","10.9646602009","11.3698835001","11.6723976488","11.4538175226","DOWNTREND","DOWNTREND","SIDEWAYS","38.9738355521","NEUTRAL","-0.2233251844","3.02%","NEUTRAL","-124.3868942515","18.5185185185","-82.2222222222","489,290","743,600","835,455","5,375,762.80","8,238,955.60","9,371,573.40","None","None","None","-11.17%","-8.73%","0.57%","313,028.00","-25,021,944.00","-57,656,470.00","-80,822,840.00","-491,481,794.00","-0.03","99.86%","-355.3333333333","0","1.7333333333","0"
"ELI","0.62","-0.02","-3.13%","0.63","0.62","0.65","0.64","2,181,000.00","1,360,320.00","0.00","0.82","0.62","0.62","0.62","0.65","0.68","0.6365","0.6412","0.6507","0.6809","0.638086817","0.6419763109","0.652778667","0.6731056794","UPTREND","SIDEWAYS","SIDEWAYS","41.4389702414","NEUTRAL","0.0001230324","2.62%","LOW","-70.1058201058","22.2222222222","-100.00","2,439,500","2,028,000","1,567,250","1,568,686.00","1,305,652.00","1,008,213.00","Shooting Star","None","None","-4.62%","0.00%","-3.13%","-8,380.00","-11,954,770.00","-12,554,450.00","-19,778,990.00","-80,200,919.9986","0.04","0.00%","15.50","0","0.3625730994","0"
"EMP","7.40","0.06","0.82%","7.59","7.31","7.59","7.34","14,500.00","108,526.00","-2,131.00","8.96","5.95","7.26","6.90","7.56","7.97","7.5435","7.7566","7.5480","7.42525","7.5066683297","7.5925123459","7.5453442764","7.4280977208","DOWNTREND","SIDEWAYS","SIDEWAYS","44.695803267","NEUTRAL","-0.0777285852","3.19%","NEUTRAL","-65.5101197852","31.8886198547","-67.7966101695","351,380","371,287","508,385","2,605,564.80","2,754,497.2666666667","3,864,494.80","Black Long Day","None","None","0.68%","-5.13%","0.82%","-708,722.00","-17,426,633.00","-2,829,546.00","96,826,703.9999","-476,199,959.9995","0.45","0.00%","16.4444444444","0","2.2424242424","0"
"EURO","1.64","-0.06","-3.53%","1.64","1.64","1.65","1.70","23,000.00","37,730.00","1,650.00","1.93","1.54","1.54","1.30","1.86","1.95","1.7645","1.7234","1.7176","1.73355","1.7467607196","1.7328459196","1.7257869772","1.7279091718","DOWNTREND","SIDEWAYS","SIDEWAYS","41.2609783317","NEUTRAL","0.011752525","3.77%","NEUTRAL","-178.9215686275","0.00","-100.00","33,800","30,000","64,900","58,455.00","52,052.6666666667","80,384.00","Gravestone Doji","None","None","-1.20%","-9.89%","-10.87%","1,650.00","6,840.00","6,840.00","35,310.00","-34,930.00","0.08","33.33%","20.50","0","1.3553719008","0"
"EVER","0.12","-0.0090","-6.98%","0.12","0.12","0.12","0.1290","100,000.00","12,000.00","0.00","0.1970","0.1150","0.1175","0.1175","0.1330","0.1395","0.13135","0.13656","0.14003","0.151375","0.1313002467","0.1353076846","0.1402421157","0.1465943417","DOWNTREND","DOWNTREND","SIDEWAYS","37.7577749376","NEUTRAL","-0.001916643","4.75%","NEUTRAL","-187.9310344828","47.2222222222","-79.1666666667","676,000","495,333","465,500","84,540.00","62,150.00","59,164.50","White Marubozu","None","Three White Soldiers","-18.92%","-6.25%","-6.98%","0.00","5,200.00","31,350.00","57,129.9998","2,858,379.9996","0.01","-50.00%","12.00","0","0.2264150943","0"
"EW","18.00","-1.33","-6.88%","20.00","17.88","20.00","19.33","3,687,300.00","68,390,654.00","22,847,554.00","24.06","13.26","17.94","17.03","20.20","20.98","19.7170","19.4672","20.7027","20.65105","19.6096421449","19.7737871147","20.0917348243","19.5594132818","UPTREND","SIDEWAYS","DOWNTREND","34.5143104441","NEUTRAL","0.2488549723","5.17%","HIGH","-133.3963676476","21.3731086918","-96.0655737705","2,415,630","2,253,340","2,115,690","68,940,991.70","65,285,093.6333333333","61,011,798.10","Black Long Day","None","None","-15.49%","-3.54%","-6.88%","48,624,034.00","236,720,959.00","391,222,294.00","366,507,439.00","-1,256,293,481.45075","4.24","17.13%","4.2452830189","0","0.7182761373","0"
"FAF","0.64","-0.01","-1.54%","0.64","0.64","0.64","0.65","50,000.00","32,000.00","0.00","0.82","0.64","0.63","0.44","0.69","0.72","0.6605","0.6746","0.6720","0.6828","0.6617835668","0.6695140647","0.6742309542","0.686197504","DOWNTREND","SIDEWAYS","SIDEWAYS","42.5003216469","NEUTRAL","-0.0058884309","2.83%","LOW","-114.2857142857","11.1111111111","-100.00","1,107,000","740,200","612,250","752,025.00","502,802.00","414,273.50","White Marubozu","Bullish Harami","Three White Soldiers","-11.11%","-4.48%","-1.54%","-260,130.00","-272,110.00","-243,690.00","-258,690.00","-7,693,750.00","-0.01","0.00%","-64.00","0","0.347826087","0"
"FDC","7.55","-0.01","-0.13%","7.56","7.30","7.56","7.56","30,400.00","223,408.00","0.00","8.15","7.20","7.42","7.13","7.56","7.80","7.5335","7.5530","7.6755","7.69015","7.546196133","7.5742100786","7.6285626866","7.6506469335","SIDEWAYS","SIDEWAYS","SIDEWAYS","50.1660056548","NEUTRAL","-0.0033433087","1.87%","LOW","-62.3721881391","91.452991453","-10.2564102564","15,690","11,607","16,400","115,482.30","85,530.0666666667","121,460.95","Hanging Man","Bearish Engulfing","None","-2.58%","0.67%","-0.13%","0.00","0.00","129,459.00","-189,303.00","15,014,332.0004","0.68","23.64%","11.1029411765","0","0.6403731976","0"
"FERRO","3.49","0.09","2.65%","3.49","3.49","3.49","3.40","2,000.00","6,980.00","0.00","5.90","3.00","3.31","3.18","3.50","3.78","3.4925","3.5898","3.6567","3.9838","3.4925326933","3.5635297542","3.6771012053","3.7665340536","DOWNTREND","SIDEWAYS","SIDEWAYS","48.7233404005","NEUTRAL","-0.0514200235","5.65%","HIGH","0.1485111755","37.8787878788","-47.7272727273","27,900","84,733","112,800","94,005.00","285,505.3333333333","389,119.50","White Marubozu","None","Three White Soldiers","2.65%","-4.12%","2.65%","0.00","9,900.00","23,280.00","251,220.00","-658,815.0002","0.04","300.00%","87.25","0","2.7054263566","0"
"FEU","910.00","-60.00","-6.19%","910.00","910.00","910.00","970.00","40.00","36,400.00","0.00","1,020.00","900.00","907.50","858.00","977.50","1,020.00","965.7250","978.39","975.79","970.3125","957.81247154","970.7039812358","973.6213597696","974.9261565746","DOWNTREND","SIDEWAYS","SIDEWAYS","41.9228465919","NEUTRAL","-10.3699552817","3.37%","NEUTRAL","-173.7349517958","50.00","-90.00","1,269","2,698","2,032","1,224,279.50","2,607,258.00","1,963,298.00","White Marubozu","None","Three White Soldiers","-5.21%","-6.19%","-6.19%","-2,628,700.00","-7,596,600.00","-7,653,900.00","-8,317,400.00","23,842,975.00","15.59","-17.56%","58.3707504811","0","1.6727941176","0"
"FFI","9.32","0.62","7.13%","9.33","9.32","9.33","8.70","1,100.00","10,262.00","0.00","14.24","7.54","8.59","8.04","9.33","13.17","8.7385","8.6954","8.5142","7.90275","8.8210184392","8.7388458456","8.5014591637","8.1387287842","SIDEWAYS","SIDEWAYS","SIDEWAYS","57.4601246578","NEUTRAL","-0.0326366733","4.69%","NEUTRAL","249.4283201407","56.9579288026","-1.9417475728","8,520","7,367","8,680","73,936.20","64,050.1333333333","69,820.35","Black Marubozu","None","None","21.51%","7.62%","5.67%","0.00","0.00","-91,742.00","-59,948.0004","-669,459.0004","-0.05","-113.51%","-186.40","0","1.9829787234","0"
"FGEN","16.40","-0.42","-2.50%","16.84","16.10","16.84","16.82","878,700.00","14,350,658.00","-3,766,092.00","22.50","14.32","16.20","14.38","17.09","17.80","15.9340","15.8688","16.5314","17.4142","16.2603868372","16.1380088592","16.5497246048","17.5712278893","UPTREND","SIDEWAYS","DOWNTREND","53.3219212862","NEUTRAL","0.2465010959","3.10%","NEUTRAL","35.1417211748","63.058419244","-46.3917525773","1,538,310","3,165,247","3,143,405","25,886,538.00","52,316,195.3333333333","50,407,223.70","None","Bearish Engulfing","None","-3.53%","13.10%","-2.50%","-28,535,905.9997","76,986,572.0003","102,947,196.0003","61,399,438.0001","-238,057,862.0032","0.02","-60.00%","820.00","0","32.1568627451","0"
"FGENF","102.60","-5.40","-5.00%","102.60","102.60","102.60","108.00","50.00","5,130.00","0.00","127.00","100.00","102.50","100.00","108.00","115.00","105.42","107.5720","108.1680","110.0955","105.8526874588","106.8990761126","108.0262669467","108.9320191505","UPTREND","SIDEWAYS","SIDEWAYS","42.9243074681","NEUTRAL","-0.5607382934","2.22%","LOW","-97.2061399602","64.2876526459","-98.1818181818","2,067","1,415","1,184","212,154.60","145,247.00","121,673.50","White Marubozu","None","Three White Soldiers","-10.78%","-5.00%","-5.00%","0.00","2,070.00","161,140.00","161,140.00","-14,181,986.00","0.00","0.00%","0.00","0","0.00","0"
"FGENG","109.00","-1.80","-1.62%","110.00","109.00","110.00","110.80","890.00","97,710.00","0.00","118.70","108.00","108.50","104.05","110.80","115.00","111.03","113.69","113.8610","115.40","111.1604765152","112.6412542174","113.7191291832","114.6608656861","DOWNTREND","SIDEWAYS","SIDEWAYS","38.2778180449","NEUTRAL","-0.9594872649","0.86%","LOW","-193.4293097084","26.6666666667","-100.00","14,320","24,564","20,723","1,363,953.20","2,536,431.9333333333","2,159,337.05","Black Marubozu","None","None","-6.84%","-2.24%","-1.62%","0.00","0.00","-76,762.00","-76,762.00","-43,182,543.00","0.00","0.00%","0.00","0","0.00","0"
"FINA","2,040.64","-12.51","-0.61%","2,047.87","2,031.15","2,050.35","2,053.15","14,777,332.00","1,131,681,621.74","-299,719,499.00","2,337.91","1,804.88","2,035.90","1,959.88","2,131.08","2,236.93","2,159.8445","2,204.1922","2,166.7099","2,071.4644","2,128.6591152261","2,144.84711508","2,127.6802931245","2,065.0740023715","DOWNTREND","SIDEWAYS","SIDEWAYS","44.2062154601","NEUTRAL","-7.205014325","3.69%","NEUTRAL","-170.229730759","10.2757041559","-94.9038771346","19,424,744","19,279,050","17,526,466","1,506,219,740.3690","1,438,256,223.83","1,304,691,422.8885","Hanging Man","None","None","-8.50%","-8.31%","-0.61%","-1,152,697,016.9998","-3,048,346,364.0001","-3,790,672,974.0004","-5,543,249,552.0023","-14,609,655,670.5019","0.00","0.00%","0.00","0","0.00","0"
"FJP","4.65","0.00","0.00%","4.65","4.65","4.65","4.65","2,000.00","9,300.00","0.00","6.90","4.01","4.60","4.42","5.95","6.20","4.8705","4.8616","5.2779","5.58205","4.8681983811","4.9509953761","5.1529845324","5.3037798658","UPTREND","SIDEWAYS","DOWNTREND","45.876951124","NEUTRAL","0.0152008119","8.72%","HIGH","-61.7889847878","5.8577405858","-94.1422594142","35,550","53,627","40,745","178,598.40","283,830.8666666667","215,265.90","White Marubozu","Bullish Harami","None","5.20%","-12.26%","0.00%","0.00","0.00","0.00","0.00","0.00","0.40","150.00%","11.6250","0","0.9064327485","0"
"FJPB","5.40","-0.20","-3.57%","5.41","5.40","5.41","5.60","3,000.00","16,220.00","0.00","6.38","5.00","5.28","5.00","6.24","7.00","5.3595","5.8620","5.8083","4.4765","5.478857529","5.6272476766","5.3902303533","4.3624418634","SIDEWAYS","DOWNTREND","SIDEWAYS","48.0513176337","NEUTRAL","-0.1358311199","6.56%","HIGH","12.6755521866","50.7246376812","-71.0144927536","25,150","19,060","14,910","144,051.00","108,074.6666666667","84,241.00","Black Marubozu","None","None","-3.57%","0.93%","-3.57%","0.00","44,959.9997","44,959.9997","119,889.9997","0.00","0.00","0.00%","0.00","0","0.00","0"
"FLI","1.63","-0.05","-2.98%","1.68","1.63","1.68","1.68","5,927,000.00","9,716,190.00","-8,153,830.00","2.25","1.60","1.62","1.56","1.72","1.82","1.7480","1.8040","1.8369","1.8494","1.7360467575","1.7859719313","1.8199349362","1.8258826357","DOWNTREND","DOWNTREND","SIDEWAYS","33.1196492018","NEUTRAL","-0.0272960854","2.86%","LOW","-175.7322175732","23.8095238095","-95.2380952381","10,208,300","9,360,200","8,897,300","17,477,834.00","16,235,757.3333333333","15,478,167.50","Black Marubozu","None","None","-13.30%","-7.91%","-2.98%","-57,314,550.00","-77,993,080.00","-77,403,910.00","-98,287,050.00","148,454,709.9984","0.23","4.55%","7.0869565217","0","0.6442687747","0"
"FMETF","120.90","-1.40","-1.14%","122.40","120.30","122.40","122.30","62,060.00","7,496,286.00","12,065.00","137.20","108.7273","120.60","116.77","124.65","130.50","126.5450","130.1060","128.8880","125.302455","125.8902098833","128.0980845408","127.8844304539","125.0759725923","DOWNTREND","SIDEWAYS","SIDEWAYS","29.4806242021","OVERSOLD","-1.6354416167","1.31%","LOW","-158.1384015595","16.1423071817","-93.5483870968","37,764","30,596","26,085","4,682,911.10","3,818,344.6666666667","3,266,670.70","Black Long Day","None","None","-7.36%","-6.71%","-1.14%","15,863.00","188,365.00","81,288.0001","687,395.9999","4,882,660.5002","11.95","-15.67%","10.1171548117","0","0.9746070133","0"
"FNI","2.42","-0.03","-1.22%","2.45","2.39","2.45","2.45","1,406,000.00","3,394,530.00","38,490.00","3.17","2.29","2.40","2.30","2.52","2.68","2.4420","2.4792","2.6173","2.60195","2.4654434224","2.4931396051","2.5497489954","2.6119606582","UPTREND","SIDEWAYS","DOWNTREND","45.6090890223","NEUTRAL","0.0071149989","4.09%","NEUTRAL","-26.0590858417","28.352588789","-84.2105263158","4,719,400","5,614,733","4,898,100","12,076,552.00","14,100,168.6666666667","12,166,109.00","None","None","None","-7.98%","4.31%","-1.22%","6,008,460.00","7,947,819.9999","9,110,549.9999","12,359,849.9999","-123,553,018.2023","0.15","150.00%","16.1333333333","0","2.0166666667","0"
"FOOD","0.57","-0.02","-3.39%","0.59","0.55","0.59","0.59","422,000.00","239,400.00","0.00","0.98","0.55","0.56","0.55","0.59","0.64","0.5790","0.5994","0.6429","0.7294","0.5837056679","0.6021813343","0.6415707191","0.7012141861","UPTREND","DOWNTREND","DOWNTREND","45.1256744773","NEUTRAL","-0.0060281689","4.52%","NEUTRAL","-48.1310803891","33.3333333333","-77.7777777778","885,700","979,400","851,650","520,950.00","580,428.6666666667","501,265.50","None","Bearish Engulfing","None","-8.06%","-1.72%","-3.39%","-23,859.9998","1,208,399.9999","1,398,159.9998","1,317,099.9998","2,850,569.9998","0.00","0.00%","0.00","0","57.00","0"
"FPH","63.50","-1.00","-1.55%","64.50","63.50","65.00","64.50","68,770.00","4,397,318.50","-45,303.00","73.80","60.75","62.25","60.88","65.45","68.65","64.3075","63.1550","62.7225","65.49325","64.3512094621","63.6122592982","63.785914442","65.1370056355","UPTREND","SIDEWAYS","SIDEWAYS","47.1191915593","NEUTRAL","0.709099947","2.30%","LOW","-9.6157666786","30.6850459482","-82.7067669173","171,671","185,056","230,024","11,291,536.20","12,053,485.40","14,701,876.65","Black Long Day","None","None","2.42%","2.01%","-1.55%","3,148,995.50","36,036,313.9999","61,136,792.4999","109,427,796.4999","-33,203,730.4996","10.03","-47.90%","6.3310069791","0","0.3482887231","0"
"FPHPC","505.00","0.00","0.00%","505.00","505.00","505.00","505.00","800.00","404,000.00","0.00","518.00","500.00","500.00","500.00","517.50","517.50","510.55","507.70","0.00","0.00","509.5914689398","507.1727463915","0.00","0.00","SIDEWAYS","SIDEWAYS","NONE","45.8761220552","NEUTRAL","1.1674511646","0.82%","LOW","-114.0350877193","0.00","-100.00","2,335","1,896","3,931","1,185,584.00","964,509.3333333333","2,001,622.00","White Marubozu","Bullish Harami","None","-0.39%","0.00%","0.00%","5,300.00","5,300.00","-7,580,600.00","0.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"FPI","0.2070","0.0070","3.50%","0.2040","0.2040","0.2090","0.20","170,000.00","34,860.00","0.00","0.2950","0.1780","0.1945","0.1850","0.2085","0.2675","0.2002","0.19304","0.19697","0.198715","0.2000117126","0.1969066782","0.197334776","0.2001441047","UPTREND","UPTREND","SIDEWAYS","54.332869973","NEUTRAL","0.0028204791","6.35%","HIGH","50.0198491465","20.3520499109","-69.0909090909","891,000","2,378,000","1,819,000","182,657.50","538,387.6666666667","410,359.75","None","None","None","13.74%","11.89%","3.50%","0.00","29,170.00","237,680.00","398,210.00","1,171,439.9995","0.00","0.00%","0.00","0","0.69","0"
