"Stock","Last","Change","%Change","Open","Low","High","Close","Volume","Value","Net-Foreign","52 Week High","52 Week Low","Support 1","Support 2","Resistance 1","Resistance 2","MA 20","MA 50","MA 100","MA 200","EMA 20","EMA 50","EMA 100","EMA 200","Trend-Short","Trend-Medium","Trend-Long","RSI(14)","RSI(14)","MACD(12,26,9)","ATR(14)","Volatility","CCI(20)","STS(14,3,3)","%R(14)","VolumeSMA(10)","VolumeSMA(15)","VolumeSMA(20)","ValueSMA(10)","ValueSMA(15)","ValueSMA(20)","CandleStick(1)","CandleStick(2)","CandleStick(3)","YTD%","MTD%","WTD%","NFB(5)","NFB(15)","NFB(30)","NFB(60)","NFB(360)","EPS","EPS%","P/E","DPS%","P/BV","ROE"
"ACPB2","512.00","1.00","0.20%","522.00","511.00","522.00","511.00","3,010.00","1,539,220.00","0.00","540.00","500.00","511.00","500.00","518.00","534.50","514.45","518.23","521.1950","523.36","514.8787503359","517.5535550001","519.8724327844","522.6552118793","SIDEWAYS","SIDEWAYS","SIDEWAYS","44.7256732532","NEUTRAL","-1.4088607749","0.78%","LOW","12.7094165222","0.00","-92.8571428571","5,533","3,715","4,475","2,850,495.50","1,914,097.00","2,306,157.00","Black Long Day","None","None","-2.66%","-0.39%","-0.39%","0.00","-5,140.00","62,100.00","469,795.00","10,533,595.00","0.00","0.00%","0.00","0","0.00","0"
"ACR","1.25","-0.02","-1.57%","1.26","1.25","1.28","1.27","208,000.00","261,480.00","0.00","1.94","1.23","1.24","1.19","1.30","1.38","1.2950","1.3026","1.3296","1.39055","1.2932423121","1.3064495337","1.3303698298","1.372464417","SIDEWAYS","SIDEWAYS","SIDEWAYS","39.6914073761","NEUTRAL","-0.0023533701","2.76%","LOW","-84.4564240791","26.6666666667","-86.6666666667","724,600","756,200","651,350","929,204.00","983,079.3333333333","843,884.50","Shooting Star","None","None","-7.41%","-1.57%","-1.57%","-203,830.00","-117,490.0001","227,739.9999","866,159.9999","-101,451,300.0001","0.05","25.00%","25.00","0","0.7530120482","0"
"AEV","68.00","-0.70","-1.02%","68.60","67.80","69.40","68.70","684,530.00","46,589,301.50","-39,231,478.00","79.00","67.00","67.90","63.70","70.72","77.75","73.2250","74.7330","73.3110","73.95","72.2894847384","73.5741196084","73.7661972326","73.7949459274","DOWNTREND","SIDEWAYS","SIDEWAYS","33.1705541836","NEUTRAL","-0.9791419229","3.18%","NEUTRAL","-139.1899600685","8.9190359359","-97.6331360947","1,945,139","1,628,455","1,503,451","139,799,187.05","117,610,177.2666666667","109,605,447.75","None","None","None","-8.11%","-12.14%","-1.02%","-192,949,836.50","-698,885,873.50","-930,241,767.00","-610,094,485.0004","-3,382,549,125.5025","3.78","-6.90%","17.9894179894","0","2.5166543301","0"
"AGI","12.74","-0.24","-1.85%","12.98","12.56","13.00","12.98","20,657,300.00","261,715,018.00","116,196,830.00","17.30","12.44","12.65","12.27","14.14","15.13","14.2610","14.9472","15.3990","15.0647","14.071376864","14.7144869683","15.0363851591","15.0169435093","DOWNTREND","DOWNTREND","SIDEWAYS","19.0924078973","OVERSOLD","-0.3570630865","2.89%","LOW","-212.2972815307","5.7341359901","-91.7431192661","7,016,160","6,708,107","6,419,185","94,902,413.90","92,651,083.40","90,182,763.45","None","None","None","-20.38%","-14.27%","-1.85%","-10,770,618.00","-220,251,196.00","-264,266,170.00","-491,730,309.9999","-3,257,193,960.4790","2.04","-8.93%","6.2450980392","0","0.4949494949","0"
"ALCO","0.85","0.01","1.19%","0.84","0.84","0.86","0.84","939,000.00","790,800.00","0.00","1.62","0.81","0.82","0.78","0.86","1.08","0.8820","0.8920","0.9064","0.9925","0.8713855416","0.8879998756","0.9174157653","0.9387120112","DOWNTREND","SIDEWAYS","SIDEWAYS","45.4349180573","NEUTRAL","-0.0076451502","4.81%","NEUTRAL","-72.2253734165","20.7770758495","-69.2307692308","2,634,000","4,528,467","6,662,450","2,272,257.00","4,085,941.3333333333","6,259,213.50","None","Tweezer Bottoms","None","-5.56%","-1.16%","1.19%","22,020.00","952,940.00","1,052,870.00","756,210.00","-370,367,901.0002","0.02","-88.24%","42.50","0","1.4406779661","0"
"ALCPB","107.00","0.00","0.00%","107.00","107.00","107.00","107.00","490.00","52,430.00","0.00","109.00","100.00","103.50","100.75","108.95","109.00","107.6550","107.6640","106.94","0.00","107.4859648205","107.4411753445","107.0506737805","0.00","SIDEWAYS","SIDEWAYS","SIDEWAYS","45.9738049433","NEUTRAL","-0.0610403186","0.85%","LOW","-55.1515151515","77.7777777778","-22.2222222222","8,925","6,952","6,281","894,694.00","703,170.8666666667","641,918.65","White Marubozu","Tweezer Bottoms","None","-0.93%","-1.74%","0.00%","144,923.00","-3,527,077.00","-3,575,562.00","-5,670,641.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"ALHI","15.02","-0.36","-2.34%","15.40","15.00","15.40","15.38","87,600.00","1,318,382.00","75,100.00","29.25","6.00","15.01","14.50","18.31","19.60","16.5280","16.0412","13.6527","10.3254","16.3845904255","15.7025302001","14.0113615583","11.9490706706","UPTREND","UPTREND","UPTREND","43.071987231","NEUTRAL","0.2147189421","8.59%","HIGH","-127.6031806134","6.3574520717","-99.5918367347","166,900","116,760","105,290","2,950,881.00","2,053,675.4666666667","1,840,957.10","Black Long Day","None","None","16.61%","-12.88%","-2.34%","110,860.00","-3,181,354.0001","-2,703,180.0001","-3,896,823.9999","-3,132,050.0006","0.55","30.95%","27.3090909091","0","2.4462540717","0"
"ALI","40.10","-0.25","-0.62%","39.90","39.80","40.35","40.35","12,468,900.00","499,065,135.00","-89,885,695.00","47.50","33.05","39.75","37.85","41.95","46.00","41.29","43.5320","43.5645","42.90275","41.5244538106","42.6951741272","43.0364109227","42.2167018297","DOWNTREND","DOWNTREND","SIDEWAYS","40.7899286676","NEUTRAL","-0.835394764","2.88%","LOW","-167.7777777778","35.00","-88.3333333333","18,181,160","16,638,367","16,969,160","739,846,642.30","681,259,376.20","699,364,061.90","None","None","None","-10.09%","-2.43%","-0.62%","-622,589,095.00","-2,218,767,920.00","-4,462,531,180.00","-4,080,966,950.00","-10,300,738,352.8004","1.72","19.44%","23.3139534884","0","3.2208835341","0"
"ALLS","4,796.67","-27.49","-0.57%","4,813.77","4,752.42","4,813.97","4,824.16","0.00","0.00","0.00","5,287.61","4,357.41","4,770.74","4,614.39","4,907.22","5,118.75","4,991.4835","5,072.2454","4,995.6292","4,885.97745","4,959.0624775434","5,011.2670988331","4,984.654454061","4,884.1238250816","DOWNTREND","SIDEWAYS","SIDEWAYS","31.9580224392","NEUTRAL","-44.0054446463","1.35%","LOW","-155.2562969958","18.5520260659","-87.4510804832","0","0","0","0.00","0.00","0.00","Hanging Man","None","None","-3.87%","-5.63%","-0.57%","0.00","0.00","0.00","0.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"ANI","14.00","0.10","0.72%","13.80","13.76","14.04","13.90","1,913,400.00","26,651,314.00","-38,204.00","14.10","5.07","13.37","12.78","14.05","14.07","13.5530","12.7864","12.4846","10.8093","13.6049810721","13.0301126005","12.2771543966","10.8218476072","UPTREND","UPTREND","SIDEWAYS","65.503610848","NEUTRAL","0.335438943","2.21%","LOW","71.9709475074","89.1783762685","-8.9285714286","1,316,060","1,597,707","1,570,520","18,228,742.20","21,799,378.9333333333","21,164,772.00","White Long Day","Bullish Engulfing","None","14.75%","8.19%","0.72%","-971,252.00","11,383,204.00","26,758,552.00","49,206,535.9999","185,715,953.0019","-0.22","-29.41%","-63.6363636364","0","10.2941176471","0"
"ANS","6.40","-0.02","-0.31%","6.40","6.25","6.45","6.42","66,600.00","418,458.00","0.00","7.90","6.00","6.32","6.12","7.56","7.88","7.34","7.1540","7.0802","6.9210","7.1411163115","7.1642277448","7.0853289679","6.9126339924","DOWNTREND","SIDEWAYS","SIDEWAYS","28.5593283181","OVERSOLD","0.0061334189","4.14%","NEUTRAL","-199.3363437329","13.2034632035","-90.2597402597","173,100","164,747","161,305","1,257,815.60","1,210,777.0666666667","1,191,753.75","Doji","None","None","-9.22%","-16.67%","-0.31%","0.00","-888,781.00","-1,209,945.00","-1,618,697.00","-69,019,534.00","0.88","-26.67%","7.2727272727","0","0.434192673","0"
"AP","38.80","0.00","0.00%","38.50","38.15","38.80","38.80","698,500.00","26,962,940.00","-11,857,800.00","43.70","37.50","37.50","37.50","39.40","41.08","39.1075","39.91","40.2475","40.2255","39.1501366242","39.6420344189","40.0559057247","40.5586228466","SIDEWAYS","SIDEWAYS","SIDEWAYS","45.6222684159","NEUTRAL","-0.2398264505","2.25%","LOW","-61.9765494137","33.7448559671","-67.9012345679","2,008,660","1,827,893","1,756,900","79,524,158.20","72,177,843.4666666667","69,069,546.85","None","None","None","-6.62%","0.78%","0.00%","-26,850,665.0007","-360,397,355.0006","-646,482,495.0002","-692,697,695.0009","-3,252,617,820.0009","2.81","0.72%","13.8078291815","0","2.5593667546","0"
"APC","0.49","-0.01","-2.00%","0.50","0.4850","0.50","0.50","2,547,000.00","1,251,100.00","-14,850.00","0.91","0.42","0.4750","0.4225","0.54","0.80","0.5860","0.5036","0.4933","0.52225","0.545935725","0.524820248","0.5142426818","0.5182257923","DOWNTREND","UPTREND","SIDEWAYS","42.330655365","NEUTRAL","0.0165868494","9.97%","HIGH","-139.4974412052","17.2327672328","-85.7142857143","18,687,800","21,139,800","70,544,300","11,102,227.50","12,710,237.00","49,075,572.25","Black Long Day","None","None","2.08%","-23.44%","-2.00%","60,150.00","-3,264,680.00","-44,082,590.00","-44,007,990.00","-20,894,519.9998","-0.01","0.00%","-49.00","0","16.3333333333","0"
"APL","0.05","-0.0020","-3.85%","0.0520","0.05","0.0520","0.0520","20,510,000.00","1,033,000.00","0.00","0.0720","0.0370","0.0470","0.0445","0.0520","0.0705","0.05695","0.05282","0.04926","0.04635","0.0541519783","0.0529792561","0.0505134263","0.0487846106","DOWNTREND","UPTREND","UPTREND","41.3542152236","NEUTRAL","0.0000642231","8.27%","HIGH","-95.2380952381","25.9717922256","-76.4705882353","91,497,000","82,641,333","165,170,500","4,854,860.00","4,523,927.3333333333","10,142,300.50","Black Marubozu","Tweezer Tops","None","19.05%","-23.08%","-3.85%","-1,600.00","-248,490.00","-3,310,330.00","-2,506,310.0001","72,606,790.0405","0.00","0.00%","0.00","0","0.00","0"
"APO","0.92","-0.03","-3.16%","0.92","0.90","0.96","0.95","69,000.00","62,890.00","0.00","1.36","0.88","0.90","0.86","0.96","1.04","0.9380","0.9622","0.9898","1.0747","0.9410184245","0.9607682829","0.9940768862","1.0483024729","SIDEWAYS","SIDEWAYS","SIDEWAYS","45.9526996165","NEUTRAL","-0.0097332868","5.60%","HIGH","-46.0081190798","26.6666666667","-80.00","309,000","258,400","224,350","287,252.00","240,207.3333333333","208,270.50","Doji","None","None","-8.00%","-3.16%","-3.16%","-7,280.00","4,300.00","5,940.00","-2,610.00","81,706,670.00","-0.07","-40.00%","-13.1428571429","0","0.4239631336","0"
"APX","1.69","0.00","0.00%","1.72","1.65","1.72","1.69","3,685,000.00","6,209,320.00","-51,800.00","2.42","1.39","1.55","1.48","1.73","1.80","1.6770","1.6218","1.6234","1.6672","1.6665620821","1.6448885141","1.6485429752","1.7329433225","DOWNTREND","UPTREND","SIDEWAYS","53.0697953873","NEUTRAL","0.0107130959","4.67%","NEUTRAL","11.1910471623","56.7901234568","-44.4444444444","7,137,600","7,346,933","9,281,150","11,854,614.00","12,396,604.00","15,652,930.00","None","None","None","9.03%","-0.59%","0.00%","3,262,360.00","7,796,400.00","9,671,619.00","2,935,489.00","-72,419,930.9991","0.06","20.00%","28.1666666667","0","2.0609756098","0"
"AR","0.0029","-0.0002","-6.45%","0.0030","0.0028","0.0030","0.0031","1,051,000,000.00","3,063,400.00","-120,000.00","0.0038","0.0021","0.0028","0.0025","0.0036","0.0038","0.00321","0.002682","0.002506","0.002676","0.0031542929","0.0028442208","0.0026919464","0.0027593291","UPTREND","UPTREND","UPTREND","44.6064350278","NEUTRAL","0.0002406573","10.79%","HIGH","-72.6072607261","30.00","-90.00","2,992,000,000","2,815,600,000","3,341,250,000","10,392,990.00","9,524,826.6666666667","10,767,220.00","None","None","None","31.82%","-3.33%","-6.45%","221,500.00","-556,900.00","-1,624,099.9999","-1,454,599.9999","7,180,000.00","0.00","0.00%","0.00","0","0.00","0"
"ARA","2.03","-0.10","-4.69%","2.04","2.03","2.04","2.13","7,000.00","14,260.00","0.00","2.65","2.02","2.02","1.93","2.14","2.23","2.08","2.1322","2.2610","2.3308","2.0930793947","2.1436736191","2.2145391251","2.2755799991","SIDEWAYS","SIDEWAYS","DOWNTREND","42.4176217595","NEUTRAL","-0.0200816051","3.16%","NEUTRAL","-129.8701298701","43.75","-100.00","49,100","45,333","65,000","101,791.00","94,648.00","134,442.50","Black Marubozu","None","None","-10.96%","-0.98%","-4.69%","0.00","4,280.00","-788,270.0001","-920,450.0001","-9,860,298.9996","0.01","0.00%","203.00","0","2.2555555556","0"
