"Stock","Last","Change","%Change","Open","Low","High","Close","Volume","Value","Net-Foreign","52 Week High","52 Week Low","Support 1","Support 2","Resistance 1","Resistance 2","MA 20","MA 50","MA 100","MA 200","EMA 20","EMA 50","EMA 100","EMA 200","Trend-Short","Trend-Medium","Trend-Long","RSI(14)_VALUE","RSI(14)","MACD(12,26,9)","ATR(14)","Volatility","CCI(20)","STS(14,3,3)","%R(14)","VolumeSMA(10)","VolumeSMA(15)","VolumeSMA(20)","ValueSMA(10)","ValueSMA(15)","ValueSMA(20)","CandleStick(1)","CandleStick(2)","CandleStick(3)","YTD%","MTD%","WTD%","NFB(5)","NFB(15)","NFB(30)","NFB(60)","NFB(360)","EPS","EPS%","P/E","DPS%","P/BV","ROE"
"LBC","15.06","-0.68","-4.32%","15.78","15.06","15.78","15.74","1,500.00","22,734.00","0.00","19.90","14.00","15.03","14.30","15.76","17.95","15.0410","14.9980","15.1076","15.3913","15.1703985885","15.0571512541","15.1230862125","15.1422141374","UPTREND","SIDEWAYS","SIDEWAYS","49.4064608881","NEUTRAL","0.1315420606","3.70%","NEUTRAL","45.309233985","65.7534246575","-49.3150684932","8,690","10,673","9,420","133,572.40","160,674.00","141,647.70","Black Marubozu","None","None","-11.41%","5.31%","-4.32%","9,408.00","269,382.00","267,952.00","173,688.00","5,841,810.00","0.73","10.61%","20.6301369863","0","7.3823529412","0"
"LC","0.1350","-0.0010","-0.74%","0.1350","0.1340","0.1380","0.1360","1,140,000.00","154,040.00","0.00","0.2140","0.1340","0.1340","0.1340","0.1390","0.1440","0.13805","0.14322","0.14715","0.16002","0.1385111417","0.1422290404","0.1475970016","0.1577773653","SIDEWAYS","DOWNTREND","SIDEWAYS","37.0084435342","NEUTRAL","-0.001939674","1.95%","LOW","-192.4882629108","0.00","-85.7142857143","1,179,000","1,266,667","1,583,500","162,156.00","174,740.00","219,106.00","Doji","None","None","-10.60%","-2.88%","-0.74%","0.00","0.00","0.00","0.00","0.00","-0.02","-100.00%","-6.75","0","1.1250","0"
"LCB","0.1370","-0.0030","-2.14%","0.1370","0.1370","0.1370","0.14","10,000.00","1,370.00","0.00","0.22","0.1370","0.1370","0.1370","0.1425","0.1470","0.1429","0.14916","0.15288","0.16917","0.1432652581","0.1479046994","0.1541669188","0.1659986353","DOWNTREND","DOWNTREND","SIDEWAYS","28.5867415775","OVERSOLD","-0.0026981848","1.32%","LOW","-184.6153846154","0.00","-100.00","244,000","253,333","832,500","34,666.00","36,064.00","120,393.00","White Marubozu","None","None","-10.46%","-5.52%","-2.14%","-46,549.9997","36,000.0003","425,790.0003","1,038,250.0003","16,440,880.0001","0.00","0.00%","0.00","0","0.00","0"
"LFM","54.90","-0.05","-0.09%","54.90","54.90","54.90","54.95","20.00","1,098.00","0.00","71.90","44.05","50.00","46.98","56.68","59.95","53.98","53.9130","56.8970","61.8370","54.361034461","54.7815470174","56.7303109264","58.4823233123","UPTREND","SIDEWAYS","DOWNTREND","50.8820037348","NEUTRAL","0.2507006696","6.44%","HIGH","19.6145669021","51.9047619048","-48.5714285714","4,602","7,189","5,800","231,290.40","360,585.20","293,072.1250","White Marubozu","None","None","-6.23%","-1.79%","-0.09%","0.00","0.00","0.00","36,833.00","61,683.00","0.68","-21.84%","80.7352941176","0","3.0198019802","0"
"LIHC","0.61","-0.02","-3.17%","0.59","0.58","0.61","0.63","54,000.00","31,680.00","0.00","1.19","0.58","0.60","0.59","0.63","0.65","0.63","0.6486","0.6730","0.74915","0.6292865262","0.6474440682","0.677625163","0.7427402374","DOWNTREND","SIDEWAYS","SIDEWAYS","33.6997846287","NEUTRAL","-0.0099114571","4.79%","NEUTRAL","-142.7837699024","60.00","-50.00","218,200","223,933","179,450","131,346.00","135,074.6666666667","108,408.50","White Long Day","None","None","-11.59%","-6.15%","-3.17%","0.00","0.00","0.00","3,350.00","-3,924,031.0001","0.00","0.00%","0.00","0","7.6250","0"
"LMG","5.10","0.01","0.20%","5.04","5.03","5.10","5.09","50,600.00","255,829.00","0.00","6.09","3.40","5.06","4.86","5.27","5.52","5.0910","5.0256","4.6437","4.4517","5.0942156581","4.9660216786","4.7704371376","4.5364670796","UPTREND","SIDEWAYS","UPTREND","51.8177425131","NEUTRAL","0.0482273177","3.00%","NEUTRAL","-21.2765957447","30.303030303","-75.00","117,810","112,600","89,250","606,088.10","576,833.3333333333","456,333.95","White Long Day","Tweezer Bottoms","None","24.39%","4.51%","0.20%","-162,530.00","1,903.00","390,682.00","303,169.0001","3,476,209.9996","0.00","100.00%","0.00","0","5.4838709677","0"
"LOTO","11.70","-0.18","-1.52%","11.70","11.70","11.70","11.88","200.00","2,340.00","0.00","15.40","10.00","11.47","11.06","11.88","13.66","11.60","11.4304","11.0544","11.1379","11.5857672559","11.3960907572","11.2336207941","11.2019991593","DOWNTREND","SIDEWAYS","SIDEWAYS","53.7483832415","NEUTRAL","0.0715926757","1.97%","LOW","40.0871459695","90.1515151515","-22.7272727273","7,770","19,060","18,825","90,061.80","223,928.40","220,880.10","White Marubozu","None","None","5.41%","-0.51%","-1.52%","0.00","-247,964.00","-255,744.00","76,337,372.00","76,792,684.00","0.38","11.76%","30.7894736842","0","2.3975409836","0"
"LPZ","4.12","-0.18","-4.19%","4.20","4.11","4.20","4.30","11,108,000.00","46,096,720.00","2,253,470.00","7.70","4.11","4.12","4.12","4.31","4.82","4.4310","4.7410","5.1179","5.6754","4.4236750283","4.6945537652","5.0403861014","5.5858916639","DOWNTREND","DOWNTREND","DOWNTREND","33.6714861965","NEUTRAL","-0.1342884974","3.83%","NEUTRAL","-148.7307532251","5.5611055611","-98.7012987013","5,155,100","4,472,800","3,539,900","23,078,127.00","20,246,042.6666666667","16,000,021.00","Black Long Day","None","None","-26.43%","-4.63%","-4.19%","4,852,340.00","519,520.00","-2,708,330.00","19,416,793.9996","12,136,148.9990","0.89","-39.46%","4.6292134831","0","0.2911660777","0"
"LR","4.37","0.02","0.46%","4.35","4.26","4.37","4.35","1,666,000.00","7,180,210.00","-313,720.00","7.49","3.57","4.30","4.16","4.61","4.82","4.5655","5.3246","4.7337","4.4701","4.6217724629","4.8411387012","4.7769117026","4.6559013435","DOWNTREND","DOWNTREND","UPTREND","37.3309674643","NEUTRAL","-0.1881793967","4.62%","NEUTRAL","-191.0339256866","9.4099565152","-78.8461538462","1,336,000","1,330,667","1,629,800","6,027,545.00","6,059,228.6666666667","7,418,568.00","Hammer","None","None","9.80%","-4.38%","0.46%","-771,320.00","-422,310.00","25,492,678.9998","112,910,069.0001","-44,401,209.9993","0.05","-89.36%","87.40","0","0.5811170213","0"
"LRP","1.07","0.00","0.00%","1.07","1.07","1.07","1.07","8,000.00","8,560.00","0.00","1.14","1.01","1.05","0.98","1.08","1.12","1.0570","1.0570","1.0562","1.05815","1.0586087969","1.0564897847","1.0565268133","1.0577196673","SIDEWAYS","SIDEWAYS","SIDEWAYS","56.8127330103","NEUTRAL","0.0008979866","1.08%","LOW","140.7407407407","66.6666666667","-33.3333333333","341,500","244,200","197,800","362,926.00","259,324.00","209,904.00","White Marubozu","Bullish Harami","None","2.88%","0.94%","1.90%","0.00","-53,250.00","-50,070.00","-49,830.00","-1,879,420.00","0.00","0.00%","0.00","0","0.00","0"
