"Stock","Last","Change","%Change","Open","Low","High","Close","Volume","Value","Net-Foreign","52 Week High","52 Week Low","Support 1","Support 2","Resistance 1","Resistance 2","MA 20","MA 50","MA 100","MA 200","EMA 20","EMA 50","EMA 100","EMA 200","Trend-Short","Trend-Medium","Trend-Long","RSI(14)_VALUE","RSI(14)","MACD(12,26,9)","ATR(14)","Volatility","CCI(20)","STS(14,3,3)","%R(14)","VolumeSMA(10)","VolumeSMA(15)","VolumeSMA(20)","ValueSMA(10)","ValueSMA(15)","ValueSMA(20)","CandleStick(1)","CandleStick(2)","CandleStick(3)","YTD%","MTD%","WTD%","NFB(5)","NFB(15)","NFB(30)","NFB(60)","NFB(360)","EPS","EPS%","P/E","DPS%","P/BV","ROE"
"2GO","15.50","0.22","1.44%","15.50","15.20","15.90","15.28","30,400.00","467,744.00","3,056.00","30.90","14.70","15.24","11.85","15.75","16.95","15.8210","16.9248","18.2783","19.02835","15.8823413622","16.7367120167","17.595021568","17.7417646584","DOWNTREND","DOWNTREND","DOWNTREND","40.2956855687","NEUTRAL","-0.455035269","4.07%","NEUTRAL","-68.5346090013","0.00","-86.3636363636","33,720","58,147","58,695","524,588.00","945,072.9333333333","949,718.40","Doji","None","None","-16.13%","-5.49%","-1.77%","202,176.00","226,673.9999","575,724.0001","3,156,825.0002","-12,598,835.0001","-0.09","-280.00%","-172.2222222222","0","10.3333333333","0"
"8990P","97.70","-2.25","-2.25%","100.00","97.00","100.30","99.95","40,500.00","3,973,405.00","48,750.00","102.40","97.00","97.35","97.35","100.30","102.20","100.2325","100.6870","0.00","0.00","100.1192483554","100.5674770182","0.00","0.00","SIDEWAYS","SIDEWAYS","NONE","27.0227085001","OVERSOLD","-0.190434308","0.61%","LOW","-412.4687388353","0.00","-82.50","20,967","14,327","13,416","2,097,426.00","1,433,334.4666666667","1,342,820.65","Black Long Day","Bearish Engulfing","None","-2.50%","-2.50%","-2.30%","148,700.00","148,700.00","679,840.00","4,334,705.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"AB","18.18","0.60","3.41%","18.18","18.18","18.18","17.58","100.00","1,818.00","0.00","26.00","11.50","16.99","12.55","18.76","19.70","18.4710","18.4144","16.6462","15.15625","18.4365582567","17.9757961925","17.0255774708","15.7997817104","SIDEWAYS","SIDEWAYS","UPTREND","47.5225417078","NEUTRAL","0.1254950516","6.14%","HIGH","-25.8793511937","54.3090618827","-29.9212598425","3,990","3,660","4,915","69,480.20","64,971.4666666667","87,935.20","White Marubozu","Bullish Harami","None","21.20%","-2.78%","-2.99%","0.00","0.00","0.00","-357,078.00","-531,055.00","-0.02","33.33%","-909.00","0","27.1343283582","0"
"ABA","0.2280","-0.0180","-7.32%","0.25","0.2280","0.25","0.2460","7,530,000.00","1,774,320.00","-78,730.00","0.42","0.2280","0.2280","0.2280","0.2575","0.3025","0.27045","0.28958","0.29764","0.32167","0.2649340019","0.2829701363","0.296955366","0.3167201805","DOWNTREND","DOWNTREND","SIDEWAYS","23.1708277612","OVERSOLD","-0.0119041609","4.86%","NEUTRAL","-136.3565383054","3.6363636364","-100.00","2,531,000","3,201,333","2,471,500","635,625.00","849,043.3333333333","657,710.00","Black Marubozu","None","None","-26.45%","-24.00%","-8.80%","-81,230.00","148,619.9999","151,569.9999","-25,380.0001","718,439.9996","0.00","-100.00%","0.00","0","0.1193717277","0"
"ABG","20.35","-0.35","-1.69%","20.70","19.78","20.90","20.70","63,100.00","1,256,193.00","79,880.00","34.90","15.70","20.06","19.36","21.38","22.48","20.5025","20.3332","19.3083","20.20205","20.5822334146","20.2117148503","19.9136822964","20.0865041947","UPTREND","SIDEWAYS","UPTREND","48.3043685265","NEUTRAL","0.1657794615","5.46%","HIGH","-16.7361313043","26.1229314421","-79.7872340426","49,260","44,920","39,970","1,017,183.30","918,654.2666666667","814,761.25","None","None","None","17.22%","1.50%","-4.68%","160,680.00","774,350.00","850,789.00","1,103,481.00","948,291.00","-0.01","0.00%","-2,035.00","0","22.6111111111","0"
"ABS","26.70","-0.30","-1.11%","27.00","26.65","27.00","27.00","56,100.00","1,504,310.00","0.00","43.90","26.10","26.40","26.30","27.20","28.50","27.2150","28.1850","30.5760","34.98375","27.2505657746","28.3906777574","30.4677502663","34.0275476201","DOWNTREND","DOWNTREND","DOWNTREND","35.3755116754","NEUTRAL","-0.5046649524","1.77%","LOW","-81.3378943368","51.0994397759","-62.50","59,780","64,273","55,795","1,603,871.50","1,741,294.6666666667","1,516,187.75","Black Long Day","None","None","-22.83%","-4.64%","0.75%","0.00","0.00","0.00","0.00","0.00","4.06","-3.56%","6.5763546798","0","0.7041139241","0"
"ABSP","25.60","-0.40","-1.54%","25.65","25.60","25.80","26.00","193,200.00","4,972,045.00","-38,490.00","44.50","25.45","25.48","25.48","27.05","28.80","26.3550","27.4310","30.2735","35.0695","26.4774236626","27.730741496","30.0847684819","33.9701775281","DOWNTREND","DOWNTREND","DOWNTREND","40.7649309054","NEUTRAL","-0.496998374","2.63%","LOW","-89.5220773972","40.5405405405","-91.8918918919","87,080","90,453","112,780","2,259,108.50","2,356,085.3333333333","2,967,348.25","Shooting Star","None","None","-25.80%","-4.83%","-1.35%","-2,236,990.00","-6,428,200.00","-16,285,460.00","-55,053,615.00","-477,749,250.00","0.00","0.00%","0.00","0","0.00","0"
"AC","935.00","-7.00","-0.74%","948.00","927.00","948.00","942.00","328,430.00","306,461,345.00","-10,425,095.00","1,116.00","837.00","930.00","898.00","954.00","993.00","944.2250","945.52","996.52","987.41","943.9656543691","955.8448691962","972.9053087661","965.4865369535","UPTREND","SIDEWAYS","DOWNTREND","47.2897009698","NEUTRAL","-0.1062053602","2.74%","LOW","-32.1446509292","39.0522268429","-70.9302325581","250,070","218,464","237,056","238,003,537.00","206,794,700.00","223,830,661.50","None","None","None","-7.88%","-3.21%","0.65%","-89,512,250.00","-57,762,035.00","-263,232,070.00","-2,848,365,050.00","-2,677,893,907.50","47.37","14.70%","19.7382309479","0","2.4523946913","0"
"ACE","1.38","0.00","0.00%","1.38","1.38","1.38","1.38","1,000.00","1,380.00","0.00","2.37","1.22","1.32","1.25","1.39","1.44","1.3615","1.3514","1.3689","1.5091","1.3608597532","1.3581560655","1.3890872126","1.4386662732","UPTREND","SIDEWAYS","SIDEWAYS","52.6273382279","NEUTRAL","0.006900289","3.82%","NEUTRAL","72.8497092133","49.7276688453","-25.00","21,000","93,533","103,650","28,688.00","129,062.6666666667","141,745.50","White Marubozu","Bullish Harami","None","-0.72%","2.22%","-1.43%","13,690.00","92,400.00","66,940.0002","205,450.0001","2,350,919.9998","-0.38","-258.33%","-3.6315789474","0","0.3157894737","0"
"ACPB1","500.00","0.00","0.00%","501.00","500.00","501.00","500.00","2,660.00","1,330,060.00","0.00","550.00","485.00","495.00","485.00","500.50","518.00","500.55","505.14","515.39","517.6575","500.2918964968","505.4192604357","511.0389671686","516.3402422027","DOWNTREND","SIDEWAYS","SIDEWAYS","48.3374991544","NEUTRAL","-2.9140658373","0.86%","LOW","-2.5482344376","57.7997364954","-31.8181818182","1,425","3,023","2,649","708,153.00","1,505,128.00","1,322,758.75","Black Marubozu","Bearish Engulfing","None","-5.30%","3.09%","0.00%","0.00","-1,447,880.00","-3,017,600.00","-11,138,175.00","-83,504,480.00","0.00","0.00%","0.00","0","0.00","0"
