"Stock","Last","Change","%Change","Open","Low","High","Close","Volume","Value","Net-Foreign","52 Week High","52 Week Low","Support 1","Support 2","Resistance 1","Resistance 2","MA 20","MA 50","MA 100","MA 200","EMA 20","EMA 50","EMA 100","EMA 200","Trend-Short","Trend-Medium","Trend-Long","RSI(14)_VALUE","RSI(14)","MACD(12,26,9)","ATR(14)","Volatility","CCI(20)","STS(14,3,3)","%R(14)","VolumeSMA(10)","VolumeSMA(15)","VolumeSMA(20)","ValueSMA(10)","ValueSMA(15)","ValueSMA(20)","CandleStick(1)","CandleStick(2)","CandleStick(3)","YTD%","MTD%","WTD%","NFB(5)","NFB(15)","NFB(30)","NFB(60)","NFB(360)","EPS","EPS%","P/E","DPS%","P/BV","ROE"
"2GO","15.70","0.20","1.29%","15.54","15.54","15.90","15.50","28,100.00","437,710.00","-3,140.00","30.90","14.70","15.50","14.80","16.40","17.37","16.0910","17.2916","18.5357","19.25505","16.2188965481","17.0762846981","17.8635269703","17.8809321938","DOWNTREND","DOWNTREND","DOWNTREND","40.2519588079","NEUTRAL","-0.4843691014","4.78%","NEUTRAL","-71.09798129","31.1604938272","-68.00","77,450","81,047","80,110","1,270,397.40","1,306,993.8666666667","1,302,051.20","None","Bullish Harami","None","-15.04%","-4.27%","-1.26%","67,662.00","536,236.0002","2,872,339.0002","2,982,141.0002","-12,799,368.0001","-0.09","-280.00%","-174.4444444444","0","10.4666666667","0"
"8990P","100.90","0.00","0.00%","100.40","100.40","100.90","100.90","75,410.00","7,600,674.00","0.00","102.40","100.00","100.30","100.10","100.95","102.20","100.52","100.9280","0.00","0.00","100.6129441849","100.8342398676","0.00","0.00","SIDEWAYS","SIDEWAYS","NONE","52.8271007543","NEUTRAL","-0.1277722507","0.43%","LOW","56.4674983585","66.6666666667","-12.50","13,377","17,059","12,940","1,345,561.00","1,713,553.1333333333","1,299,847.85","White Marubozu","None","None","0.70%","0.70%","0.50%","0.00","531,140.00","1,470,794.00","4,424,060.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"AB","18.78","-0.10","-0.53%","17.06","17.06","18.78","18.88","3,800.00","65,924.00","0.00","26.00","11.50","17.78","17.00","18.88","19.70","18.6720","18.0928","16.5358","14.91895","18.5884675309","17.8915339767","16.8633233757","15.6449244106","SIDEWAYS","UPTREND","UPTREND","54.0222012667","NEUTRAL","0.2502947265","5.30%","HIGH","-50.2129567362","89.9175257732","-8.2474226804","4,880","6,167","5,825","88,018.00","111,196.40","105,897.80","White Marubozu","None","Three White Soldiers","25.20%","0.43%","-0.53%","0.00","0.00","0.00","-690,096.00","-531,055.00","-0.02","33.33%","-939.00","0","28.0298507463","0"
"ABA","0.2650","0.01","3.92%","0.2550","0.2550","0.2650","0.2550","1,270,000.00","329,650.00","0.00","0.42","0.25","0.2525","0.2525","0.2725","0.3050","0.2860","0.2992","0.30125","0.325375","0.2810914691","0.2929905846","0.3034179157","0.3210694887","DOWNTREND","DOWNTREND","SIDEWAYS","34.9965059281","NEUTRAL","-0.0075533181","3.80%","NEUTRAL","-113.7747336377","18.1818181818","-72.7272727273","3,575,000","2,478,667","1,994,500","976,965.00","679,620.00","549,870.00","White Marubozu","Tweezer Bottoms","None","-14.52%","-11.67%","1.92%","25,000.00","232,799.9999","56,949.9999","55,849.9999","724,969.9996","-0.01","-133.33%","-26.50","0","0.1380208333","0"
"ABG","22.35","1.25","5.92%","21.10","20.50","22.60","21.10","99,700.00","2,185,115.00","161,850.00","34.90","15.70","19.92","19.32","22.48","23.18","20.5425","20.1450","19.1168","20.5208","20.5143461803","20.0818416264","19.8135128088","20.0483319172","SIDEWAYS","SIDEWAYS","UPTREND","71.3775958109","OVERBOUGHT","0.1118294205","4.57%","NEUTRAL","211.7748081361","58.1533728085","-8.6206896552","43,080","38,047","37,560","882,648.10","776,026.60","768,114.95","None","None","None","28.74%","11.47%","10.92%","481,070.00","590,645.00","787,802.00","835,855.00","1,412,001.00","-0.01","0.00%","-2,235.00","0","24.8333333333","0"
"ABS","27.00","0.00","0.00%","27.00","26.50","27.00","27.00","62,000.00","1,656,005.00","0.00","43.95","26.50","26.75","26.75","27.30","28.82","27.6175","28.5880","31.0535","35.4640","27.6169720649","28.8241992194","30.9369123012","34.4753604349","DOWNTREND","DOWNTREND","DOWNTREND","29.7901903156","OVERSOLD","-0.5252282261","1.65%","LOW","-147.6147614761","20.1923076923","-66.6666666667","75,940","61,560","60,185","2,067,750.50","1,681,616.00","1,657,265.00","Dragonfly Doji","None","None","-21.97%","-3.57%","-0.18%","0.00","0.00","0.00","0.00","0.00","4.06","-3.56%","6.6502463054","0","0.7120253165","0"
"ABSP","27.30","1.80","7.06%","26.00","26.00","27.30","25.50","800.00","21,710.00","0.00","44.50","25.45","25.48","25.48","28.80","30.18","26.7075","27.9660","30.76","35.54625","26.6743541759","28.132019412","30.5730450365","34.4471491321","DOWNTREND","DOWNTREND","DOWNTREND","53.1029350891","NEUTRAL","-0.6732614991","2.51%","LOW","7.7409162717","18.0765639589","-56.4705882353","137,520","123,007","156,505","3,609,058.00","3,255,475.00","4,227,224.00","White Marubozu","None","None","-20.87%","1.49%","6.23%","-1,317,800.00","-7,451,115.00","-33,270,775.00","-52,698,830.00","-542,177,420.00","0.00","0.00%","0.00","0","0.00","0"
"AC","940.00","-50.00","-5.05%","980.00","940.00","980.00","990.00","309,940.00","293,553,455.00","-157,801,850.00","1,116.00","837.00","928.75","898.00","993.00","1,046.00","934.3750","957.46","1,000.71","985.2750","945.7198221554","959.6666365485","976.8819831958","966.9579003293","UPTREND","SIDEWAYS","DOWNTREND","48.4750866694","NEUTRAL","-3.0713997974","3.08%","NEUTRAL","64.7785039942","74.3918439716","-59.5744680851","219,480","239,647","281,290","207,911,657.50","226,301,425.6666666667","262,046,370.25","Black Marubozu","None","None","-7.39%","-2.69%","-3.09%","37,322,930.00","112,260,190.00","-242,051,590.00","-2,568,465,135.00","-2,804,272,422.50","47.37","14.70%","19.843782985","0","2.4655091014","0"
"ACE","1.40","0.05","3.70%","1.35","1.35","1.40","1.35","12,000.00","16,540.00","9,540.00","2.37","1.22","1.34","1.30","1.44","1.54","1.3620","1.3472","1.3714","1.51555","1.3595102293","1.3574839777","1.3920835647","1.4426842585","SIDEWAYS","SIDEWAYS","SIDEWAYS","54.5617436725","NEUTRAL","0.0075621013","4.56%","NEUTRAL","44.5486518171","45.2380952381","-50.00","131,300","132,200","373,000","181,267.00","180,776.00","540,128.50","White Marubozu","None","Three White Soldiers","0.72%","3.70%","3.70%","26,830.00","12,150.0002","53,250.0002","230,960.0001","2,337,229.9998","-0.38","-258.33%","-3.6842105263","0","0.3203661327","0"
"ACPB1","500.00","0.00","0.00%","500.00","500.00","500.00","500.00","2,940.00","1,470,000.00","0.00","550.00","485.00","488.00","485.00","503.50","530.00","502.60","506.07","516.93","518.2550","501.0173212497","506.5721082339","512.0614529744","517.0578621007","DOWNTREND","SIDEWAYS","SIDEWAYS","47.5844771705","NEUTRAL","-3.0968194874","0.95%","LOW","-26.9425287356","48.00","-40.00","3,712","3,237","2,497","1,843,746.00","1,616,224.00","1,247,323.75","White Marubozu","Bullish Harami","Three White Soldiers","-5.30%","3.09%","1.83%","0.00","-3,022,680.00","-3,017,600.00","-11,060,065.00","-82,976,480.00","0.00","0.00%","0.00","0","0.00","0"
