"Stock","Last","Change","%Change","Open","Low","High","Close","Volume","Value","Net-Foreign","52 Week High","52 Week Low","Support 1","Support 2","Resistance 1","Resistance 2","MA 20","MA 50","MA 100","MA 200","EMA 20","EMA 50","EMA 100","EMA 200","Trend-Short","Trend-Medium","Trend-Long","RSI(14)_VALUE","RSI(14)","MACD(12,26,9)","ATR(14)","Volatility","CCI(20)","STS(14,3,3)","%R(14)","VolumeSMA(10)","VolumeSMA(15)","VolumeSMA(20)","ValueSMA(10)","ValueSMA(15)","ValueSMA(20)","CandleStick(1)","CandleStick(2)","CandleStick(3)","YTD%","MTD%","WTD%","NFB(5)","NFB(15)","NFB(30)","NFB(60)","NFB(360)","EPS","EPS%","P/E","DPS%","P/BV","ROE"
"2GO","15.78","0.08","0.51%","15.80","15.54","15.80","15.70","15,400.00","241,824.00","6,216.00","30.90","14.70","15.50","14.80","16.40","17.22","16.0480","17.2392","18.5015","19.2217","16.1770968769","17.0254500041","17.8222690105","17.8600273959","DOWNTREND","DOWNTREND","DOWNTREND","41.4681031859","NEUTRAL","-0.4782733464","4.54%","NEUTRAL","-65.7342657343","31.3765432099","-67.50","75,040","70,140","72,385","1,229,471.80","1,140,866.1333333333","1,172,159.00","Hanging Man","None","None","-14.61%","-3.78%","-0.75%","26,848.00","392,452.0002","2,878,555.0002","2,897,735.0002","-12,793,152.0001","-0.09","-280.00%","-175.3333333333","0","10.52","0"
"8990P","100.00","-0.90","-0.89%","100.00","100.00","100.00","100.90","15,500.00","1,550,000.00","0.00","102.40","100.00","100.00","100.00","100.95","102.20","100.49","100.89","0.00","0.00","100.5545685482","100.8015245787","0.00","0.00","SIDEWAYS","SIDEWAYS","NONE","43.5823384352","NEUTRAL","-0.1212764961","0.46%","LOW","-120.9150326797","58.3333333333","-100.00","13,927","12,845","13,680","1,400,329.10","1,290,645.80","1,373,829.85","White Marubozu","None","Three White Soldiers","-0.20%","-0.20%","-0.40%","0.00","531,140.00","1,470,794.00","4,424,060.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"AB","18.74","-0.04","-0.21%","17.02","17.02","18.74","18.78","4,400.00","76,214.00","0.00","26.00","11.50","17.76","17.00","18.88","19.70","18.6590","18.2076","16.5658","14.96025","18.6028991946","17.9248071541","16.9004852891","15.6757211826","UPTREND","SIDEWAYS","UPTREND","53.4955171131","NEUTRAL","0.2404178815","5.61%","HIGH","-52.0094562648","91.7786368843","-10.4166666667","4,030","5,580","6,040","72,449.40","100,575.0666666667","109,613.50","White Marubozu","None","Three White Soldiers","24.93%","0.21%","-0.74%","0.00","0.00","0.00","-693,048.00","-531,055.00","-0.02","33.33%","-937.00","0","27.9701492537","0"
"ABA","0.25","-0.0150","-5.66%","0.2550","0.25","0.26","0.2650","960,000.00","244,650.00","0.00","0.42","0.25","0.25","0.25","0.2675","0.3050","0.28375","0.2977","0.3006","0.324775","0.2781303768","0.2913046793","0.3023601352","0.3203623296","DOWNTREND","DOWNTREND","SIDEWAYS","28.6256729385","OVERSOLD","-0.008436132","4.17%","NEUTRAL","-129.9790356394","12.1212121212","-100.00","3,667,000","2,538,667","2,025,000","1,000,230.00","694,723.3333333333","556,917.50","None","None","None","-19.35%","-16.67%","-3.85%","25,000.00","232,799.9999","56,949.9999","55,849.9999","724,969.9996","-0.01","-133.33%","-25.00","0","0.1302083333","0"
"ABG","21.35","-1.00","-4.47%","22.40","20.00","22.55","22.35","60,600.00","1,285,365.00","112,700.00","34.90","15.70","19.92","19.32","22.48","23.85","20.5575","20.1864","19.1585","20.46855","20.5939322584","20.1315733273","19.8439382977","20.0612838384","SIDEWAYS","SIDEWAYS","UPTREND","58.4685347287","NEUTRAL","0.1436507528","5.29%","HIGH","123.1137475284","70.3338631581","-44.014084507","46,860","39,613","38,595","965,770.10","811,540.80","791,045.20","None","None","None","22.98%","6.48%","5.96%","435,050.00","703,345.00","900,502.00","948,555.00","1,127,616.00","-0.01","0.00%","-2,135.00","0","23.7222222222","0"
"ABS","26.50","-0.50","-1.85%","27.00","26.10","27.00","27.00","29,300.00","780,285.00","0.00","43.90","26.10","26.30","26.30","27.28","28.50","27.5025","28.4880","30.9730","35.38575","27.510593773","28.733054152","30.8490526517","34.3960036147","DOWNTREND","DOWNTREND","DOWNTREND","24.2389098087","OVERSOLD","-0.5304656599","1.80%","LOW","-176.6381766382","25.820962663","-78.9473684211","75,790","60,647","60,930","2,060,887.00","1,654,213.6666666667","1,675,559.00","None","Bearish Engulfing","None","-23.41%","-5.36%","-2.03%","0.00","0.00","0.00","0.00","0.00","4.06","-3.56%","6.5270935961","0","0.6988396624","0"
"ABSP","25.95","-1.35","-4.95%","26.00","25.95","26.00","27.30","20,400.00","530,255.00","-5,200.00","44.50","25.45","25.48","25.48","27.30","28.80","26.6075","27.8550","30.6745","35.4635","26.6053680639","28.0464500233","30.4814995902","34.3626003845","DOWNTREND","DOWNTREND","DOWNTREND","41.7995958302","NEUTRAL","-0.6533759138","2.83%","LOW","-70.9289887271","21.7046818727","-79.5918367347","84,220","116,067","155,415","2,190,740.50","3,060,872.6666666667","4,194,675.00","Black Marubozu","None","None","-24.78%","-3.53%","0.97%","-998,720.00","-7,923,950.00","-30,097,340.00","-53,454,150.00","-538,406,045.00","0.00","0.00%","0.00","0","0.00","0"
"AC","929.00","-11.00","-1.17%","940.00","929.00","949.50","940.00","191,690.00","178,589,455.00","-52,516,920.00","1,116.00","837.00","912.00","876.00","993.00","1,046.00","935.3750","955.04","999.94","985.62","944.1274581406","958.4640233505","975.9338251127","966.5802097788","UPTREND","SIDEWAYS","DOWNTREND","46.1979964906","NEUTRAL","-2.1566524669","3.05%","NEUTRAL","1.5253476895","53.5163860962","-73.6263736264","212,443","239,239","271,167","201,918,490.00","226,258,508.6666666667","252,802,980.75","None","None","None","-8.47%","-3.83%","-4.23%","-23,101,360.00","65,492,580.00","-63,614,220.00","-2,605,096,825.00","-2,767,240,032.50","47.37","14.70%","19.6115685033","0","2.4366573992","0"
"ACE","1.40","0.05","3.70%","1.35","1.35","1.40","1.35","12,000.00","16,540.00","9,540.00","2.37","1.22","1.34","1.30","1.44","1.54","1.3620","1.3472","1.3714","1.51555","1.3595102293","1.3574839777","1.3920835647","1.4426842585","SIDEWAYS","SIDEWAYS","SIDEWAYS","54.5617436725","NEUTRAL","0.0075621013","4.56%","NEUTRAL","44.5486518171","45.2380952381","-50.00","131,300","132,200","373,000","181,267.00","180,776.00","540,128.50","White Marubozu","None","Three White Soldiers","0.72%","3.70%","3.70%","26,830.00","12,150.0002","53,250.0002","230,960.0001","2,337,229.9998","-0.38","-258.33%","-3.6842105263","0","0.3203661327","0"
"ACPB1","500.00","0.00","0.00%","500.00","500.00","500.00","500.00","480.00","240,000.00","0.00","550.00","485.00","488.00","485.00","510.00","527.00","502.10","505.85","516.63","518.1150","500.9204335116","506.3143784992","511.8226123214","516.8881321295","DOWNTREND","SIDEWAYS","SIDEWAYS","47.58447717","NEUTRAL","-3.0811380735","0.89%","LOW","-22.5676788222","60.00","-40.00","3,160","3,256","2,470","1,575,143.00","1,625,450.6666666667","1,233,313.75","White Marubozu","Bullish Harami","Three White Soldiers","-5.30%","3.09%","1.83%","0.00","-3,022,680.00","-3,017,600.00","-11,060,065.00","-82,976,480.00","0.00","0.00%","0.00","0","0.00","0"
